"county","state","landarea","popn","phys","farmpop","numfarm","farmacre","veterans","percviet","psii","wt"
Nodaway,MO,877,21236,15,3244,1475,528861,1825,22.6,0.0000832531,120.11562253
Lancaster,NE,839,219582,389,3081,1508,448286,22688,32.5,0.0008608441,11.616504814
Atlantic,NJ,561,229430,379,661,384,29423,26390,23.1,0.000899452,11.117880661
Burlington,NJ,805,397631,719,1430,834,103224,51275,33.3,0.0015588633,6.4149308278
Camden,NJ,222,507735,1255,99,177,10033,54778,26.4,0.0019905124,5.0238320384
Lea,NM,4393,56659,40,491,561,2220431,5405,30.4,0.0002221246,45.019773734
Santa_Fe,NM,1909,105178,235,231,324,509708,11973,34.4,0.0004123374,24.251985776
Kings,NY,71,2286167,4861,0,4,4,137669,21.5,0.0089626356,1.1157432331
Kings,NY,71,2286167,4861,0,4,4,137669,21.5,0.0089626356,1.1157432331
Kings,NY,71,2286167,4861,0,4,4,137669,21.5,0.0089626356,1.1157432331
Monroe,NY,659,724418,2438,1180,682,134670,72558,27.1,0.0028399914,3.5211374648
Nassau,NY,287,1302067,6147,0,67,1471,147207,18.9,0.005104593,1.9590200504
New_York,NY,28,1489066,14052,0,0,0,101647,20.5,0.0058376995,1.7130035606
New_York,NY,28,1489066,14052,0,0,0,101647,20.5,0.0058376995,1.7130035606
Richmond,NY,59,391085,1242,0,7,16,37759,26.4,0.0015332005,6.5223042561
Richmond,NY,59,391085,1242,0,7,16,37759,26.4,0.0015332005,6.5223042561
Saratoga,NY,812,188387,215,1447,528,82878,21895,30.6,0.000738548,13.54008164
Suffolk,NY,911,1338204,3021,406,696,41799,149324,26.1,0.0052462636,1.9061184692
Suffolk,NY,911,1338204,3021,406,696,41799,149324,26.1,0.0052462636,1.9061184692
Rutherford,NC,564,57951,46,801,503,58090,6645,27.7,0.0002271897,44.016071509
Allen,OH,584,26405,168,3139,1148,201190,12642,27.9,0.0001035175,96.601982958
Cuyahoga,OH,458,1411209,5620,16,150,5563,163322,24.1,0.0055324707,1.8075106947
Franklin,OH,540,992095,2675,1155,581,121999,102307,31.8,0.003889386,2.5710999047
Hamilton,OH,407,872026,3164,362,350,28318,93512,26,0.0034186703,2.9251138842
Harrison,OH,404,15946,12,734,465,118939,1862,26.7,0.0000625143,159.96333626
Lucas,OH,340,461508,1391,1417,492,83205,50686,25.5,0.0018092852,5.5270447316
Stark,OH,576,372125,595,2719,1306,153302,44658,26.7,0.0014588701,6.8546197111
Tulsa,OK,570,519847,1158,792,913,139900,59305,31.3,0.002037996,4.9067809567
Multnomah,OR,435,600811,2571,1115,552,34011,73736,32.6,0.0023554054,4.2455536933
Wasco,OR,2381,22219,44,1079,487,1172745,3322,30.6,0.0000871068,114.80153742
Allegheny,PA,730,1334396,5281,586,451,42686,175155,22.4,0.0052313348,1.9115580083
Allegheny,PA,730,1334396,5281,586,451,42686,175155,22.4,0.0052313348,1.9115580083
Bucks,PA,608,556279,879,1811,841,85113,63454,30,0.0021808232,4.5854245082
Delaware,PA,184,549506,1374,74,95,8036,66684,22.5,0.0021542705,4.6419426903
Luzerne,PA,891,328927,594,915,473,58441,46156,21.9,0.0012895177,7.7548372739
Northampton,PA,374,252393,459,1104,484,86694,30630,26.7,0.0009894756,10.10636333
Greenville,SC,792,324558,650,1162,678,74501,35814,31,0.0012723896,7.8592281195
Charles_Mix,SD,1098,9265,6,1821,830,646007,962,19.9,0.0000363223,275.31304479
Coffee,TN,429,41641,50,1423,887,143496,4975,32.6,0.0001632484,61.256342547
Dickson,TN,490,36509,27,1868,1068,148611,3747,30.1,0.000143129,69.867028952
Hamblen,TN,161,51657,54,1209,843,58434,5547,29.9,0.0002025149,49.379084345
Shelby,TN,755,844847,2489,747,733,139587,84881,33.7,0.0033121184,3.0192157397
Sullivan,TN,413,146676,377,1478,1432,97537,18325,28.4,0.0005750252,17.390543511
Cooke,TX,874,30948,21,1981,1289,515267,3700,30.9,0.0001213278,82.421331265
Ector,TX,901,122338,153,189,223,589050,11619,30.1,0.000479611,20.850229365
Fort_Bend,TX,875,255788,231,1425,1233,363823,18375,46,0.0010027853,9.9722244984
Wichita,TX,628,120386,243,581,544,298490,15181,37.1,0.0004719585,21.188305617
Davis,UT,305,199953,166,154,647,63244,17445,35.8,0.0007838911,12.756874666
Chesterfield,VA,426,225225,181,457,169,20168,23574,43.1,0.0008829668,11.325453924
King,WA,2126,1557537,5280,1954,1498,54172,187401,34.2,0.0061061316,1.6376980836
Lincoln,WI,883,27822,28,1204,507,109031,3315,24.5,0.0001090727,91.681955287
Waukesha,WI,556,320306,687,1034,818,126734,34726,30.9,0.0012557201,7.9635578478
