id,district,birth_rate,death_rate,marriage_rate,agricultural_pop,urban_population,income,altitude,pop_density,natural_growth,population,area,in_GG_sample
28,Verolanuova,37.16,18.54,11.94,58.7,77,4244,64,185,18.61,70109,378.92,0
29,Velletri,37.13,18.05,11.38,61.9,79.2,2157,352,70,19.08,104385,1490.98,0
30,Lagonegro,37.09,20.6,12.14,66,75.1,1709,666,44,16.49,105309,2405.83,0
31,Castellammare_di_Stabia,37,19.77,10.61,32.1,84.8,3259,5,760,17.24,216622,285.06,0
32,Piedimonte_d'Alife,36.99,21.45,12.17,69,67.9,1548,200,67,15.54,46855,700.13,0
33,Monteleone_di_Calabria,36.98,21.21,10.62,64.3,96.1,1837,556,140,15.76,150858,1080.9,1
34,Cosenza,36.95,19.38,10.68,61.7,70.2,2435,240,90,17.56,205760,2279.56,0
35,Massa-Carrara,36.72,18.01,10.75,35.5,76.9,3538,65,188,18.71,142459,755.89,0
36,Castrovillari,36.7,21.69,11.29,65,88.5,1999,350,54,15.01,112730,2102.61,0
37,Bari_delle_Puglie,36.69,21.39,10.07,45,90.2,2788,5,235,15.3,430243,1830.1,1
38,Breno,36.65,26.26,11.09,47.1,87.9,1612,340,55,10.4,71756,1303.75,0
39,Cesena,36.62,18.58,10.97,62.3,39.1,3804,40,158,18.03,114403,725.38,0
40,Treviso,36.57,14.03,12.23,56.3,47.9,3887,15,221,22.53,548487,2476.58,0
41,Sala_Consilina,36.55,18.71,10.78,66.5,85.1,1435,614,66,17.84,73104,1107.85,1
42,Urbino,36.52,19.24,11.18,69,37.8,1938,451,70,17.29,144148,2017.4,0
43,Sora,36.52,17.75,10.75,62.9,46.6,1566,300,124,18.77,170967,1375.64,0
44,Vasto,36.49,20.3,10.72,73.2,69.3,1592,144,100,16.18,111798,1116.99,0
45,Campagna,36.47,19.23,11.75,69.4,78.8,1633,280,63,17.24,99111,1561.76,0
46,Rovigo,36.42,16.31,9.69,57.5,49.1,3482,6,194,20.11,187270,965.87,0
47,Mirandola,36.26,16.29,9.32,61.6,34.7,4178,18,173,19.98,79947,462.34,0
48,Palmi,36.21,17.84,9.7,65.4,89.2,2224,250,198,18.38,173357,874.1,0
49,Lecce,36.2,19.76,10.52,58.2,89.7,2141,51,150,16.44,215540,1432.62,0
50,Salerno,36.18,21.63,10.9,39.8,83.8,2382,4,357,14.55,314008,880.36,0
51,Benevento,36.11,18.67,11.12,61.5,72.3,1931,135,156,17.44,123516,791.74,0
52,Taranto,36.01,18.64,9.39,45.6,90.3,2312,15,113,17.37,274907,2426.25,0
53,Lanciano,35.97,18.81,11.03,69.6,63.1,3604,283,130,17.15,123311,951.65,0
54,Rocca_San_Casciano,35.94,18.82,11.21,69.2,39.3,1715,210,59,17.12,59927,1015.49,0
55,Nola,35.91,20.43,10.38,55.1,80.7,1431,40,406,15.48,107108,263.83,0
56,Caserta,35.86,19.65,10.17,47.1,90.9,1751,68,230,16.2,331025,1438.63,0
57,Isernia,35.85,21.24,11.32,72.2,77.2,1152,457,70,14.61,119111,1693.92,1
58,Bovino,35.79,23.58,9.43,65.2,92.7,1924,647,51,12.21,52588,1025.09,0
59,Vergato,35.73,15.49,11.54,62.7,30.4,1179,195,91,20.25,68362,750.54,0
60,Catanzaro,35.52,21.87,10.38,55.4,89.1,2605,343,102,13.65,160622,1577.08,0
61,Rimini,35.43,18.73,9.79,54.3,39.1,3155,7,236,16.7,122564,519.65,1
62,Gaeta,35.27,18.12,10.52,61.3,76.8,1617,10,112,17.14,160177,1490.49,1
63,Penne,35.26,18.02,10.44,69.8,44,2335,438,135,17.25,130876,972.1,0
64,Larino,35.25,21.78,11.16,70.1,95.2,1935,310,70,13.47,105353,1468.87,0
65,San_Bartolomeo_in_Galdo,35.22,20.57,12.03,80.2,83.6,1310,590,91,14.65,60278,660.47,0
66,Barletta,35.12,22,9.56,57.6,96.5,2546,15,212,13.12,385697,1821.61,0
67,Padova,35.03,16.11,10.69,55.9,39.4,3420,12,275,18.92,588043,2170.73,1
68,Pozzuoli,34.96,16.94,10.14,42.8,77.1,1834,39,634,18.03,106736,168.36,0
69,Venezia,34.92,16.22,10.09,35.5,59.7,6592,2,221,18.7,451323,2041.66,0
70,Campobasso,34.76,20.67,11.52,68.7,84.6,1657,700,95,14.09,116445,1220.54,0
71,Spoleto,34.7,18.34,11.01,60.1,62.8,2438,317,51,16.36,84401,1663.48,0
72,Avellino,34.64,18.74,10.67,59.6,76.9,1673,351,230,15.9,184258,800.35,0
73,Sulmona,34.53,20.38,11.54,59.8,92.1,2068,403,73,14.15,87350,1193.01,0
74,Lanusei,34.52,20.03,9.85,67.5,97.6,1278,595,24,14.49,78798,3346.4,1
75,Gerace_Marina,34.48,19.71,10.14,68.4,72.7,2112,5,113,14.76,150092,1330.82,0
76,Ferrara,34.32,16,7.59,53.4,53.8,6471,10,143,18.32,244891,1717.06,0
77,Cividale_del_Friuli,34.26,16.58,10.65,66.1,81.4,6056,138,117,17.68,67485,574.4,0
78,Reggio_Calabria,34.21,16.79,8.91,47.8,78.8,2870,29,188,17.42,178862,952.6,0
79,Teramo,34.13,16.78,10.33,67.7,47.9,2924,265,107,17.34,189114,1773.2,0
80,Chieti,34.12,17.61,10.58,62.9,48.5,2830,330,159,16.51,141133,890.32,0
81,Altamura,34.08,20.41,9.37,65.5,91.6,2470,473,83,13.66,136571,1653.33,0
82,Pordenone,34.01,13.75,10.83,51.9,75.3,8099,24,107,20.26,156945,1465.27,0
83,Vallo_della_Lucania,33.93,17.28,10.85,69.3,85,1477,380,70,16.65,9809,1393.8,1
84,Orvieto,33.92,16.64,12.86,71.6,35.3,1826,315,57,17.29,60109,1054.85,1
85,Pontremoli,33.87,17.3,12.15,65.7,72.8,1406,237,86,16.56,40568,471.03,0
86,Rossano,33.79,18.44,9.72,62.8,81.8,3021,297,57,15.35,71415,1244.83,0
87,Foligno,33.64,17.21,11.3,55.2,62.5,2353,234,94,16.43,88547,938.24,0
88,Perugia,33.63,17.42,11.55,66.5,34.7,2994,493,82,16.21,291982,3550.58,0
89,Crema,33.57,17.63,11.09,56.1,78.6,4551,79,220,15.94,1093,497.29,0
90,Cittaducale,33.44,17.26,10.24,69.9,89.7,2153,450,44,16.18,60086,1361.56,0
91,Rieti,33.39,17.1,11.21,65.8,64.8,2297,402,74,16.28,101690,1376.8,0
92,Udine,33.38,16.88,10.86,45,88.4,6695,137,148,16.51,420938,2840.57,0
93,Vicenza,33.37,16.83,11.69,52.4,50.3,3867,40,227,16.55,517119,2282.84,0
94,Patti,33.24,15.37,10.07,63.8,51.9,1981,153,156,17.86,122095,781.09,0
95,Fermo,33.14,17.43,10.9,64.1,34.6,3160,320,151,15.71,133518,882.05,0
96,Castelnuovo_di_Garfagna,33.11,15.84,12.61,58.5,71.6,2084,277,77,17.27,42917,554.6,0
97,Brescia,33.02,20.77,10.05,44.4,77,4603,149,204,12.25,334948,1639.8,1
98,Ascoli_Piceno,32.89,17.23,10.23,64.6,56.4,2633,153,109,15.66,131646,1203.11,0
99,Montepulciano,32.88,17.48,12.69,66.7,44.5,2700,605,64,15.4,79674,1237.54,0
100,Reggio_Emilia,32.87,16.76,10.56,55.5,45.2,4457,60,141,16.11,266611,1892.03,0
101,Alghero,32.81,21.01,10.36,64,98.1,1753,7,43,11.8,49319,1159.71,1
102,Viterbo,32.8,18.62,11.21,63.5,82.7,2085,327,65,14.18,196842,3020.88,0
103,Nuoro,32.65,19.32,9.46,72.3,97.5,1212,553,24,13.33,77033,3154.56,0
104,Aquila_della_Ahruzzi,32.58,20.84,10.8,61.9,94.4,3353,721,65,12.34,127915,1965,0
105,Tolmezzo,32.57,19.23,11.7,24,90.2,3278,323,44,13.35,74628,1689.9,1
106,Camerino,32.47,17.94,12.04,69.3,71.2,1778,661,48,14.53,50324,1059.2,1
107,Iglesias,32.38,20.28,9.95,43.6,83,1795,0.199,36,12.11,103179,2839.65,0
108,Modena,32.37,16.83,9.93,48.7,35.1,3737,35,220,15.54,238758,1083.86,0
109,Arezzo,32.27,17.65,11.8,62.1,39,2473,296,90,14.62,298519,3302.39,1
110,Guastalla,32.12,14.52,9.74,58,38.3,5142,25,202,17.59,80484,399.31,0
111,Pesaro,32.11,18.13,11.39,54.6,49.8,2632,11,161,13.99,13657,847.49,0
112,Sassari,32.09,18.74,10.06,50.9,88.7,2289,225,57,13.34,106488,1878.67,0
113,Cagliari,32.02,19.47,8.66,49.6,97.1,2062,10,53,12.56,211245,3975.65,0
114,Cerreto_Sannita,31.98,17.37,10.72,73.2,55.8,1286,290,124,14.61,83377,670.66,1
115,Noto,31.85,16.64,9.94,63.6,83.5,1593,159,101,15.21,111644,1104.15,0
116,Macerata,31.82,17.08,11.41,62.9,37.7,2023,311,127,14.74,1217436,1713.93,0
117,Girgenti,31.77,22.63,9,54.5,96.1,2023,326,175,9.15,27288,1558.94,0
118,Castroreale,31.73,16.57,10.68,61.9,82.3,2274,394,143,15.16,11589,810.2,1
119,Ancona,31.69,16.59,11.29,48.9,51.9,4874,106,173,15.09,334654,1937.7,0
120,Bivona,31.67,21.42,9.11,61.2,97.7,1305,503,92,10.25,75624,821.9,0
121,Cento,31.61,14.12,10.07,48.9,34.4,3185,15,206,17.49,43283,209.72,0
122,Salò,31.56,20.17,12.02,57.2,93.4,2320,75,75,11.39,72696,973.45,0
123,Monza,31.55,20.23,11.06,25.9,77.1,4230,162,717,11.31,322032,449.36,0
124,Ozieri,31.54,18.03,8.2,65.3,92.7,1433,390,22,13.5,51688,2338.84,0
125,Lodi,30.65,16.89,11.57,46.9,75.1,5747,80,218,13.76,179419,824.44,0
126,Grosseto,30.6,15.95,11.38,61.8,60.1,2146,10,37,14.65,16499,4496,1
127,Nicosia,30.57,17.52,8.62,67.4,94.9,1851,714,89,13.05,121856,1366.4,0
128,Sondrio,30.32,20.86,10.41,64.3,83.5,2047,298,41,9.46,131184,3193.92,1
129,Lecco,30.18,20.44,11.42,43.6,80.9,4269,212,224,9.74,157662,702.36,0
130,Mistretta,30.16,19.42,9.51,64,97.3,2037,950,66,10.73,58131,886.91,0
131,Acireale,30.11,15.05,11.4,46.9,81,3762,161,227,15.06,151200,667.06,0
132,Pieve_di_Cadore,30.02,18.49,9.5,26.9,96.7,3373,878,34,11.53,39801,1172.71,0
133,Forli,29.79,16.85,9.76,57.6,40.4,2783,34,146,12.94,94132,646.78,0
134,Mantova,29.7,15.52,10.15,55.8,53.1,5763,20,161,14.18,1376901,2339.38,0
135,Verona,29.66,15.44,11,50.6,62.7,4289,59,169,14.22,518256,3071.2,0
136,Oristano,29.54,19.7,9.41,65.2,98.9,1961,9,42,9.84,137010,3253.52,0
137,Fiorenzuola_d'Arda,29.32,13.99,10.19,67.6,30.6,4407,82,91,15.33,7892,869.94,0
138,Civitavecchia,29.19,14.13,9.41,39.1,88.3,2640,11,43,15.06,46348,1073.37,0
139,Termini_Imerese,28.84,20.92,10.22,62.8,96.3,2003,113,83,7.92,90529,1088.09,0
140,Borgotaro,28.78,15.78,10.52,71.3,45.9,1908,411,51,13,3746,741.28,1
141,Terni,28.74,16.87,11.07,46.6,54.1,2442,130,94,11.87,111341,1183.19,0
142,Caltanissetta,28.38,19.37,8.16,51.5,84.9,2411,588,150,9.01,160232,1074.74,0
143,Napoli,28.32,18.53,8.6,6.6,96.6,5917,19,4452,9.79,952488,213.93,0
144,Modica,28.24,16,8.97,61.5,91.6,1682,447,168,8.97,252546,1504.51,0
145,Parma,28.13,15.79,10.12,48.3,56.8,4811,51,131,12.34,207680,1585.06,0
146,Palermo,27.99,17.45,8.49,29.4,94.5,4088,9,353,10.54,617662,1750.85,0
147,Volterra,27.98,15.49,11.39,49.4,58.2,3007,531,67,12.49,100814,1504.07,0
148,Caltagirone,27.92,17.97,8.35,66.7,91.9,1827,608,100,9.95,154329,1544.84,0
149,Borgo_San_Donnino,27.87,14,10.74,61,36.7,4194,75,116,13.88,108238,933.05,0
150,Corleone,27.77,21.06,9.84,69.5,99.1,1689,594,67,6.7,51606,775.49,0
151,Messina,27.76,15.28,8.1,33.1,91.9,2898,5,371,12.48,285948,770.75,0
152,Mazzara_del_Vallo,27.16,20.25,9.25,61.8,90.2,2331,8,107,6.9,97952,912.03,0
153,Imola,27.14,16.15,10.59,59.1,37.7,3167,47,114,11,90111,790.3,0
154,Lucca,27.05,15.01,10.86,45.8,45.2,3759,19,241,12.03,346602,1436.82,0
155,Roma,27.03,16.5,9.78,19.4,93.8,6004,20,205,10.53,958436,4674.82,1
156,Pistoia,27.02,14.8,12.17,48.3,46.1,2995,65,191,12.22,140375,735.86,0
157,Abbiategrasso,26.8,15.78,11.64,51.5,77.5,4206,120,239,11.03,134578,562.58,0
158,Bobbio,26.76,14.64,11.78,77.6,69.5,1739,272,55,12.12,38457,695.59,0
159,Catania,26.73,15.52,8.02,34.2,93.9,4568,38,390,11.21,448880,1359.61,0
160,Siracusa,26.66,13.65,8.65,54.3,92.5,2005,5,156,13.01,172424,1103.87,1
161,San_Miniato,26.62,14.47,12.39,56.4,44,3432,117,170,12.15,143284,840.67,0
162,Alba,26.54,14.98,12.14,70.5,56.2,3439,172,149,11.56,151039,1016.79,0
163,Tempio_Pausania,26.51,16.84,8.72,45.8,65.1,2141,566,23,9.67,49414,2143.17,0
164,Casalmaggiore,26.42,15.57,11.65,57.3,89.2,4588,26,150,10.85,45150,300.55,0
165,Cefalù,26.25,17.09,9.41,67.3,88.7,2514,30,73,9.13,100509,1377.88,0
166,Cremona,26.23,18,11.22,43.4,76.4,5267,45,208,8.23,203155,977.12,0
167,Piazza_Armerina,25.97,18.33,7.77,56.3,86.2,1905,721,117,7.64,138287,1186.75,0
168,Siena,25.84,17.24,12.44,58,49.2,2864,322,65,8.59,168168,2574.02,0
169,Piacenza,25.79,15.34,9.53,50.6,58.7,5368,61,124,10.45,202389,1635.52,0
170,Gallarate,25.69,14.61,11.31,24.1,88.8,5900,238,492,11.09,267414,543.52,0
171,Cuneo,25.61,19.27,10.78,59.7,58.4,3494,534,54,6.34,171944,3172.2,0
172,Pisa,25.46,14.53,11.34,45.7,67.5,2957,4,166,10.93,259973,1565.19,0
173,Domodossola,25.22,19.02,10.25,35.9,84.9,2484,277,30,6.2,43700,1450.66,0
174,Bologna,25.11,14.75,9.81,35.9,52,5733,55,215,10.36,484191,2254.66,0
175,Spezia,25.09,13.64,9.34,22,72.8,3649,3,312,11.45,195925,628.49,0
176,Como,24.95,18.61,11.12,31.2,84.7,3686,202,219,6.34,299286,1364.52,0
177,Faenza,24.94,15.88,10.5,57.9,45.4,3136,35,131,9.06,79995,611,0
178,Acqui,24.84,14.43,12.59,68.9,46.1,2513,164,133,10.41,122683,764.19,0
179,Lugo,24.77,15.76,10.15,56.4,45.3,2833,15,206,9.02,76419,371,0
180,Saluzzo,24.76,17.28,10.68,61.7,55.5,4301,395,96,7.49,147873,1543.15,0
181,Ravenna,24.7,15.85,9.74,54.7,41.2,3925,3,116,8.84,101190,870,0
182,Aosta,24.64,21.23,9.81,60.9,81.2,3187,583,24,3.41,78811,3264.92,1
183,Mondovì,24.54,15.88,,67.3,59.4,2872,559,90,8.66,152742,1702.73,0
184,Trapani,23.98,13.15,9.6,47.8,60.5,3857,3,194,10.83,198473,1021.92,0
185,Livorno,23.97,17.43,8.52,4.8,92.1,6426,3,1159,6.54,114809,99.06,0
186,Sciacca,23.93,17.35,7.93,63.8,90.9,2090,60,95,6.58,62777,662.81,0
187,Firenze,23.86,15.24,11.06,30.9,65.1,6565,49,214,8.62,698191,3266.75,0
188,Portoferraio,23.31,15.91,9.37,25,78.4,2193,10,118,7.4,28914,244.35,0
189,Novi_Ligure,22.76,14.79,11.97,51.5,68.1,2757,197,111,7.97,92560,830.88,0
190,Alcamo,22.42,16.17,7.62,68.9,99.3,2101,256,196,6.26,112822,574.86,0
191,Savona,22.1,13.71,10.1,29.7,72.1,4545,19,150,8.39,145378,971.42,0
192,Susa,22,16.21,11.04,50.7,78.4,2308,503,62,5.79,86905,1396.98,1
193,Asti,21.44,14.23,13.04,66.6,57.9,3613,123,187,7.2,182121,974.47,0
194,Pinerolo,21.34,16.62,10.86,57.9,64.5,3273,377,85,4.72,120866,1420.08,0
195,Pavia,21.3,14.43,11.89,44.9,79.7,4308,77,199,6.87,159663,801.5,0
196,Voghera,21.19,14.27,10.99,56.9,69.2,2677,93,180,6.91,138991,774.01,1
197,Ivrea,21.13,18.59,11.7,57.6,77.7,2388,267,99,2.55,148074,1494.52,0
198,Chiavari,21.09,15.26,9.65,47.6,61.6,3092,3,128,5.83,117027,911.29,0
199,Albenga,21.05,14.91,10.2,53.7,85.3,2157,5,97,6.14,60082,618.4,0
200,Pallanza,20.91,16.88,11.33,16.2,90.2,3029,201,107,4.03,84543,788.62,0
201,Tortona,20.25,13.6,10.99,59.7,72,2672,114,114,6.65,75603,665.77,0
202,Varese,19.99,15.5,11.65,21.3,81.5,3446,382,219,4.48,174029,794.58,0
203,Milano,19.8,14.73,9.88,10,93.1,9510,122,1280,5.07,1002788,783.33,0
204,Porto_Maurizio,19.62,16.48,10,47.7,95.7,4822,47,118,3.14,60201,511.57,0
205,Varallo,19.49,18.49,10.71,15.8,90,2983,451,42,1,32121,773.27,0
206,Genova,19.02,14.7,9.01,10.3,88.6,8314,25,679,4.32,657657,968.41,1
207,Casale_Monferrato,18.93,15.03,12.25,60,77.2,3489,116,177,3.9,148789,840.59,0
208,Novara,18.29,14.54,12.52,44.2,85.1,4018,164,189,3.74,261206,1385,0
209,San_Remo,18.14,16.53,9.79,45.6,89.7,3857,15,135,1.61,90634,670.6,0
210,Alessandria,17.82,14.76,11.53,40.7,72.7,5124,95,190,3.06,159994,843.21,0
211,Vercelli,17.04,13.97,13.2,54.3,86.3,3749,131,117,3.06,146553,1249.05,0
212,Torino,16.66,15.32,10.39,19.7,88.3,7694,239,307,1.33,818787,2663.8,0
213,Biella,16.55,14.87,11.3,24.9,83.2,7570,424,164,1.68,156732,955.02,0
214,Mortara,15.58,13.47,12.32,53.2,78.6,6080,108,146,2.1,155409,1064.53,0
