dist,school,hrwork,size,preprmin,assist
large,30,37.9,9,300,0
large,30,34.55,24,150,0
large,30,35.4,21,150,0
large,30,35.4,21,150,0
large,30,32.9,22,470,180
large,30,35.4,24,150,0
large,30,37.5,30,120,0
large,30,36.65,24,120,0
large,30,35.4,21,150,0
large,30,37.1,22,420,0
large,30,37.1,25,150,0
large,30,33.75,24,150,150
large,30,33.75,23,150,0
large,30,33.75,29,30,0
large,31,36.25,30,270,0
large,31,34.15,27,120,45
large,31,32.05,32,200,0
large,31,34.15,27,120,45
large,31,33.75,24,150,0
large,31,33.75,24,150,0
large,31,36.2,31,300,0
large,31,32.9,9,300,0
large,31,34.15,30,120,0
large,31,34.15,22,420,180
large,31,34.15,30,355,0
large,31,37.5,30,120,0
large,31,34.15,27,120,45
large,31,34.6,32,30,0
large,31,33.75,26,150,0
large,31,36.25,29,275,0
large,31,35.4,24,165,200
large,31,34.15,30,235,0
large,32,37.5,30,150,0
large,32,36.65,23,150,150
large,32,35.4,30,120,0
large,32,36.65,24,150,150
large,32,36.65,30,120,0
large,32,35.4,21,150,0
large,32,34.15,27,100,0
large,32,37.05,29,32,0
large,32,35.4,24,150,0
large,32,33.75,23,150,150
large,32,37.1,26,120,0
large,32,32.9,22,470,180
large,32,36.65,22,120,650
large,32,35.4,21,150,0
large,32,31.25,21,150,0
large,32,35.4,24,165,200
sm/me,4,38.75,20,180,200
sm/me,4,38.75,25,200,170
sm/me,4,40,22,225,0
sm/me,4,38.75,22,180,150
sm/me,4,39.15,25,160,0
sm/me,4,38.75,24,225,0
sm/me,4,37.9,21,380,0
large,23,36.25,30,150,40
large,23,32.1,24,60,80
large,23,30.8,29,-9,0
large,23,41.65,29,180,0
large,23,32.5,27,170,0
large,23,33.3,20,120,0
large,23,32.5,24,240,0
large,23,37.5,25,120,0
large,23,30,22,120,30
large,23,35,19,120,0
large,23,32.9,28,110,0
large,23,40,23,360,10
large,23,35.4,25,150,60
large,23,36.25,21,270,0
large,23,39.15,24,120,80
large,23,37.5,20,120,240
sm/me,7,34.15,25,345,150
sm/me,7,33.75,25,120,450
sm/me,7,35.4,24,240,450
sm/me,7,34.15,26,120,525
large,15,35.85,28,150,0
large,15,36.25,17,90,420
large,15,37.5,19,450,50
large,15,37.1,25,120,0
large,15,36.25,30,120,300
large,15,36.25,28,315,0
large,15,37.5,28,240,0
large,15,36.25,27,-9,0
large,15,37.5,28,120,80
large,15,36.25,21,120,75
large,15,37.5,28,45,0
large,15,37.1,25,120,0
large,15,37.5,17,180,900
large,15,37.5,25,120,0
large,15,36.25,24,540,0
large,15,35.85,24,120,0
large,15,37.5,23,110,300
large,15,37.5,29,-9,225
large,15,35,15,180,480
large,15,36.25,21,640,0
large,15,37.5,25,150,0
large,15,36.25,24,30,0
large,15,36.25,26,120,0
large,15,37.5,22,150,400
large,16,36.25,22,120,0
large,16,35.85,20,120,600
large,16,36.65,23,150,0
large,16,37.5,30,200,80
large,16,36.25,22,150,0
large,16,37.5,31,120,0
large,16,36.65,28,150,0
large,16,36.65,27,120,300
large,16,38.35,25,120,100
large,16,37.5,22,240,0
large,16,35.85,26,240,0
large,16,36.25,25,150,150
large,16,37.5,21,120,0
large,16,36.65,26,120,0
large,16,36.25,27,80,0
large,16,36.25,24,120,0
large,16,36.65,26,450,75
large,16,36.25,23,300,450
large,16,37.5,22,150,0
large,16,40.85,31,150,300
large,16,36.65,28,-9,150
large,16,36.65,21,120,60
large,16,35.85,21,90,0
large,16,35.85,27,150,90
large,28,30.4,21,-9,0
large,28,33.35,40,45,0
large,28,27.9,25,-9,-9
large,28,28.3,23,-9,-9
large,28,36.65,120,225,0
large,28,-9,-9,-9,-9
large,28,31.25,29,45,0
large,28,34.15,29,200,0
large,28,33.75,28,45,0
large,28,33.35,23,100,0
large,28,27.5,26,180,0
large,28,30,-9,45,-9
large,28,30,25,250,0
large,28,32.5,26,120,0
large,28,31.25,42,90,0
large,28,29.15,23,100,2.5
large,28,30.4,22,80,0
large,28,35,25,90,0
large,29,26.25,28,120,0
large,29,32.9,26,225,225
large,29,30,27,225,0
large,29,26.65,26,150,0
large,29,30.4,24,90,360
large,29,30.4,22,150,0
large,29,26.25,28,135,300
large,29,30,27,225,0
sm/me,6,35,21,45,0
sm/me,6,31.25,-9,40,40
sm/me,6,37.5,24,200,0
sm/me,6,34.6,13,250,0
sm/me,6,35,22,400,0
sm/me,6,31.25,27,795,0
sm/me,6,35.85,28,315,0
sm/me,6,37.5,28,300,0
sm/me,6,35,-9,45,0
sm/me,6,37.5,30,60,0
sm/me,6,36.65,28,60,0
sm/me,2,34.2,25,240,0
sm/me,2,34.2,-9,-9,-9
sm/me,2,37.5,22,210,600
sm/me,2,34.2,18,185,450
large,18,35,20,225,600
large,18,35,16,90,300
large,19,35,25,240,0
large,19,34.6,24,45,360
large,19,35,20,300,0
large,33,26.65,24,200,0
large,33,27.5,24,200,0
large,33,26.65,27,200,0
large,33,26.65,21,50,0
large,33,26.65,21,200,0
large,34,27.5,25,200,0
large,34,27.05,26,200,0
large,34,29.15,32,250,0
large,34,27.05,25,200,0
large,34,26.25,27,200,0
large,34,27.05,28,40,0
large,34,27.9,28,200,0
sm/me,1,30,9,-9,0
sm/me,8,31.25,-9,150,0
sm/me,8,35,25,150,600
sm/me,8,37.9,22,100,100
sm/me,8,35.85,26,225,0
sm/me,8,32.1,26,150,1725
sm/me,9,37.5,28,-9,0
sm/me,9,36.25,31,75,0
sm/me,9,36.65,27,180,450
sm/me,9,36.65,23,-9,0
sm/me,9,37.5,-9,-9,0
sm/me,9,38.35,30,165,450
sm/me,9,36.25,28,40,0
sm/me,9,36.65,33,-9,-9
sm/me,9,36.65,29,-9,-9
sm/me,9,40,25,600,0
sm/me,9,35.4,20,180,750
sm/me,9,36.65,32,60,0
sm/me,9,36.65,25,45,180
sm/me,9,34.15,23,300,300
sm/me,9,30.4,25,150,0
sm/me,9,36.65,27,30,900
sm/me,9,36.85,29,50,0
sm/me,9,37.9,27,225,0
sm/me,9,36.65,23,-9,0
sm/me,9,37.1,23,180,200
sm/me,9,36.65,26,180,450
sm/me,3,36.65,85,-9,390
sm/me,3,37.5,23,-9,150
sm/me,3,37.5,18,300,550
sm/me,3,37.5,22,190,0
sm/me,3,37.1,23,120,0
sm/me,3,37.5,16,300,180
sm/me,3,37.5,25,900,0
large,24,32.9,27,225,0
large,24,33.35,-9,225,0
large,24,31.25,27,225,0
large,24,31.25,27,225,0
large,24,31.25,25,225,0
large,24,31.25,24,225,0
large,24,31.25,32,225,0
large,24,32.5,27,225,0
large,24,32.5,25,225,0
large,25,31.25,30,225,0
large,25,31.25,27,225,0
large,25,31.25,25,225,0
large,25,30,32,225,0
large,25,31.25,32,225,0
large,25,32.5,27,225,0
large,25,31.25,32,225,0
large,25,31.25,25,225,0
