stratum,adm_state,state,trucktype,tabtrucks,bodytype,adm_modelyear,vius_gvw,miles_annl,miles_life,mpg,opclass,opclass_mtr,opclass_own,opclass_psl,opclass_pvt,opclass_rnt,transmssn,trip_primary,trip0_50,trip051_100,trip101_200,trip201_500,trip500more,adm_make,business
61,6,CA,1,18410.017,1,7,1,1200,61500,-99,5,0,0,100,0,0,2,2,100,0,0,0,0,15,-99
61,6,CA,1,18410.017,1,7,1,12000,70000,18,1,0,0,20,80,0,1,2,95,5,0,0,0,6,6
61,6,CA,1,18410.017,1,17,1,0,85000,-99,6,-99,-99,-99,-99,-99,1,8,-99,-99,-99,-99,-99,1,-99
61,6,CA,1,18410.017,1,14,1,1870,208503,30,5,0,0,100,0,0,2,7,-99,-99,-99,-99,-99,18,-99
61,6,CA,1,18410.017,1,15,1,5000,131361,26,1,0,0,0,100,0,2,3,0,100,0,0,0,13,5
61,6,CA,1,18410.017,1,6,1,12304,79813,-99,5,0,0,100,0,0,1,7,-99,-99,-99,-99,-99,4,-99
61,6,CA,1,18410.017,1,17,2,5000,119867,-99,5,0,0,100,0,0,1,2,100,0,0,0,0,1,-99
61,6,CA,1,18410.017,1,17,1,10458,167000,8.6,5,0,0,100,0,0,2,2,85,15,0,0,0,1,-99
61,6,CA,1,18410.017,1,6,1,10203,56439,17,5,0,0,100,0,0,1,2,85,15,0,0,0,3,-99
61,6,CA,1,18410.017,1,10,1,16125,220000,15,5,0,0,100,0,0,2,3,0,80,15,5,0,18,-99
61,6,CA,1,18410.017,1,11,1,8000,98000,26,5,0,0,100,0,0,1,2,98,0,0,2,0,18,-99
61,6,CA,1,18410.017,1,11,1,10000,257216,10,5,0,0,100,0,0,2,2,50,0,0,50,0,18,-99
61,6,CA,1,18410.017,1,3,1,12733,38963,-99,4,0,0,0,0,100,-99,7,-99,-99,-99,-99,-99,18,2
61,6,CA,1,18410.017,1,17,1,0,130003,-99,6,-99,-99,-99,-99,-99,1,8,-99,-99,-99,-99,-99,3,-99
61,6,CA,1,18410.017,1,15,1,3000,175623,15,1,0,0,0,100,0,1,2,100,0,0,0,0,4,6
61,6,CA,1,18410.017,1,13,1,10000,170000,17,5,0,0,100,0,0,2,3,0,100,0,0,0,1,-99
61,6,CA,1,18410.017,1,11,2,15600,195654,25,5,0,0,90,10,0,2,2,90,10,0,0,0,15,-99
61,6,CA,1,18410.017,1,3,1,12733,38963,-99,5,0,0,100,0,0,-99,7,-99,-99,-99,-99,-99,4,-99
61,6,CA,1,18410.017,1,3,1,12733,38963,-99,1,0,0,20,80,0,1,2,50,30,10,5,5,1,6
61,6,CA,1,18410.017,1,3,1,9000,20400,-99,1,0,0,40,60,0,2,2,70,30,0,0,0,4,6
61,6,CA,1,18410.017,1,17,1,2765,158603,-99,5,0,0,100,0,0,1,7,-99,-99,-99,-99,-99,4,-99
61,6,CA,1,18410.017,1,17,2,300,153832,15,5,0,0,100,0,0,2,2,100,0,0,0,0,1,-99
61,6,CA,1,18410.017,1,9,1,7000,126000,18,5,0,0,100,0,0,1,3,0,100,0,0,0,1,-99
61,6,CA,1,18410.017,1,1,2,12000,16783,15,5,0,0,100,0,0,1,3,0,100,0,0,0,4,-99
61,6,CA,1,18410.017,1,17,1,3000,150000,11,5,0,0,100,0,0,1,2,100,0,0,0,0,1,-99
61,6,CA,1,18410.017,1,14,1,24000,88000,12,5,0,0,100,0,0,1,4,50,0,50,0,0,1,-99
61,6,CA,1,18410.017,1,12,1,10000,185000,30,5,0,0,100,0,0,2,2,100,0,0,0,0,18,-99
61,6,CA,1,18410.017,1,14,1,10445,130733,-99,5,0,0,100,0,0,2,7,-99,-99,-99,-99,-99,10,-99
61,6,CA,1,18410.017,1,17,1,0,73000,-99,6,-99,-99,-99,-99,-99,1,8,-99,-99,-99,-99,-99,1,-99
61,6,CA,1,18410.017,1,1,2,11746,21496,-99,1,0,0,0,100,0,1,2,100,0,0,0,0,4,6
61,6,CA,1,18410.017,1,14,1,5500,58930,23,5,0,0,100,0,0,2,2,100,0,0,0,0,13,-99
61,6,CA,1,18410.017,1,11,1,12000,132708,11.2,1,0,0,20,80,0,1,2,45,20,0,30,0,4,3
61,6,CA,1,18410.017,1,17,1,0,127623,-99,6,-99,-99,-99,-99,-99,1,8,-99,-99,-99,-99,-99,3,-99
61,6,CA,1,18410.017,1,17,1,8000,360000,10,5,0,0,100,0,0,1,2,100,0,0,0,0,1,-99
61,6,CA,1,18410.017,1,6,1,9000,39000,20,5,0,0,90,10,0,1,2,95,5,0,0,0,15,-99
61,6,CA,1,18410.017,1,17,1,0,157954,-99,6,-99,-99,-99,-99,-99,2,8,-99,-99,-99,-99,-99,4,-99
61,6,CA,1,18410.017,1,3,3,12000,50000,13,5,0,0,100,0,0,1,6,10,0,10,20,60,1,-99
61,6,CA,1,18410.017,1,8,1,17000,118017,9.5,1,0,0,0,100,0,1,2,75,25,0,0,0,4,6
61,6,CA,1,18410.017,1,5,1,28480,62000,16.2,5,0,0,100,0,0,1,2,85,5,5,5,0,6,-99
61,6,CA,1,18410.017,1,8,1,15247,92000,20,5,0,0,100,0,0,2,2,100,0,0,0,0,4,-99
61,6,CA,1,18410.017,1,15,1,2000,131361,12,5,0,0,100,0,0,1,2,100,0,0,0,0,4,-99
61,6,CA,1,18410.017,1,10,1,15000,180681,17,1,0,0,0,100,0,2,2,100,0,0,0,0,18,-99
61,6,CA,1,18410.017,1,14,1,4500,57150,9,5,0,0,100,0,0,1,2,100,0,0,0,0,1,-99
61,6,CA,1,18410.017,1,1,1,9831,9831,15,5,0,0,100,0,0,1,2,100,0,0,0,0,18,-99
61,6,CA,1,18410.017,1,17,2,1500,22116,12,5,0,0,100,0,0,1,2,75,0,25,0,0,1,-99
61,6,CA,1,18410.017,1,7,1,10000,72000,16,5,0,0,100,0,0,1,2,100,0,0,0,0,1,-99
61,6,CA,1,18410.017,1,14,1,100,124000,21,5,0,0,100,0,0,1,3,0,100,0,0,0,9,-99
61,6,CA,1,18410.017,1,1,1,13000,22500,12.1,5,0,0,100,0,0,1,2,70,20,0,10,0,3,-99
61,6,CA,1,18410.017,1,17,1,10000,176926,20,5,0,0,100,0,0,2,2,80,20,0,0,0,14,-99
61,6,CA,1,18410.017,1,1,3,30000,60000,16,1,0,0,10,90,0,1,2,70,20,10,0,0,1,10
61,6,CA,1,18410.017,1,17,2,10000,250000,-99,5,0,0,100,0,0,2,7,-99,-99,-99,-99,-99,4,-99
61,6,CA,1,18410.017,1,2,2,6000,14000,18,5,0,0,100,0,0,1,2,90,10,0,0,0,4,-99
61,6,CA,1,18410.017,1,5,1,10000,78000,20.1,5,0,0,100,0,0,1,2,100,0,0,0,0,4,-99
61,6,CA,1,18410.017,1,6,1,9228,79813,-99,5,0,0,100,0,0,-99,7,-99,-99,-99,-99,-99,18,-99
61,6,CA,1,18410.017,1,8,2,35000,202000,17,5,0,0,100,0,0,1,2,80,10,0,10,0,3,-99
61,6,CA,1,18410.017,1,4,1,13820,58747,-99,5,0,0,100,0,0,-99,7,-99,-99,-99,-99,-99,18,-99
61,6,CA,1,18410.017,1,3,1,17427,29014,19,5,0,0,90,10,0,1,7,-99,-99,-99,-99,-99,3,-99
61,6,CA,1,18410.017,1,13,1,2000,100000,12,1,0,0,0,100,0,1,2,100,0,0,0,0,4,11
61,6,CA,1,18410.017,1,17,1,122,139890,-99,5,0,0,100,0,0,2,2,100,0,0,0,0,15,-99
61,6,CA,1,18410.017,1,4,1,15000,60000,19,5,0,0,100,0,0,2,2,75,10,5,5,5,15,-99
61,6,CA,1,18410.017,1,1,2,12010,17025,18,1,0,0,0,100,0,2,2,95,4,0,0,0,4,6
61,6,CA,1,18410.017,1,9,2,4000,111650,12.2,5,0,0,100,0,0,2,2,80,0,0,0,0,18,-99
61,6,CA,1,18410.017,1,5,1,25000,138900,17,5,0,0,100,0,0,1,7,-99,-99,-99,-99,-99,18,-99
61,6,CA,1,18410.017,1,2,2,20000,64500,13,2,50,0,20,30,0,1,2,75,10,10,3,0,4,7
61,6,CA,1,18410.017,1,17,1,1422,140907,-99,5,0,0,100,0,0,1,2,100,0,0,0,0,4,-99
61,6,CA,1,18410.017,1,8,1,6000,105000,10,5,0,0,100,0,0,1,6,0,0,0,0,100,4,-99
61,6,CA,1,18410.017,1,17,1,100,200000,25,5,0,0,100,0,0,2,2,100,0,0,0,0,13,-99
61,6,CA,1,18410.017,1,2,1,15416,66234,-99,1,0,0,14,86,0,1,3,25,50,25,0,0,4,7
61,6,CA,1,18410.017,1,17,1,2000,120900,11,5,0,0,100,0,0,2,7,-99,-99,-99,-99,-99,4,-99
61,6,CA,1,18410.017,1,6,2,6851,42680,15.8,5,0,0,100,0,0,1,2,100,0,0,0,0,4,-99
61,6,CA,1,18410.017,1,1,2,25000,43682,9,1,0,0,25,75,0,1,3,16,73,11,0,0,4,6
61,6,CA,1,18410.017,1,15,1,7550,181180,20,5,0,0,100,0,0,2,1,0,0,0,0,0,18,-99
61,6,CA,1,18410.017,1,7,1,12000,26000,17,5,0,0,100,0,0,1,2,80,5,5,10,0,18,-99
61,6,CA,1,18410.017,1,17,1,2000,130000,12.2,5,0,0,100,0,0,1,7,-99,-99,-99,-99,-99,3,-99
61,6,CA,1,18410.017,1,4,1,40000,59000,10,5,0,0,100,0,0,1,2,100,0,0,0,0,18,-99
61,6,CA,1,18410.017,1,17,1,2538,170523,-99,5,0,0,100,0,0,-99,7,-99,-99,-99,-99,-99,1,-99
61,6,CA,1,18410.017,1,1,2,14000,14000,14,5,0,0,100,0,0,1,2,95,0,0,5,0,18,-99
61,6,CA,1,18410.017,1,4,1,31152,121152,-99,5,0,0,100,0,0,1,2,100,0,0,0,0,3,-99
61,6,CA,1,18410.017,1,3,1,18305,53305,12.7,5,0,0,100,0,0,1,2,90,5,0,0,0,4,-99
61,6,CA,1,18410.017,1,1,1,30000,51000,19,5,0,0,50,50,0,1,3,0,100,0,0,0,1,-99
61,6,CA,1,18410.017,1,17,1,10000,170000,18,5,0,0,100,0,0,2,3,0,80,0,10,0,4,-99
61,6,CA,1,18410.017,1,9,1,7300,120614,16,5,0,0,100,0,0,2,6,0,0,0,0,100,4,-99
61,6,CA,1,18410.017,1,17,1,2000,156000,10,5,0,0,100,0,0,1,2,100,0,0,0,0,4,-99
61,6,CA,1,18410.017,1,5,1,17000,53540,20,5,0,0,95,5,0,1,2,80,10,10,0,0,13,-99
61,6,CA,1,18410.017,1,2,1,15500,38000,23,5,0,0,100,0,0,-99,2,99,1,0,0,0,1,-99
61,6,CA,1,18410.017,1,2,1,15416,37710,-99,5,0,0,100,0,0,-99,7,-99,-99,-99,-99,-99,4,-99
61,6,CA,1,18410.017,1,10,1,4056,43395,15,1,0,0,0,100,0,1,2,100,0,0,0,0,4,5
61,6,CA,1,18410.017,1,5,2,18000,80000,20,5,0,0,100,0,0,2,2,95,3,2,0,0,18,-99
61,6,CA,1,18410.017,1,1,3,18200,21496,18,4,0,0,0,0,100,1,7,-99,-99,-99,-99,-99,3,2
61,6,CA,1,18410.017,1,1,2,20033,33439,-99,1,0,0,20,80,0,1,2,95,0,5,0,0,1,14
61,6,CA,1,18410.017,1,3,1,10000,17000,26,5,0,0,100,0,0,1,2,100,0,0,0,0,18,-99
61,6,CA,1,18410.017,1,2,2,12000,20000,15,1,0,0,0,100,0,1,6,0,0,0,0,100,4,-99
61,6,CA,1,18410.017,1,1,1,20000,30000,14.8,5,0,0,100,0,0,1,2,90,0,0,10,0,3,-99
61,6,CA,1,18410.017,1,17,1,8326,150000,-99,5,0,0,100,0,0,2,7,-99,-99,-99,-99,-99,15,-99
61,6,CA,1,18410.017,1,11,1,9000,100000,17,5,0,0,100,0,0,2,2,100,0,0,0,0,18,-99
61,6,CA,1,18410.017,1,2,1,20000,46000,13,5,0,0,100,0,0,2,2,88,1,0,5,5,3,-99
61,6,CA,1,18410.017,1,17,1,761,52781,12,5,0,0,100,0,0,1,3,0,100,0,0,0,4,-99
61,6,CA,1,18410.017,1,4,1,8850,31000,15.1,5,0,0,100,0,0,1,2,90,0,10,0,0,1,-99
61,6,CA,1,18410.017,1,1,1,18000,26000,21,5,0,0,100,0,0,1,2,100,0,0,0,0,1,-99
61,6,CA,1,18410.017,1,17,1,0,144352,-99,6,-99,-99,-99,-99,-99,1,8,-99,-99,-99,-99,-99,1,-99
61,6,CA,1,18410.017,1,10,1,4000,142698,20,5,0,0,100,0,0,2,7,-99,-99,-99,-99,-99,1,-99
61,6,CA,1,18410.017,1,9,1,1000,90000,25,5,0,0,100,0,0,2,3,0,100,0,0,0,18,-99
61,6,CA,1,18410.017,1,5,1,22240,65000,15,1,0,0,10,90,0,1,2,70,10,5,5,0,3,6
61,6,CA,1,18410.017,1,17,2,1209,79219,9.9,5,0,0,100,0,0,1,2,100,0,0,0,0,6,-99
61,6,CA,1,18410.017,1,5,1,14882,71979,-99,5,0,0,90,10,0,-99,7,-99,-99,-99,-99,-99,4,-99
61,6,CA,1,18410.017,1,5,2,24000,80000,10,5,0,0,100,0,0,2,7,-99,-99,-99,-99,-99,18,-99
61,6,CA,1,18410.017,1,4,1,10000,50000,15,5,0,0,100,0,0,1,2,50,0,50,0,0,3,-99
61,6,CA,1,18410.017,1,2,1,24000,40200,25,5,0,0,100,0,0,1,4,0,0,100,0,0,4,-99
61,6,CA,1,18410.017,1,17,1,0,179270,-99,6,-99,-99,-99,-99,-99,1,8,-99,-99,-99,-99,-99,3,-99
61,6,CA,1,18410.017,1,3,1,5000,20500,12.1,1,0,0,0,100,0,1,2,95,5,0,0,0,4,10
61,6,CA,1,18410.017,1,16,1,2000,98002,16,5,0,0,100,0,0,1,2,100,0,0,0,0,10,-99
61,6,CA,1,18410.017,1,17,2,11000,171465,20,5,0,0,100,0,0,2,7,-99,-99,-99,-99,-99,18,-99
61,6,CA,1,18410.017,1,5,1,18000,71000,18,5,0,0,100,0,0,1,2,95,5,0,0,0,4,-99
61,6,CA,1,18410.017,1,16,1,2000,104723,18.7,5,0,0,100,0,0,1,1,20,10,30,0,0,1,-99
61,6,CA,1,18410.017,1,5,1,14882,71979,-99,5,0,0,100,0,0,-99,7,-99,-99,-99,-99,-99,18,-99
61,6,CA,1,18410.017,1,12,1,28924,252000,11,5,0,0,100,0,0,1,2,95,4,0,0,0,6,-99
61,6,CA,1,18410.017,1,6,1,7127,74000,13.5,1,0,0,0,100,0,1,2,100,0,0,0,0,4,11
61,6,CA,1,18410.017,1,10,1,8000,113001,20,5,0,0,50,0,50,1,2,100,0,0,0,0,18,-99
61,6,CA,1,18410.017,1,16,1,1000,179638,17,5,0,0,100,0,0,2,2,90,10,0,0,0,10,-99
61,6,CA,1,18410.017,1,9,1,28000,136000,18.5,1,0,0,10,90,0,2,2,95,5,0,0,0,4,6
61,6,CA,1,18410.017,1,16,1,15000,200000,20,1,0,0,0,100,0,2,3,0,100,0,0,0,4,7
61,6,CA,1,18410.017,1,8,1,10000,75000,14.8,5,0,0,100,0,0,2,2,80,15,5,0,0,3,-99
61,6,CA,1,18410.017,1,8,1,2000,105000,15,5,0,0,100,0,0,2,2,99,0,0,0,0,15,-99
61,6,CA,1,18410.017,1,8,2,6500,165000,14.3,1,0,0,0,100,0,1,6,0,0,0,0,100,1,3
61,6,CA,1,18410.017,1,17,1,10000,185368,22,5,0,0,100,0,0,2,2,50,50,0,0,0,18,-99
61,6,CA,1,18410.017,1,17,1,0,153832,-99,6,-99,-99,-99,-99,-99,-99,8,-99,-99,-99,-99,-99,1,-99
61,6,CA,1,18410.017,1,16,1,10000,230123,22,5,0,0,100,0,0,2,2,100,0,0,0,0,18,-99
61,6,CA,1,18410.017,1,1,2,8415,80000,22.4,5,0,0,100,0,0,1,3,24,28,19,19,10,1,-99
61,6,CA,1,18410.017,1,11,1,15000,125000,25,5,0,0,100,0,0,2,7,-99,-99,-99,-99,-99,15,-99
61,6,CA,1,18410.017,1,16,1,7728,143849,18.4,5,0,0,100,0,0,2,2,100,0,0,0,0,14,-99
61,6,CA,1,18410.017,1,3,1,1500,3800,19.8,5,0,0,100,0,0,2,2,100,0,0,0,0,4,-99
61,6,CA,1,18410.017,1,5,1,13000,63000,20,5,0,0,100,0,0,1,2,71,5,9,5,0,18,-99
61,6,CA,1,18410.017,1,15,1,10000,105199,28,5,0,0,100,0,0,2,2,80,20,0,0,0,18,-99
61,6,CA,1,18410.017,1,14,1,10000,150000,18,5,0,0,100,0,0,2,2,70,10,0,0,0,18,-99
61,6,CA,1,18410.017,1,7,1,9283,69072,12.4,5,0,0,100,0,0,1,3,0,100,0,0,0,4,-99
61,6,CA,1,18410.017,1,14,1,25000,130733,26.4,5,0,0,100,0,0,2,3,10,90,0,0,0,18,-99
61,6,CA,1,18410.017,1,1,1,15000,20000,16,5,0,0,100,0,0,1,2,90,0,0,0,10,3,-99
61,6,CA,1,18410.017,1,17,1,0,124019,-99,6,-99,-99,-99,-99,-99,1,8,-99,-99,-99,-99,-99,4,-99
61,6,CA,1,18410.017,1,16,2,15600,102851,14,1,0,0,0,100,0,2,7,-99,-99,-99,-99,-99,4,6
61,6,CA,1,18410.017,1,14,1,4000,110000,13.6,5,0,0,100,0,0,1,2,100,0,0,0,0,1,-99
61,6,CA,1,18410.017,1,17,1,13000,235000,20,5,0,0,100,0,0,2,2,100,0,0,0,0,4,-99
61,6,CA,1,18410.017,1,7,1,35000,104000,25,5,0,0,100,0,0,1,2,50,50,0,0,0,18,-99
61,6,CA,1,18410.017,1,10,1,10000,146000,10,5,0,0,100,0,0,2,2,100,0,0,0,0,15,-99
61,6,CA,1,18410.017,1,2,1,30000,65000,16,1,0,0,0,100,0,1,3,0,100,0,0,0,6,6
61,6,CA,1,18410.017,1,11,1,8000,140000,20,1,0,0,0,100,0,1,2,95,5,0,0,0,3,6
61,6,CA,1,18410.017,1,17,1,16402,159150,-99,5,0,0,100,0,0,-99,7,-99,-99,-99,-99,-99,6,-99
61,6,CA,1,18410.017,1,4,2,13820,58747,-99,1,0,0,0,100,0,-99,7,-99,-99,-99,-99,-99,4,-99
61,6,CA,1,18410.017,1,14,1,8000,86000,16.5,1,0,0,0,100,0,2,2,100,0,0,0,0,18,6
61,6,CA,1,18410.017,1,17,1,6000,140395,12,1,0,0,0,100,0,1,2,85,15,0,0,0,1,14
61,6,CA,1,18410.017,1,6,1,10000,94706,19,5,0,0,100,0,0,2,2,83,10,5,1,1,18,-99
61,6,CA,1,18410.017,1,10,1,9074,113001,-99,5,0,0,100,0,0,2,2,100,0,0,0,0,14,-99
61,6,CA,1,18410.017,1,6,2,12304,79813,-99,1,0,0,0,100,0,1,2,100,0,0,0,0,4,9
61,6,CA,1,18410.017,1,2,3,25000,52000,11,1,0,0,0,100,0,-99,2,90,0,10,0,0,4,6
61,6,CA,1,18410.017,1,12,2,11772,139482,-99,5,0,0,100,0,0,1,7,-99,-99,-99,-99,-99,1,-99
61,6,CA,1,18410.017,1,17,1,400,102212,17,5,0,0,100,0,0,1,2,100,0,0,0,0,1,-99
61,6,CA,1,18410.017,1,12,1,7436,138125,22,1,0,0,0,100,0,2,2,100,0,0,0,0,18,14
61,6,CA,1,18410.017,1,3,2,44244,48122,15,1,0,0,2,98,0,1,7,-99,-99,-99,-99,-99,6,6
61,6,CA,1,18410.017,1,12,1,15000,166019,18.5,5,0,0,100,0,0,2,2,75,25,0,0,0,4,-99
61,6,CA,1,18410.017,1,2,2,5000,11000,19,5,0,0,100,0,0,1,7,-99,-99,-99,-99,-99,3,-99
61,6,CA,1,18410.017,1,4,1,12500,83300,18,5,0,0,100,0,0,1,2,85,5,9,0,1,6,-99
61,6,CA,1,18410.017,1,2,1,13000,27000,17,5,0,0,100,0,0,1,2,75,0,20,5,0,4,-99
61,6,CA,1,18410.017,1,17,1,2118,135604,14,1,0,0,2,98,0,1,4,15,5,80,0,0,1,9
61,6,CA,1,18410.017,1,2,2,15416,37710,10,1,0,0,0,100,0,2,4,0,0,100,0,0,4,10
61,6,CA,1,18410.017,1,17,1,8892,171465,-99,5,0,0,100,0,0,2,7,-99,-99,-99,-99,-99,18,-99
61,6,CA,1,18410.017,1,11,1,10000,106500,12.6,5,0,0,100,0,0,2,2,100,0,0,0,0,4,-99
61,6,CA,1,18410.017,1,3,1,15000,35000,20,5,0,0,100,0,0,2,6,0,0,0,0,100,4,-99
61,6,CA,1,18410.017,1,17,1,1190,93129,15,5,0,0,100,0,0,1,2,100,0,0,0,0,6,-99
61,6,CA,1,18410.017,1,6,1,12000,93830,18,5,0,0,100,0,0,1,2,80,10,5,5,0,4,-99
61,6,CA,1,18410.017,1,10,1,12000,60000,27,1,0,0,0,100,0,1,1,30,20,10,0,0,18,9
61,6,CA,1,18410.017,1,2,3,35000,48700,18.9,1,0,0,30,70,0,1,2,65,10,15,10,0,1,3
61,6,CA,1,18410.017,1,17,2,10000,193375,15,5,0,0,100,0,0,2,2,100,0,0,0,0,18,-99
61,6,CA,1,18410.017,1,11,1,5906,92750,25.5,5,0,0,100,0,0,2,2,100,0,0,0,0,15,-99
61,6,CA,1,18410.017,1,4,1,19401,107860,20,5,0,0,100,0,0,1,2,90,0,0,0,10,1,-99
61,6,CA,1,18410.017,1,5,1,32667,129252,20,1,0,0,0,100,0,2,4,33,33,33,1,0,18,7
61,6,CA,1,18410.017,1,5,1,11000,50000,23,5,0,0,100,0,0,2,2,90,0,10,0,0,15,-99
61,6,CA,1,18410.017,1,7,1,20000,78000,18,5,0,0,100,0,0,1,2,50,50,0,0,0,1,-99
62,6,CA,2,17078.567,4,4,1,10500,36250,18,1,0,0,25,75,0,1,2,75,5,10,8,0,10,14
62,6,CA,2,17078.567,2,2,1,10000,22000,20,5,0,0,100,0,0,1,2,80,0,10,10,0,18,-99
62,6,CA,2,17078.567,2,3,1,13000,39038,12,5,0,0,100,0,0,1,2,90,4,5,0,1,4,-99
62,6,CA,2,17078.567,4,6,2,12000,90000,24,5,0,0,100,0,0,1,2,75,25,0,0,0,7,-99
62,6,CA,2,17078.567,4,13,1,10000,171641,18,5,0,0,100,0,0,2,2,83,10,5,0,0,9,-99
62,6,CA,2,17078.567,4,2,1,3800,37710,23,5,0,0,100,0,0,1,7,-99,-99,-99,-99,-99,7,-99
62,6,CA,2,17078.567,2,8,1,20000,118000,15,5,0,0,100,0,0,1,2,95,0,0,5,0,3,-99
