int,region,sex,race,age,income,education,postwt
2,Midwest,Female,White,77,<$40k,College Grad,0.154733066
4,Midwest,Male,White,64,$40-$80k,Some College,0.268422977
5,Midwest,Female,White,53,<$40k,Some College,0.154733066
1,Midwest,Female,White,55,>$80k,College Grad,0.154733066
1,Midwest,Male,White,79,>$80k,Grad School,0.268422977
1,Midwest,Female,Black,60,<$40k,Some College,0.508954536
3,Midwest,Female,White,52,$40-$80k,No College,0.154733066
3,Midwest,Male,White,40,<$40k,Some College,1.379636378
3,Midwest,Female,White,80,<$40k,No College,0.154733066
3,Midwest,Female,White,63,$40-$80k,No College,0.154733066
2,Midwest,Female,White,43,>$80k,College Grad,1.19171607
1,Midwest,Male,White,37,$40-$80k,Some College,1.379636378
2,Midwest,Female,White,60,<$40k,Some College,0.154733066
2,Midwest,Female,White,88,<$40k,College Grad,0.154733066
3,Midwest,Female,White,85,<$40k,Some College,0.154733066
2,Midwest,Female,White,83,<$40k,No College,0.154733066
4,Midwest,Male,White,88,MISSING,MISSING,0.268422977
1,Midwest,Female,White,72,<$40k,No College,0.154733066
2,Midwest,Female,White,70,<$40k,Some College,0.154733066
5,Midwest,Male,White,73,$40-$80k,Grad School,0.268422977
2,Midwest,Male,Other,48,>$80k,Grad School,0.604890752
2,Midwest,Male,Other,63,>$80k,No College,0.604890752
2,Midwest,Female,White,85,$40-$80k,No College,0.154733066
5,Midwest,Female,White,87,<$40k,Some College,0.154733066
5,Midwest,Female,White,64,MISSING,College Grad,0.154733066
3,Midwest,Female,White,51,>$80k,No College,0.154733066
3,Midwest,Female,White,46,$40-$80k,No College,0.154733066
3,South,Female,White,81,<$40k,No College,0.154733066
5,South,Male,White,48,<$40k,Grad School,0.268422977
3,South,Female,White,44,<$40k,No College,0.154733066
2,South,Female,White,54,<$40k,Grad School,0.154733066
3,South,Female,White,63,<$40k,Some College,0.154733066
2,South,Male,White,21,$40-$80k,No College,1.379636378
3,South,Male,Black,74,$40-$80k,Grad School,0.604890752
2,South,Female,White,74,<$40k,No College,0.154733066
4,South,Male,Hispanic,38,<$40k,No College,1.993899145
3,Midwest,Female,White,49,>$80k,Some College,0.154733066
3,Midwest,Female,White,81,<$40k,Some College,0.154733066
2,Midwest,Female,White,48,$40-$80k,Some College,0.154733066
2,Midwest,Female,White,73,<$40k,Some College,0.154733066
2,Midwest,Female,Other,49,<$40k,Some College,0.508954536
2,Midwest,Male,White,75,>$80k,College Grad,0.268422977
5,Midwest,Male,White,56,>$80k,Some College,0.268422977
1,Midwest,Male,White,54,<$40k,No College,0.268422977
1,Midwest,Male,White,74,<$40k,Some College,0.268422977
1,Midwest,Male,White,50,<$40k,College Grad,0.268422977
2,South,Male,White,77,$40-$80k,Grad School,0.268422977
2,South,Female,White,62,<$40k,Grad School,0.154733066
3,South,Male,White,80,<$40k,Some College,0.268422977
2,South,Female,White,80,$40-$80k,College Grad,0.154733066
3,South,Female,White,62,$40-$80k,College Grad,0.154733066
1,South,Female,White,54,$40-$80k,College Grad,0.154733066
2,South,Female,White,76,<$40k,Some College,0.154733066
2,Midwest,Male,White,61,$40-$80k,Grad School,0.268422977
2,Midwest,Male,White,77,>$80k,College Grad,0.268422977
3,Midwest,Female,White,58,$40-$80k,Some College,0.154733066
3,Midwest,Female,Black,76,<$40k,Grad School,0.508954536
2,Midwest,Male,White,39,>$80k,Grad School,1.379636378
3,Midwest,Female,White,73,>$80k,Grad School,0.154733066
3,Midwest,Female,White,47,>$80k,College Grad,0.154733066
1,Midwest,Female,Black,57,<$40k,Some College,0.508954536
2,Midwest,Female,White,42,>$80k,Grad School,1.19171607
2,Midwest,Female,White,42,MISSING,Grad School,1.19171607
2,Midwest,Female,White,58,>$80k,Grad School,0.154733066
2,South,Female,White,63,<$40k,No College,0.154733066
2,South,Female,Black,54,>$80k,College Grad,0.508954536
2,South,Male,Black,77,<$40k,Some College,0.604890752
3,South,Female,White,82,<$40k,No College,0.154733066
1,South,Female,White,93,$40-$80k,College Grad,0.154733066
3,South,Male,White,68,$40-$80k,No College,0.268422977
3,South,Female,Black,62,<$40k,Some College,0.508954536
2,South,Female,White,57,>$80k,College Grad,0.154733066
3,South,Male,White,87,$40-$80k,Grad School,0.268422977
2,South,Male,White,78,$40-$80k,College Grad,0.268422977
3,South,Male,White,52,<$40k,No College,0.268422977
5,South,Female,Black,80,<$40k,Some College,0.508954536
5,South,Female,Black,75,<$40k,Some College,0.508954536
2,South,Female,White,70,$40-$80k,Some College,0.154733066
2,West,Female,White,72,<$40k,Some College,0.154733066
2,West,Male,White,84,<$40k,Grad School,0.268422977
1,South,Male,White,56,$40-$80k,No College,0.268422977
2,South,Male,White,64,>$80k,College Grad,0.268422977
2,South,Male,White,53,>$80k,Some College,0.268422977
2,South,Female,White,68,$40-$80k,Grad School,0.154733066
5,South,Male,White,74,>$80k,Some College,0.268422977
2,South,Female,White,80,$40-$80k,College Grad,0.154733066
5,South,Female,Hispanic,49,<$40k,No College,0.508954536
1,South,Male,Black,57,<$40k,No College,0.604890752
1,South,Female,Black,66,<$40k,No College,0.508954536
2,South,Female,White,75,<$40k,No College,0.154733066
3,South,Female,White,59,$40-$80k,Grad School,0.154733066
1,South,Female,White,35,$40-$80k,Some College,1.19171607
3,South,Female,White,56,<$40k,No College,0.154733066
3,South,Female,White,71,>$80k,Some College,0.154733066
5,South,Male,White,73,$40-$80k,Grad School,0.268422977
2,South,Female,White,78,<$40k,No College,0.154733066
5,South,Female,White,21,$40-$80k,Some College,1.19171607
1,South,Female,White,65,<$40k,No College,0.154733066
5,South,Female,White,47,MISSING,Grad School,0.154733066
2,South,Female,White,83,$40-$80k,Grad School,0.154733066
1,Midwest,Male,White,22,<$40k,Some College,1.379636378
2,Midwest,Male,White,47,$40-$80k,Some College,0.268422977
2,Midwest,Male,White,58,$40-$80k,Some College,0.268422977
2,Midwest,Male,White,61,>$80k,Grad School,0.268422977
5,Midwest,Female,White,62,$40-$80k,Some College,0.154733066
2,Midwest,Male,White,54,$40-$80k,Grad School,0.268422977
3,Midwest,Female,White,64,MISSING,Some College,0.154733066
5,Midwest,Female,White,64,>$80k,Grad School,0.154733066
3,Midwest,Male,White,82,<$40k,No College,0.268422977
3,Midwest,Female,White,69,$40-$80k,Grad School,0.154733066
2,Midwest,Female,White,29,MISSING,Some College,1.19171607
5,Midwest,Female,White,47,MISSING,MISSING,0.154733066
2,Midwest,Male,White,65,$40-$80k,No College,0.268422977
2,Midwest,Male,White,62,$40-$80k,Some College,0.268422977
2,Midwest,Male,White,39,>$80k,College Grad,1.379636378
2,Midwest,Female,White,69,$40-$80k,No College,0.154733066
5,Midwest,Female,White,75,<$40k,Some College,0.154733066
1,Midwest,Male,White,79,$40-$80k,No College,0.268422977
2,Midwest,Female,White,66,$40-$80k,Grad School,0.154733066
3,Midwest,Female,White,65,$40-$80k,Grad School,0.154733066
2,Midwest,Male,White,47,<$40k,Some College,0.268422977
2,Midwest,Male,White,77,$40-$80k,College Grad,0.268422977
3,Midwest,Male,White,80,$40-$80k,Some College,0.268422977
2,Midwest,Female,White,77,<$40k,No College,0.154733066
5,Midwest,Female,White,67,<$40k,No College,0.154733066
4,Midwest,Male,Hispanic,26,<$40k,No College,1.993899145
2,Midwest,Male,White,62,$40-$80k,College Grad,0.268422977
4,Midwest,Female,White,27,<$40k,Some College,1.19171607
5,Midwest,Female,White,53,>$80k,College Grad,0.154733066
3,South,Female,White,41,$40-$80k,No College,1.19171607
1,South,Male,Black,65,<$40k,No College,0.604890752
2,South,Female,White,59,<$40k,No College,0.154733066
3,South,Male,White,85,$40-$80k,Some College,0.268422977
3,South,Female,White,35,$40-$80k,No College,1.19171607
2,South,Female,White,79,$40-$80k,Some College,0.154733066
2,South,Male,White,68,$40-$80k,College Grad,0.268422977
3,South,Female,White,67,$40-$80k,No College,0.154733066
2,South,Female,Hispanic,70,$40-$80k,Some College,0.508954536
5,South,Female,White,57,<$40k,Some College,0.154733066
3,South,Female,White,30,<$40k,Some College,1.19171607
3,South,Male,White,51,<$40k,No College,0.268422977
1,South,Male,White,71,>$80k,Grad School,0.268422977
2,South,Male,White,53,$40-$80k,College Grad,0.268422977
3,South,Female,Asian,89,>$80k,Grad School,0.508954536
4,South,Female,Hispanic,52,<$40k,No College,0.508954536
2,South,Female,White,51,>$80k,College Grad,0.154733066
2,South,Male,White,59,>$80k,Grad School,0.268422977
3,South,Female,White,37,>$80k,Some College,1.19171607
1,South,Female,Black,20,<$40k,No College,1.212827831
2,South,Female,White,60,$40-$80k,College Grad,0.154733066
1,South,Female,Hispanic,40,$40-$80k,Some College,1.212827831
2,South,Female,Black,35,$40-$80k,Some College,1.212827831
2,South,Female,White,60,$40-$80k,Some College,0.154733066
3,South,Male,White,53,<$40k,No College,0.268422977
5,South,Female,White,61,$40-$80k,No College,0.154733066
2,South,Male,Other,65,$40-$80k,Some College,0.604890752
3,South,Female,White,62,<$40k,No College,0.154733066
5,South,Female,Black,58,<$40k,College Grad,0.508954536
2,South,Female,White,25,$40-$80k,Grad School,1.19171607
2,South,Male,White,48,>$80k,No College,0.268422977
5,South,Female,White,75,MISSING,Grad School,0.154733066
3,South,Female,White,65,$40-$80k,Grad School,0.154733066
5,South,Female,White,60,$40-$80k,College Grad,0.154733066
2,South,Male,White,69,$40-$80k,Some College,0.268422977
3,South,Female,Asian,83,$40-$80k,No College,0.508954536
2,South,Female,White,61,$40-$80k,Some College,0.154733066
2,South,Female,White,53,>$80k,No College,0.154733066
2,South,Female,White,45,>$80k,Grad School,0.154733066
3,South,Female,White,73,$40-$80k,Some College,0.154733066
2,South,Female,White,61,<$40k,No College,0.154733066
3,South,Female,White,52,$40-$80k,No College,0.154733066
5,South,Female,Black,68,<$40k,No College,0.508954536
2,South,Male,White,52,$40-$80k,Some College,0.268422977
3,South,Female,White,77,<$40k,Some College,0.154733066
2,South,Female,White,77,$40-$80k,No College,0.154733066
3,West,Female,Other,24,<$40k,Some College,1.212827831
3,West,Female,White,76,<$40k,College Grad,0.154733066
1,West,Male,White,42,>$80k,College Grad,1.379636378
1,West,Female,White,81,$40-$80k,College Grad,0.154733066
2,West,Female,White,64,$40-$80k,Some College,0.154733066
2,West,Female,White,26,$40-$80k,Grad School,1.19171607
2,West,Female,White,66,MISSING,Some College,0.154733066
3,West,Male,White,71,>$80k,Grad School,0.268422977
5,West,Female,White,25,$40-$80k,Some College,1.19171607
2,West,Male,White,24,$40-$80k,Grad School,1.379636378
2,South,Male,Other,56,$40-$80k,Some College,0.604890752
2,South,Female,Black,76,<$40k,No College,0.508954536
1,South,Female,White,53,>$80k,Some College,0.154733066
1,South,Male,White,20,<$40k,Some College,1.379636378
1,South,Male,White,75,<$40k,Grad School,0.268422977
3,South,Female,Black,86,<$40k,No College,0.508954536
1,South,Male,White,54,>$80k,Grad School,0.268422977
5,South,Male,White,41,<$40k,Some College,1.379636378
3,South,Male,White,51,<$40k,No College,0.268422977
3,South,Female,Other,33,$40-$80k,College Grad,1.212827831
3,South,Female,White,56,<$40k,No College,0.154733066
2,South,Female,White,78,<$40k,Some College,0.154733066
1,South,Male,White,49,>$80k,Grad School,0.268422977
3,South,Male,White,50,>$80k,College Grad,0.268422977
1,South,Male,White,82,<$40k,Some College,0.268422977
2,South,Female,White,26,<$40k,No College,1.19171607
2,South,Female,White,68,$40-$80k,Some College,0.154733066
2,South,Male,White,86,<$40k,No College,0.268422977
2,South,Female,White,71,<$40k,No College,0.154733066
5,South,Female,White,47,<$40k,No College,0.154733066
2,South,Male,Black,49,<$40k,No College,0.604890752
4,South,Female,Hispanic,34,$40-$80k,Grad School,1.212827831
2,South,Male,Other,69,<$40k,Some College,0.604890752
3,South,Female,Black,27,<$40k,Some College,1.212827831
3,South,Female,White,50,>$80k,College Grad,0.154733066
1,West,Male,White,45,$40-$80k,Grad School,0.268422977
2,West,Male,White,45,>$80k,College Grad,0.268422977
2,West,Female,White,54,MISSING,Some College,0.154733066
5,West,Female,White,72,MISSING,Some College,0.154733066
4,West,Female,Asian,54,>$80k,Some College,0.508954536
3,West,Female,White,56,$40-$80k,No College,0.154733066
2,Midwest,Male,White,52,$40-$80k,Some College,0.268422977
2,Midwest,Female,White,73,<$40k,Some College,0.154733066
5,Midwest,Male,Other,87,<$40k,No College,0.604890752
5,Midwest,Male,White,48,<$40k,Some College,0.268422977
3,Midwest,Female,White,66,<$40k,College Grad,0.154733066
3,Midwest,Male,White,57,$40-$80k,No College,0.268422977
3,Midwest,Female,White,59,>$80k,Grad School,0.154733066
3,Midwest,Female,White,60,>$80k,Some College,0.154733066
2,Midwest,Male,White,39,$40-$80k,Some College,1.379636378
2,West,Male,White,52,MISSING,College Grad,0.268422977
2,West,Male,Asian,71,>$80k,College Grad,0.604890752
5,West,Male,White,65,$40-$80k,Some College,0.268422977
2,West,Male,Other,53,<$40k,Some College,0.604890752
2,West,Female,White,57,>$80k,Grad School,0.154733066
5,Midwest,Male,Black,47,MISSING,MISSING,0.604890752
2,Midwest,Female,White,61,$40-$80k,College Grad,0.154733066
2,Midwest,Male,Black,20,<$40k,No College,1.993899145
1,Midwest,Female,White,46,>$80k,Grad School,0.154733066
5,Midwest,Male,Black,58,<$40k,Some College,0.604890752
3,Midwest,Female,Black,65,<$40k,Some College,0.508954536
2,Midwest,Female,White,85,$40-$80k,Grad School,0.154733066
5,Midwest,Female,White,58,>$80k,Some College,0.154733066
1,Midwest,Male,Black,81,$40-$80k,Some College,0.604890752
1,Midwest,Male,Black,88,>$80k,No College,0.604890752
1,Midwest,Male,White,76,>$80k,Some College,0.268422977
1,Midwest,Female,Black,77,<$40k,No College,0.508954536
2,Midwest,Female,White,58,<$40k,Some College,0.154733066
2,Midwest,Female,Hispanic,62,$40-$80k,Some College,0.508954536
2,Midwest,Male,Black,60,<$40k,College Grad,0.604890752
5,Midwest,Female,Black,76,$40-$80k,No College,0.508954536
3,Midwest,Female,White,57,>$80k,College Grad,0.154733066
1,Midwest,Female,White,81,<$40k,No College,0.154733066
2,Northeast,Female,White,67,<$40k,College Grad,0.154733066
2,Northeast,Male,White,59,$40-$80k,No College,0.268422977
2,Northeast,Female,White,80,<$40k,No College,0.154733066
3,Northeast,Female,White,51,$40-$80k,Grad School,0.154733066
5,Northeast,Female,White,80,<$40k,No College,0.154733066
2,Northeast,Male,White,73,<$40k,No College,0.268422977
2,Northeast,Female,White,56,<$40k,College Grad,0.154733066
4,Northeast,Male,Black,53,<$40k,Some College,0.604890752
2,Northeast,Female,White,42,>$80k,Grad School,1.19171607
2,Northeast,Female,White,61,$40-$80k,College Grad,0.154733066
2,Northeast,Male,White,56,>$80k,No College,0.268422977
2,Northeast,Male,Hispanic,23,<$40k,Some College,1.993899145
2,Northeast,Female,White,65,$40-$80k,Grad School,0.154733066
3,Midwest,Male,White,83,<$40k,No College,0.268422977
2,Midwest,Male,White,58,<$40k,No College,0.268422977
3,Midwest,Female,White,33,<$40k,No College,1.19171607
1,Midwest,Male,White,61,$40-$80k,Grad School,0.268422977
2,Midwest,Female,Hispanic,77,$40-$80k,No College,0.508954536
1,Midwest,Female,Hispanic,85,>$80k,No College,0.508954536
3,Midwest,Female,Other,75,$40-$80k,College Grad,0.508954536
3,Midwest,Female,White,56,>$80k,Some College,0.154733066
1,Midwest,Female,Black,68,<$40k,No College,0.508954536
2,Midwest,Female,White,80,<$40k,No College,0.154733066
2,Midwest,Male,White,66,>$80k,Grad School,0.268422977
2,Midwest,Female,White,65,<$40k,No College,0.154733066
4,Midwest,Female,White,49,$40-$80k,College Grad,0.154733066
1,Midwest,Male,White,39,<$40k,College Grad,1.379636378
3,Midwest,Female,White,51,>$80k,College Grad,0.154733066
2,Midwest,Male,White,68,>$80k,College Grad,0.268422977
3,Midwest,Female,White,44,$40-$80k,Some College,0.154733066
2,Midwest,Female,White,62,$40-$80k,College Grad,0.154733066
2,Midwest,Female,White,27,$40-$80k,Some College,1.19171607
3,Midwest,Female,White,58,<$40k,College Grad,0.154733066
3,South,Male,Black,37,<$40k,Some College,1.993899145
2,South,Male,White,49,<$40k,No College,0.268422977
2,South,Male,White,90,$40-$80k,No College,0.268422977
2,South,Male,White,41,<$40k,No College,1.379636378
2,South,Male,White,56,>$80k,Grad School,0.268422977
5,South,Female,White,65,$40-$80k,Some College,0.154733066
2,South,Male,White,51,$40-$80k,Some College,0.268422977
2,South,Male,White,59,$40-$80k,Some College,0.268422977
2,South,Female,White,45,<$40k,Some College,0.154733066
2,South,Male,White,70,>$80k,Grad School,0.268422977
2,South,Male,Black,62,$40-$80k,College Grad,0.604890752
5,South,Female,White,64,<$40k,No College,0.154733066
2,South,Male,White,76,<$40k,Some College,0.268422977
5,Midwest,Male,White,61,$40-$80k,Grad School,0.268422977
3,Midwest,Female,White,80,>$80k,Some College,0.154733066
2,Midwest,Female,Hispanic,21,>$80k,Some College,1.212827831
2,Midwest,Female,White,26,$40-$80k,Grad School,1.19171607
3,Midwest,Female,White,49,$40-$80k,No College,0.154733066
1,Midwest,Female,White,43,<$40k,Some College,1.19171607
2,Midwest,Female,White,88,<$40k,No College,0.154733066
3,Midwest,Female,White,40,$40-$80k,Some College,1.19171607
2,Midwest,Female,White,53,$40-$80k,Some College,0.154733066
2,Midwest,Female,White,73,$40-$80k,No College,0.154733066
1,Midwest,Female,White,80,<$40k,No College,0.154733066
3,Midwest,Male,White,52,<$40k,No College,0.268422977
3,South,Male,White,67,$40-$80k,Grad School,0.268422977
2,South,Female,White,80,<$40k,No College,0.154733066
1,South,Female,White,85,<$40k,No College,0.154733066
1,South,Male,White,52,>$80k,Some College,0.268422977
1,South,Male,Hispanic,36,<$40k,Some College,1.993899145
3,West,Female,White,77,$40-$80k,Some College,0.154733066
2,West,Female,White,61,>$80k,Grad School,0.154733066
2,South,Male,White,73,<$40k,College Grad,0.268422977
3,Midwest,Female,White,78,<$40k,No College,0.154733066
2,Midwest,Female,White,33,$40-$80k,Grad School,1.19171607
2,Midwest,Male,White,66,$40-$80k,Some College,0.268422977
2,Midwest,Female,White,55,$40-$80k,Some College,0.154733066
3,Midwest,Male,White,58,<$40k,No College,0.268422977
3,Midwest,Male,White,81,$40-$80k,Some College,0.268422977
2,Midwest,Female,White,65,<$40k,No College,0.154733066
2,Midwest,Female,White,71,$40-$80k,Grad School,0.154733066
4,Midwest,Male,Black,65,<$40k,No College,0.604890752
3,Midwest,Female,White,82,<$40k,No College,0.154733066
1,Midwest,Female,Black,82,MISSING,No College,0.508954536
2,Midwest,Female,White,39,<$40k,Some College,1.19171607
3,Midwest,Female,Black,59,<$40k,Grad School,0.508954536
2,Midwest,Female,White,40,>$80k,College Grad,1.19171607
2,Midwest,Male,White,64,$40-$80k,No College,0.268422977
2,Midwest,Female,White,80,$40-$80k,No College,0.154733066
2,Midwest,Female,White,54,<$40k,Some College,0.154733066
3,South,Female,White,66,>$80k,Some College,0.154733066
2,South,Male,Black,74,<$40k,Some College,0.604890752
2,South,Male,White,67,$40-$80k,Some College,0.268422977
5,South,Male,Black,55,$40-$80k,College Grad,0.604890752
2,South,Female,White,63,<$40k,Some College,0.154733066
4,South,Female,White,55,<$40k,Some College,0.154733066
2,South,Male,Black,36,<$40k,No College,1.993899145
3,South,Female,White,63,>$80k,College Grad,0.154733066
2,South,Female,White,74,<$40k,No College,0.154733066
2,South,Female,White,67,$40-$80k,Grad School,0.154733066
1,South,Male,White,80,$40-$80k,Some College,0.268422977
1,South,Male,Black,85,<$40k,No College,0.604890752
3,South,Male,White,69,<$40k,Some College,0.268422977
3,South,Female,White,72,$40-$80k,No College,0.154733066
2,South,Male,White,69,<$40k,No College,0.268422977
4,South,Male,Black,69,<$40k,No College,0.604890752
3,South,Female,White,81,$40-$80k,No College,0.154733066
2,South,Female,White,71,$40-$80k,Some College,0.154733066
3,South,Male,Hispanic,71,>$80k,College Grad,0.604890752
1,South,Female,White,70,$40-$80k,Some College,0.154733066
3,South,Female,White,53,<$40k,Some College,0.154733066
2,South,Female,White,78,<$40k,Some College,0.154733066
3,South,Female,White,83,<$40k,Some College,0.154733066
2,South,Male,White,42,$40-$80k,College Grad,1.379636378
2,South,Male,White,43,<$40k,No College,1.379636378
3,South,Male,White,73,MISSING,Some College,0.268422977
3,South,Male,White,60,<$40k,Grad School,0.268422977
2,South,Female,White,61,>$80k,Grad School,0.154733066
3,South,Female,White,85,<$40k,No College,0.154733066
2,South,Female,Black,75,<$40k,No College,0.508954536
1,West,Female,White,69,$40-$80k,Some College,0.154733066
2,West,Female,White,83,<$40k,No College,0.154733066
3,West,Female,White,78,<$40k,Some College,0.154733066
3,West,Female,White,86,<$40k,Grad School,0.154733066
1,West,Male,White,68,>$80k,Grad School,0.268422977
1,West,Female,White,77,$40-$80k,No College,0.154733066
2,West,Female,White,75,<$40k,Some College,0.154733066
3,West,Female,White,80,$40-$80k,Grad School,0.154733066
1,West,Female,White,61,<$40k,Some College,0.154733066
3,West,Female,White,67,$40-$80k,Some College,0.154733066
2,West,Female,White,79,<$40k,No College,0.154733066
3,West,Male,White,66,$40-$80k,No College,0.268422977
5,West,Male,White,73,<$40k,No College,0.268422977
1,West,Female,White,59,>$80k,College Grad,0.154733066
3,West,Male,White,72,<$40k,No College,0.268422977
2,South,Male,White,57,>$80k,Some College,0.268422977
2,South,Female,White,78,<$40k,Some College,0.154733066
3,South,Male,White,30,$40-$80k,Some College,1.379636378
2,South,Female,White,76,<$40k,No College,0.154733066
2,South,Female,White,84,<$40k,Grad School,0.154733066
2,South,Female,White,62,<$40k,Some College,0.154733066
2,South,Male,White,50,MISSING,Grad School,0.268422977
2,South,Male,White,67,$40-$80k,Some College,0.268422977
2,South,Female,White,78,<$40k,College Grad,0.154733066
2,Northeast,Female,White,67,$40-$80k,College Grad,0.154733066
2,Northeast,Male,White,61,>$80k,Grad School,0.268422977
2,Northeast,Male,White,42,<$40k,Some College,1.379636378
4,Northeast,Male,White,81,<$40k,No College,0.268422977
4,Northeast,Female,White,52,MISSING,MISSING,0.154733066
2,Northeast,Female,White,79,$40-$80k,Some College,0.154733066
5,Northeast,Male,White,59,MISSING,Some College,0.268422977
5,Northeast,Female,White,80,$40-$80k,Grad School,0.154733066
2,Midwest,Female,White,62,>$80k,Grad School,0.154733066
3,Midwest,Female,Black,61,$40-$80k,Some College,0.508954536
3,Midwest,Female,White,87,<$40k,Some College,0.154733066
3,Midwest,Female,White,67,<$40k,No College,0.154733066
2,Midwest,Male,White,56,>$80k,No College,0.268422977
2,Midwest,Male,White,21,$40-$80k,Some College,1.379636378
1,Midwest,Male,White,85,<$40k,Some College,0.268422977
2,South,Male,White,84,>$80k,Grad School,0.268422977
2,South,Male,White,71,>$80k,Grad School,0.268422977
1,South,Male,White,79,>$80k,College Grad,0.268422977
1,South,Female,Black,67,<$40k,Some College,0.508954536
1,South,Male,Black,25,$40-$80k,Some College,1.993899145
3,South,Male,Black,55,>$80k,No College,0.604890752
2,South,Female,White,26,$40-$80k,No College,1.19171607
2,South,Male,White,77,$40-$80k,Some College,0.268422977
5,South,Male,White,59,<$40k,No College,0.268422977
