stratum,y
2,14
2,12
2,17
2,14
2,17
2,16
2,14
2,17
2,12
2,13
2,13
2,11
2,16
2,13
2,12
2,13
2,12
2,8
2,16
2,12
2,15
2,9
2,14
2,12
2,16
2,10
2,10
2,18
2,16
2,17
2,13
2,22
2,15
2,10
2,9
2,10
2,15
2,13
2,14
2,12
2,11
2,13
2,8
2,12
2,12
2,13
2,8
2,12
2,16
2,12
2,15
2,15
2,9
2,21
2,12
2,12
2,9
2,15
2,11
2,10
2,8
2,10
2,11
2,10
2,21
2,13
2,11
2,19
2,14
2,18
2,13
2,10
2,11
2,10
2,11
2,16
2,13
2,14
2,17
2,14
2,13
2,17
2,10
2,15
2,16
2,9
2,10
2,18
2,13
2,14
2,15
2,11
2,9
2,8
2,10
2,12
2,10
2,14
2,15
2,12
2,13
2,16
2,9
2,20
2,15
2,14
2,15
2,11
2,10
2,8
2,19
2,14
2,20
2,16
2,12
2,11
2,14
2,13
2,13
2,12
2,11
2,12
2,14
2,18
2,10
2,12
2,19
2,16
2,11
2,16
2,16
2,12
2,12
2,11
2,11
2,9
2,13
2,15
2,14
2,12
2,15
2,13
2,14
2,14
2,12
2,15
2,9
2,13
2,11
2,15
2,20
2,9
2,11
2,10
2,13
2,11
2,9
2,14
2,12
2,14
2,12
2,14
2,17
2,12
2,10
2,13
2,8
2,13
2,13
2,12
2,11
2,11
2,11
2,15
2,17
2,12
2,12
2,13
2,11
2,11
2,13
2,11
2,13
2,13
2,10
2,14
2,17
2,11
2,14
2,14
2,9
2,14
2,13
2,10
2,13
2,15
2,14
2,12
2,11
2,16
2,13
2,12
2,11
2,17
2,16
2,10
2,15
2,12
2,18
2,18
2,13
2,11
2,14
2,13
2,11
2,10
2,11
2,10
2,12
2,17
2,16
2,7
2,10
2,9
2,21
2,14
2,14
2,9
2,17
2,12
2,16
2,18
2,11
2,13
2,16
2,24
2,12
2,11
2,11
2,8
2,9
2,18
2,12
2,14
2,17
2,17
2,14
2,18
2,22
2,15
2,11
2,10
2,13
2,8
2,14
2,13
2,16
2,12
2,17
2,14
2,8
2,13
2,11
2,10
2,13
2,11
2,12
2,11
2,11
2,14
2,13
2,16
2,18
2,9
2,10
2,14
2,13
2,15
2,13
3,17
3,13
3,15
3,15
3,16
3,18
3,16
3,16
3,11
3,18
3,18
3,16
3,15
3,19
3,18
3,17
3,17
3,16
3,17
3,14
3,14
3,11
3,15
3,20
3,17
3,17
3,14
3,16
3,16
3,17
3,16
3,15
3,18
3,15
3,17
3,15
3,18
3,16
3,16
3,16
3,15
3,15
3,20
3,14
3,18
3,14
3,18
3,19
3,18
3,14
3,18
3,15
3,16
3,19
3,14
3,15
3,17
3,18
3,21
3,21
3,17
3,17
3,17
3,16
3,17
3,20
3,14
3,16
3,19
3,17
3,17
3,15
3,14
3,21
3,16
3,14
3,13
3,18
3,11
3,20
3,16
3,16
3,18
3,16
3,16
3,18
3,18
3,17
3,17
3,19
3,19
3,17
3,16
3,15
3,16
3,16
3,14
3,17
3,17
3,13
3,17
3,18
3,19
3,13
3,14
3,16
3,16
3,15
3,13
3,15
3,20
3,19
3,19
3,15
3,16
3,19
3,19
3,16
3,17
3,13
3,16
3,20
3,14
3,18
3,16
3,13
3,18
3,15
3,20
3,16
3,18
3,15
3,22
3,20
3,19
3,18
3,16
3,19
3,18
3,20
3,17
3,17
3,16
3,16
3,21
3,19
3,18
3,17
3,19
3,17
3,17
3,18
3,17
3,14
3,17
3,23
3,11
3,14
3,17
3,13
3,16
3,14
3,16
3,17
3,18
3,17
3,13
3,18
3,15
3,17
3,12
3,14
3,18
3,15
3,20
3,17
3,16
3,18
3,17
3,16
3,17
3,19
3,17
3,21
3,18
3,15
3,15
3,15
3,20
3,17
3,16
3,16
3,16
3,15
3,16
3,16
3,19
3,17
3,16
3,14
3,20
3,16
3,12
3,17
3,13
3,17
3,18
3,17
3,20
3,13
3,15
3,19
3,16
3,19
3,16
3,18
3,15
3,19
3,15
3,17
3,14
3,21
3,17
3,21
3,15
3,14
3,15
3,19
3,18
3,18
3,20
3,19
3,18
3,19
3,18
3,20
3,18
3,17
3,22
3,15
3,16
3,20
3,17
3,17
3,14
3,16
3,15
3,16
3,16
3,14
3,18
3,21
3,18
3,19
3,19
3,16
3,19
3,19
3,22
3,15
3,15
3,16
3,16
3,18
3,16
3,14
3,16
3,15
3,17
3,16
3,16
3,17
3,18
3,16
3,14
3,17
3,21
3,15
3,17
3,13
3,19
3,23
3,15
3,14
3,14
3,16
3,17
3,15
3,12
3,16
3,13
3,20
3,17
3,14
3,14
3,17
3,20
3,19
3,15
3,17
3,18
3,14
3,21
3,20
3,13
3,13
3,19
3,14
3,11
3,18
3,18
3,17
3,16
3,17
3,16
3,14
3,17
3,18
3,13
3,15
3,19
3,20
3,20
3,20
3,16
3,16
3,18
3,18
3,15
3,16
3,18
3,17
3,16
3,21
3,17
3,21
3,14
3,17
3,17
3,20
3,16
3,13
3,18
3,16
3,18
3,13
3,18
3,17
3,21
3,19
3,14
3,18
3,17
3,18
3,16
3,16
3,15
3,18
3,18
3,17
3,16
3,13
3,19
3,18
3,18
3,15
3,17
3,15
3,15
3,17
3,23
3,15
3,13
3,14
3,15
3,14
3,18
3,13
3,20
3,21
3,13
3,18
3,14
3,17
3,17
3,22
3,16
3,18
3,15
3,16
3,20
3,18
3,15
3,16
3,20
3,18
3,23
3,16
3,16
3,17
4,25
4,19
4,22
4,20
4,17
4,22
4,22
4,22
4,21
4,22
4,19
4,18
4,19
4,24
4,23
4,18
4,18
4,25
4,18
4,19
4,22
4,22
4,18
4,22
4,19
4,25
4,19
4,18
4,20
4,21
4,20
4,18
4,19
4,20
4,19
4,22
4,14
4,21
4,18
4,20
4,27
4,25
4,26
4,18
4,19
4,21
4,20
4,17
4,19
4,21
4,20
4,20
4,19
4,23
4,13
4,18
4,21
4,18
4,22
4,23
4,24
4,27
4,20
4,20
4,14
4,27
4,19
4,23
4,20
4,25
4,20
4,19
4,20
4,13
4,18
4,23
4,15
4,18
4,24
4,19
4,19
4,25
4,23
4,22
4,20
4,22
4,21
4,20
4,22
4,14
4,18
4,22
4,22
4,20
4,22
4,14
4,22
4,23
4,21
4,26
4,23
4,21
4,21
4,22
4,27
4,21
4,22
4,20
4,24
4,19
4,19
4,17
4,23
4,19
4,20
4,15
4,24
4,16
4,17
4,17
4,20
4,16
4,18
4,16
4,20
4,16
4,15
4,23
4,19
4,19
4,23
4,12
4,15
4,23
4,19
4,25
4,21
4,14
4,22
4,16
4,20
4,21
4,18
4,20
4,22
4,19
4,16
4,17
4,26
4,18
4,25
4,25
4,21
4,18
4,20
4,20
4,18
4,17
4,21
4,19
4,22
4,20
4,18
4,15
4,20
4,18
4,22
4,16
4,23
4,18
4,18
4,14
4,19
4,26
4,22
4,20
4,24
4,21
4,21
4,23
4,12
4,16
4,17
4,17
4,21
4,17
4,20
4,19
4,19
4,20
4,23
4,23
4,17
4,16
4,19
4,16
4,22
4,21
4,20
4,21
4,20
4,17
4,17
4,26
4,20
4,20
4,16
4,21
4,17
4,18
4,22
4,22
4,21
4,20
4,18
4,22
4,24
4,16
4,20
4,13
4,19
4,17
4,27
4,21
4,24
4,17
4,27
4,17
4,21
4,23
4,20
4,17
4,30
4,25
4,25
4,15
4,18
4,16
4,16
4,19
4,14
4,24
4,23
4,21
4,20
4,18
4,17
4,19
4,21
4,16
4,18
4,21
4,15
4,20
4,16
4,16
4,18
4,17
4,17
4,20
4,20
4,17
4,17
4,19
4,18
4,21
4,27
4,20
4,16
4,18
4,17
4,21
4,19
4,18
4,19
4,20
4,19
4,24
4,22
4,15
4,18
4,15
4,20
4,20
4,23
4,18
4,17
4,19
4,21
4,20
4,20
4,16
4,18
4,26
4,17
4,18
4,22
4,23
4,25
4,23
4,19
4,19
4,21
4,24
4,19
4,17
4,20
4,18
4,21
4,15
4,18
4,18
4,18
4,19
4,18
4,23
4,20
4,23
4,21
4,24
4,19
4,21
4,18
4,21
4,23
4,22
4,22
4,15
4,18
4,26
4,22
4,22
4,21
4,18
4,21
4,21
4,21
4,18
4,19
4,14
4,19
4,25
4,21
4,16
4,24
4,24
4,18
4,24
4,19
4,18
4,20
4,18
4,19
4,17
4,21
4,17
4,23
4,20
4,22
4,17
4,26
4,20
4,17
4,16
4,21
4,17
4,25
4,18
4,22
4,21
4,26
4,20
4,16
4,13
4,22
4,22
4,16
4,16
4,18
4,23
4,22
4,18
4,17
4,19
4,18
4,19
4,19
4,20
4,18
4,20
4,15
4,22
4,20
4,17
4,20
4,17
4,24
4,18
4,18
4,24
4,24
4,21
4,21
4,20
4,23
4,24
4,26
4,16
4,16
4,21
4,26
4,24
4,23
4,24
4,26
4,20
4,14
4,22
4,19
4,22
4,23
4,25
4,17
4,21
4,20
4,16
4,17
4,20
4,19
4,32
4,16
4,24
4,16
4,21
4,22
4,17
4,19
4,25
4,19
4,19
4,21
4,18
4,20
4,20
4,21
4,24
4,15
4,17
4,21
4,21
4,20
4,25
4,29
4,17
4,18
4,16
4,19
4,22
4,17
4,17
4,17
4,17
4,22
4,17
4,19
4,17
4,14
4,18
4,26
4,22
4,21
4,17
4,15
4,20
4,17
4,21
4,23
4,25
4,21
4,16
4,17
4,24
4,23
4,18
4,16
4,21
4,17
4,21
4,17
4,29
4,13
4,17
4,18
4,24
4,22
4,25
4,21
4,20
4,22
4,20
4,17
4,20
4,24
4,20
4,20
4,21
4,21
4,19
4,22
4,26
4,19
4,23
4,21
4,25
4,19
4,24
4,17
4,20
4,19
4,23
4,19
4,17
4,20
4,21
4,25
4,26
4,17
4,23
4,22
4,21
4,16
4,20
4,17
4,18
4,26
4,24
4,20
4,28
4,17
4,19
4,20
4,21
4,18
4,24
4,22
4,21
4,22
4,19
4,23
4,17
4,16
4,19
4,19
4,24
4,23
4,18
4,21
4,18
4,23
4,23
4,21
4,17
4,20
4,21
4,23
4,19
4,22
4,21
4,19
4,14
4,23
4,19
4,18
4,22
4,20
4,21
4,21
4,20
4,18
4,18
4,22
4,22
4,19
4,25
4,13
4,18
4,19
4,20
4,21
4,26
4,19
4,17
4,21
4,24
4,22
4,21
4,15
4,18
4,18
4,18
