clutch,csize,length,breadth,volume,tmt
32,8,47.65,32.1,1.5461472,0
32,8,48.5,33.7,1.573728,0
33,10,49.8,34.4,2.52486,1
33,10,48.5,34,2.45895,1
34,10,48.05,35.15,2.436135,1
34,10,50.05,35.25,2.537535,1
35,9,48,33.3,1.971216,0
35,9,48.75,33.3,2.00201625,0
36,9,47.9,35.4,1.9671093,0
36,9,45.85,33.8,1.88292195,0
37,8,45.1,33.3,1.4634048,0
37,8,47.2,33.45,1.5315456,0
38,9,47.05,34.5,1.93220235,0
38,9,47.15,33.3,1.93630905,0
39,8,47.6,35,1.5445248,0
39,8,48.85,35.1,1.5850848,0
40,10,47.2,33.5,2.39304,0
40,10,48,34.65,2.4336,0
41,11,47.6,33.8,2.9201172,1
41,11,44.3,31.6,2.7176721,1
42,7,50.1,33.7,1.2446343,1
42,7,49.25,33.15,1.22351775,1
43,7,51.4,33.4,1.2769302,1
43,7,50.1,33.35,1.2446343,1
44,11,49.2,33.3,3.0182724,1
44,11,49.6,33.7,3.0428112,1
45,10,49.25,33.45,2.496975,0
45,10,48.25,33.9,2.446275,0
46,9,51.1,34.9,2.0985237,1
46,9,50,34.8,2.05335,1
47,11,51.5,33.6,3.1593705,1
47,11,51.5,34.4,3.1593705,1
48,9,47.95,31.8,1.96916265,1
48,9,46.25,31.55,1.89934875,1
49,9,46.55,32.6,1.91166885,1
49,9,46.7,32.5,1.9178289,1
50,8,49.35,33.2,1.6013088,0
50,8,48.8,33.75,1.5834624,0
51,10,48.95,35,2.481765,1
51,10,48.5,34.2,2.45895,1
52,11,50.75,34.85,3.11336025,0
52,11,48.45,33.5,2.97226215,0
53,9,50.15,31.7,2.05951005,0
53,9,50.25,31.85,2.06361675,0
54,10,47.85,32.9,2.425995,0
54,10,47.85,33.5,2.425995,0
55,8,48.85,33.1,1.5850848,0
55,8,48.35,32.6,1.5688608,0
56,9,46.6,33.3,1.9137222,1
56,9,46,31.4,1.889082,1
57,10,52.1,35.15,2.64147,1
57,10,51.9,35.15,2.63133,1
58,6,48.55,33.15,0.8861346,0
58,6,47.65,33.5,0.8697078,0
59,6,48.5,33.35,0.885222,1
59,6,47.75,32.8,0.871533,1
60,6,50.1,34.3,0.9144252,1
60,6,48.8,34.1,0.8906976,1
61,8,46.9,32.75,1.5218112,0
61,8,45.2,33,1.4666496,0
62,8,49.2,33.3,1.5964416,0
62,8,49.25,33.2,1.598064,0
63,8,46.7,30.8,1.5153216,0
63,8,45.6,30.4,1.4796288,0
64,9,49.15,33.4,2.01844305,0
64,9,50.3,33,2.0656701,0
65,6,44.35,31.8,0.8094762,1
65,6,44.8,32.5,0.8176896,1
66,7,47.65,31.75,1.18376895,0
66,7,49.3,32.85,1.2247599,0
67,5,51.8,34.35,0.656565,0
67,5,52.35,34.05,0.66353625,0
68,9,51.05,34.15,2.09647035,0
68,9,49.5,33.65,2.0328165,0
69,8,46.9,33.85,1.5218112,0
69,8,48.5,33.45,1.573728,0
70,12,47.95,34.15,3.5007336,1
70,12,48.3,34.65,3.5262864,1
71,10,48.8,34.7,2.47416,0
71,10,50.75,34.45,2.573025,0
72,9,49.45,35.25,2.03076315,1
72,9,46.9,32.65,1.9260423,1
73,9,50.5,33.95,2.0738835,0
73,9,51.65,34.25,2.12111055,0
74,8,47.1,34.2,1.5283008,1
74,8,45.95,33.9,1.4909856,1
75,13,45.75,34.05,3.91999725,0
75,13,45.68,33.12,3.91399944,0
76,9,51.4,35.35,2.1108438,1
76,9,50.35,34.7,2.06772345,1
77,10,49.3,33.8,2.49951,0
77,10,48.5,33.5,2.45895,0
78,8,48.95,33.3,1.5883296,0
78,8,48.8,33.7,1.5834624,0
79,11,49.45,33.6,3.03360915,1
79,11,49.52,33.1,3.03790344,1
80,8,50,34.85,1.6224,0
80,8,47.3,32.2,1.5347904,0
81,7,47.9,35,1.1899797,0
81,7,50.1,34.5,1.2446343,0
82,7,47.75,32.35,1.18625325,0
82,7,47.95,32.8,1.19122185,0
83,7,46.35,31.8,1.15147305,1
83,7,46.55,31.95,1.15644165,1
84,5,45.91,33.19,0.58190925,1
84,5,45.21,32.42,0.57303675,1
85,5,50.6,33.9,0.641355,0
85,5,51.85,34.1,0.65719875,0
86,9,52.04,34.32,2.13712668,1
86,9,51.05,34.47,2.09647035,1
87,10,49.7,33.1,2.51979,0
87,10,48.05,33.25,2.436135,0
88,9,45.17,32.69,1.85499639,0
88,11,46.32,32.14,2.84159304,0
89,11,49.35,33.5,3.02747445,0
89,11,48.95,32.19,3.00293565,0
90,9,46.72,32.19,1.91865024,0
90,9,49.92,33.81,2.05006464,0
91,9,50.81,33.52,2.08661427,0
91,9,48.25,33.59,1.98148275,0
92,10,47.05,32.48,2.385435,0
92,10,48.18,33.01,2.442726,0
93,7,47.95,34.07,1.19122185,0
93,7,47.33,34.79,1.17581919,0
94,10,50.73,33.98,2.572011,0
94,10,49.69,32.78,2.519283,0
95,7,49.23,33.82,1.22302089,1
95,7,49.52,32.22,1.23022536,1
96,6,49.22,33.71,0.89836344,1
96,6,47.25,33.4,0.862407,1
97,5,46.75,34.05,0.59255625,1
97,5,47,34.7,0.595725,1
98,9,48.09,33.82,1.97491203,1
98,9,48.27,32.98,1.98230409,1
99,11,48.7,33.7,2.9875989,1
99,11,48.71,33.89,2.98821237,1
100,10,47.7,32.65,2.41839,1
100,10,45.67,31.61,2.315469,1
101,12,46.78,33.49,3.41531424,0
101,12,47.19,33.18,3.44524752,0
102,5,49.67,33.65,0.62956725,0
102,5,47.65,32.66,0.60396375,0
103,7,48.03,32.85,1.19320929,0
103,7,43.33,30.94,1.07644719,0
104,7,46.22,32.45,1.14824346,1
104,7,43.95,31.25,1.09184985,1
105,9,48.12,33.18,1.97614404,0
105,9,48.67,33.42,1.99873089,0
106,11,48.36,34.35,2.96674092,0
106,11,49.83,34.35,3.05692101,0
107,9,51.96,35.27,2.13384132,0
107,9,49.96,34.55,2.05170732,0
108,9,47.13,32.58,1.93548771,0
108,9,48.31,33.31,1.98394677,0
109,10,46.65,31.56,2.365155,0
109,10,48.46,33.9,2.456922,0
110,9,46.02,33.58,1.88990334,0
110,9,48.07,33.38,1.97409069,0
111,10,51.42,35.49,2.606994,0
111,10,51.16,35.52,2.593812,0
112,12,49.32,34.43,3.60075456,0
112,12,50.08,34.39,3.65624064,0
113,8,50.92,34.55,1.65225216,0
113,8,50.7,35.84,1.6451136,0
114,8,50.14,35.23,1.62694272,0
114,8,51.42,35.02,1.66847616,0
115,11,46.82,33.5,2.87226654,0
115,11,46.75,33.55,2.86797225,0
116,9,51.88,34.77,2.13055596,0
116,9,51.28,35.68,2.10591576,0
117,10,51.36,36.19,2.603952,0
117,10,50.49,35.75,2.559843,0
118,8,49.32,34.1,1.60033536,0
118,8,49.65,34.17,1.6110432,0
119,13,46.52,33.59,3.98597316,0
119,13,45.92,32.69,3.93456336,0
120,11,51.58,35.22,3.16427826,0
120,11,51.28,35.12,3.14587416,0
121,9,50.69,34.18,2.08168623,0
121,9,49.84,34.52,2.04677928,0
122,12,49.53,34.22,3.61608624,0
122,12,50.53,30.49,3.68909424,0
123,10,50.74,35.28,2.572518,0
123,10,51.82,36.17,2.627274,0
124,11,47.16,34.45,2.89312452,0
124,11,48.36,34.02,2.96674092,0
125,11,49.65,35.52,3.04587855,0
125,11,50.02,35.23,3.06857694,0
126,10,49.24,32.18,2.496468,0
126,10,50.22,32.59,2.546154,0
127,12,47.98,33.98,3.50292384,0
127,12,47.82,33.22,3.49124256,0
128,11,49.82,32.76,3.05630754,0
128,11,47.5,32.05,2.9139825,0
129,9,46.49,32.2,1.90920483,0
129,9,47.62,33.67,1.95561054,0
130,9,52.78,35.49,2.16751626,0
130,9,52.1,35.69,2.1395907,0
131,12,48.34,32.15,3.52920672,0
131,12,48.68,33.98,3.55402944,0
132,10,52.73,34.52,2.673411,0
132,10,51.92,33.65,2.632344,0
133,11,48.35,33.76,2.96612745,0
133,11,46.54,33.22,2.85508938,0
134,8,49.16,33.13,1.59514368,0
134,8,48.63,32.88,1.57794624,0
135,11,46.69,33.55,2.86429143,0
135,11,47.05,32.81,2.88637635,0
136,9,51.09,34.18,2.09811303,0
136,9,51.07,33.88,2.09729169,0
137,10,46.54,33.27,2.359578,0
137,10,46.62,32.7,2.363634,0
138,10,52.52,34.42,2.662764,0
138,10,50.98,35.08,2.584686,0
139,8,48.92,33.91,1.58735616,0
139,8,47.92,34.07,1.55490816,0
140,9,50.4,36.08,2.0697768,0
140,9,49.28,35.52,2.02378176,0
141,11,46.24,32.42,2.83668528,0
141,11,47.41,32.75,2.90846127,0
142,11,46.72,35.32,2.86613184,0
142,11,47.32,34.81,2.90294004,0
143,11,47.63,34.02,2.92195761,0
143,11,48.17,33.95,2.95508499,0
144,12,50.82,35.14,3.71026656,0
144,12,51.41,35.46,3.75334128,0
145,10,50.83,35.97,2.577081,0
145,10,50.92,35.72,2.581644,0
146,10,49.9,34.92,2.52993,0
146,10,53.07,33.58,2.690649,0
147,9,49.42,36.25,2.02953114,0
147,9,49.84,34.88,2.04677928,0
148,10,51.13,33.93,2.592291,0
148,10,51.75,30.49,2.623725,0
149,11,51.14,33.65,3.13728558,0
149,11,50.08,33.35,3.07225776,0
150,11,48.94,33.37,3.00232218,0
150,11,46.45,32.49,2.84956815,0
151,7,47.09,33.18,1.16985687,0
151,7,47.41,33.09,1.17780663,0
152,8,47.96,33.82,1.55620608,0
152,8,48.92,34.13,1.58735616,0
153,9,47.8,33.8,1.9630026,0
153,9,48.21,33.38,1.97984007,0
154,10,46.72,33.61,2.368704,0
154,10,48.99,34.8,2.483793,0
155,9,41,28.32,1.683747,0
155,9,47.87,33.05,1.96587729,0
156,10,49.01,35.12,2.484807,0
156,10,52.11,34.54,2.641977,0
157,10,44.02,33.06,2.231814,0
157,10,48.29,33.89,2.448303,0
158,9,50.23,33.25,2.06279541,0
158,9,47.13,32.55,1.93548771,0
159,9,41.44,29.92,1.70181648,0
159,9,43.92,31.9,1.80366264,0
160,11,47.17,33.82,2.89373799,0
160,11,50.32,32.45,3.08698104,0
161,9,46.68,32.64,1.91700756,0
161,9,47.92,34.55,1.96793064,0
162,8,46.36,33.34,1.50428928,0
162,8,49.66,32.96,1.61136768,0
163,8,50.48,35.02,1.63797504,0
163,8,47.96,33.71,1.55620608,0
164,7,47.5,33.08,1.1800425,0
164,7,47.61,33.48,1.18277523,0
165,10,45.02,33.06,2.282514,0
165,10,51.1,33.43,2.59077,0
166,8,50.62,34.35,1.64251776,0
166,8,51.2,34.45,1.6613376,0
167,8,49.56,31.26,1.60812288,0
167,8,49.37,31.71,1.60195776,0
168,6,48.48,33.67,0.88485696,0
168,6,48.22,33.48,0.88011144,0
169,10,47.25,33.1,2.395575,0
169,10,46.85,32.8,2.375295,0
170,10,47.85,34.05,2.425995,0
170,10,50.1,33.5,2.54007,0
171,10,50.9,33.55,2.58063,0
171,10,48.3,31.9,2.44881,0
172,11,48.75,33.95,2.99066625,0
172,11,48.45,33.45,2.97226215,0
173,10,46.25,33.1,2.344875,0
173,10,46.3,33.3,2.34741,0
174,12,48.75,32.95,3.55914,0
174,12,50.4,32.8,3.6796032,0
175,10,48.4,32.6,2.45388,0
175,10,47.6,31.9,2.41332,0
176,12,51.9,34.3,3.7891152,0
176,12,50.9,34.5,3.7161072,0
177,10,49.6,34.3,2.51472,0
177,10,50.1,35.7,2.54007,0
178,11,51.85,35.7,3.18084195,0
178,11,49.25,34.25,3.02133975,0
179,9,47.9,33,1.9671093,0
179,9,46.6,32.1,1.9137222,0
180,9,47.25,33.5,1.94041575,0
180,9,47.55,34.1,1.95273585,0
181,12,47.7,33.55,3.4824816,0
181,12,46.9,33.65,3.4240752,0
182,13,49.3,33.95,4.2241719,0
182,13,49.2,33.5,4.2156036,0
183,13,52.3,33.95,4.4812209,0
183,13,50.75,34,4.34841225,0
184,12,47.75,33.3,3.486132,0
184,12,47.7,32.65,3.4824816,0
