year,crimetype,violent,arrest,domestic,commarea,location
2019,theft,0,0,0,26,COMMERCIAL / BUSINESS OFFICE
2019,simpleasslt,1,0,1,33,SIDEWALK
2019,simpleasslt,1,0,1,1,APARTMENT
2019,vandalism,0,0,0,73,HOTEL/MOTEL
2019,burglary,0,0,0,65,RESIDENCE
2019,theft,0,0,0,2,RESIDENCE PORCH/HALLWAY
2019,theft,0,0,0,29,STREET
2019,mvtheft,0,0,0,31,PARKING LOT/GARAGE(NON.RESID.)
2019,simpleasslt,1,0,0,71,GAS STATION
2019,simpleasslt,1,0,1,26,SIDEWALK
2019,trespass,0,1,0,73,RESIDENCE
2019,simpleasslt,1,0,1,67,RESIDENCE
2019,fraud,0,0,0,27,APARTMENT
2019,simpleasslt,1,0,1,67,RESIDENCE
2019,mvtheft,0,0,0,25,STREET
2019,theft,0,0,0,7,STREET
2019,simpleasslt,1,0,1,8,STREET
2019,trespass,0,1,0,66,APARTMENT
2019,vandalism,0,0,0,58,STREET
2019,weapon,0,1,0,69,SIDEWALK
2019,simpleasslt,1,0,1,23,APARTMENT
2019,fraud,0,1,0,23,RESIDENCE
2019,other,0,0,1,23,RESIDENCE
2019,fraud,0,0,0,5,DRUG STORE
2019,other,0,1,0,25,STREET
2019,theft,0,0,0,32,DEPARTMENT STORE
2019,theft,0,0,0,25,GAS STATION
2019,simpleasslt,1,0,1,8,RESIDENCE
2017,fraud,0,0,0,23,
2019,simpleasslt,1,0,0,61,APARTMENT
2019,narcotics,0,1,0,8,SMALL RETAIL STORE
2019,theft,0,0,0,8,STREET
2019,simpleasslt,1,1,1,71,APARTMENT
2019,theft,0,0,0,24,HOSPITAL BUILDING/GROUNDS
2019,vandalism,0,1,0,1,STREET
2019,other,0,0,0,68,CTA STATION
2019,simpleasslt,1,0,0,38,STREET
2019,theft,0,0,0,33,COMMERCIAL / BUSINESS OFFICE
2019,theft,0,0,0,22,VEHICLE NON-COMMERCIAL
2019,theft,0,0,0,41,DEPARTMENT STORE
2019,weapon,0,0,0,45,STREET
2019,theft,0,0,1,43,SIDEWALK
2019,vandalism,0,0,0,75,VEHICLE NON-COMMERCIAL
2019,weapon,0,1,0,61,SIDEWALK
2019,burglary,0,0,0,77,RESIDENCE-GARAGE
2019,simpleasslt,1,0,0,58,CTA BUS
2019,other,0,1,0,26,STREET
2019,vandalism,0,0,0,1,CTA GARAGE / OTHER PROPERTY
2019,simpleasslt,1,0,1,71,RESIDENCE
2019,narcotics,0,1,0,49,STREET
2019,narcotics,0,1,0,43,GAS STATION
2019,theft,0,0,0,58,SMALL RETAIL STORE
2019,fraud,0,0,0,41,STREET
2019,theft,0,0,0,61,RESIDENCE PORCH/HALLWAY
2019,vandalism,0,0,0,14,RESIDENCE-GARAGE
2019,threat,0,0,0,25,RESIDENCE
2019,burglary,0,0,0,25,RESIDENCE
2019,theft,0,0,0,8,STREET
2019,theft,0,0,0,65,SIDEWALK
2019,simpleasslt,1,0,0,43,RESIDENCE
2019,theft,0,0,0,43,VEHICLE NON-COMMERCIAL
2019,simpleasslt,1,0,0,25,LIBRARY
2019,mvtheft,0,1,0,25,STREET
2019,other,0,0,0,48,OTHER
2019,sexualasslt,1,0,0,19,RESIDENCE
2019,narcotics,0,1,0,66,STREET
2019,trespass,0,1,0,1,GROCERY FOOD STORE
2019,simpleasslt,1,1,0,1,STREET
2019,simpleasslt,1,0,1,26,APARTMENT
2019,vandalism,0,0,0,29,APARTMENT
2019,theft,0,0,0,61,APARTMENT
2019,theft,0,0,0,49,STREET
2019,theft,0,0,0,62,STREET
2019,trespass,0,1,0,3,"SCHOOL, PRIVATE, GROUNDS"
2019,theft,0,0,0,22,APARTMENT
2019,theft,0,0,0,50,DEPARTMENT STORE
2019,fraud,0,0,0,7,STREET
2019,trespass,0,0,0,25,GAS STATION
2019,vandalism,0,0,0,7,STREET
2019,other,0,1,0,1,APARTMENT
2019,sexualasslt,1,1,0,67,RESIDENCE
2019,narcotics,0,1,0,29,GROCERY FOOD STORE
2019,simpleasslt,1,0,0,28,GROCERY FOOD STORE
2019,simpleasslt,1,0,0,30,SIDEWALK
2019,theft,0,0,0,68,APARTMENT
2019,theft,0,0,0,25,RESIDENCE
2019,theft,0,0,0,24,SMALL RETAIL STORE
2019,fraud,0,0,0,31,RESIDENCE
2019,aggasslt,1,0,0,25,APARTMENT
2019,theft,0,1,0,8,SMALL RETAIL STORE
2019,theft,0,0,0,8,TAXICAB
2019,fraud,0,0,0,30,RESIDENCE
2019,fraud,0,0,0,28,RESIDENCE
2018,aggasslt,1,0,1,68,RESIDENCE
2001,simpleasslt,1,0,0,,OTHER
2003,simpleasslt,1,1,0,19,STREET
2005,theft,0,0,0,66,STREET
2005,narcotics,0,1,0,46,SIDEWALK
2006,theft,0,0,0,32,STREET
2012,theft,0,0,0,68,SIDEWALK
2013,simpleasslt,1,0,1,38,CHA APARTMENT
2015,fraud,0,0,0,44,OTHER
2015,simpleasslt,1,0,0,50,"SCHOOL, PUBLIC, GROUNDS"
2015,vandalism,0,0,0,73,RESIDENCE
2015,vandalism,0,0,0,61,STREET
2015,simpleasslt,1,0,1,3,APARTMENT
2015,narcotics,0,1,0,30,STREET
2015,weapon,0,1,0,68,STREET
2015,simpleasslt,1,0,0,45,"SCHOOL, PUBLIC, BUILDING"
2015,theft,0,0,0,7,STREET
2015,simpleasslt,1,1,1,21,APARTMENT
2015,theft,0,0,0,61,GROCERY FOOD STORE
2015,theft,0,0,0,54,RESIDENCE
2015,other,0,1,0,29,STREET
2015,robbery,1,0,0,29,SIDEWALK
2015,fraud,0,0,0,66,RESIDENCE
2015,theft,0,0,0,66,STREET
2015,theft,0,0,0,32,PARKING LOT/GARAGE(NON.RESID.)
2015,theft,0,1,0,13,GROCERY FOOD STORE
2015,narcotics,0,1,0,25,SIDEWALK
2015,simpleasslt,1,0,0,29,BARBERSHOP
2015,trespass,0,1,0,51,POLICE FACILITY/VEH PARKING LOT
2015,theft,0,0,0,3,VEHICLE NON-COMMERCIAL
2015,other,0,1,0,67,SIDEWALK
2015,simpleasslt,1,0,0,49,STREET
2015,theft,0,0,0,45,OTHER
2015,theft,0,0,0,24,STREET
2015,narcotics,0,1,0,60,ALLEY
2015,theft,0,1,0,50,DEPARTMENT STORE
2015,burglary,0,0,0,11,SMALL RETAIL STORE
2015,aggasslt,1,0,0,28,STREET
2015,robbery,1,1,0,32,CTA PLATFORM
2015,fraud,0,0,0,22,OTHER
2015,burglary,0,0,0,70,RESIDENCE
2015,vandalism,0,0,0,32,CTA STATION
2015,mvtheft,0,0,0,66,STREET
2015,threat,0,0,1,23,APARTMENT
2015,simpleasslt,1,0,0,19,SIDEWALK
2015,other,0,0,1,53,RESIDENCE
2015,burglary,0,0,0,15,SMALL RETAIL STORE
2015,narcotics,0,1,0,19,STREET
2015,robbery,1,0,0,19,SIDEWALK
2015,threat,0,0,0,11,RESIDENCE
2015,simpleasslt,1,1,0,11,PARKING LOT/GARAGE(NON.RESID.)
2015,simpleasslt,1,0,1,15,APARTMENT
2015,narcotics,0,1,0,20,STREET
2015,aggasslt,1,0,0,26,RESIDENCE
2015,simpleasslt,1,1,1,69,SIDEWALK
2015,sexualasslt,1,0,1,31,APARTMENT
2015,aggasslt,1,1,1,44,APARTMENT
2015,other,0,1,0,31,STREET
2015,aggasslt,1,1,0,46,STREET
2015,vandalism,0,0,0,68,STREET
2015,simpleasslt,1,1,0,62,ALLEY
2015,robbery,1,0,0,46,RESIDENCE
2015,vandalism,0,0,0,22,VEHICLE-COMMERCIAL
2015,theft,0,0,0,25,STREET
2015,burglary,0,0,0,68,RESIDENCE
2015,narcotics,0,1,0,49,SIDEWALK
2015,theft,0,0,0,34,RESIDENCE
2015,other,0,1,0,2,STREET
2015,vandalism,0,0,0,19,RESIDENCE-GARAGE
2015,simpleasslt,1,0,1,25,STREET
2015,narcotics,0,1,0,29,STREET
2015,theft,0,0,0,6,LAKEFRONT/WATERFRONT/RIVERBANK
2015,vandalism,0,0,0,24,STREET
2015,mvtheft,0,0,0,49,STREET
2015,theft,0,0,0,16,CTA STATION
2015,theft,0,0,0,6,GAS STATION
2015,robbery,1,0,0,29,ALLEY
2015,vandalism,0,0,0,28,STREET
2015,trespass,0,1,0,67,CTA PLATFORM
2015,burglary,0,0,0,23,OTHER
2015,narcotics,0,1,0,25,SIDEWALK
2015,fraud,0,0,0,14,RESIDENCE
2015,aggasslt,1,0,1,25,RESIDENCE PORCH/HALLWAY
2015,simpleasslt,1,0,0,68,SIDEWALK
2015,theft,0,0,0,7,STREET
2015,simpleasslt,1,0,0,29,STREET
2015,burglary,0,0,0,26,RESIDENCE
2015,aggasslt,1,0,0,35,SIDEWALK
2015,theft,0,0,0,6,OTHER
2015,theft,0,0,0,20,STREET
2015,simpleasslt,1,0,1,25,APARTMENT
2015,mvtheft,0,0,0,42,STREET
2015,fraud,0,0,0,22,APARTMENT
2015,narcotics,0,1,0,27,ALLEY
2015,vandalism,0,0,1,68,APARTMENT
2015,burglary,0,0,0,15,RESIDENCE
2015,simpleasslt,1,0,1,17,RESIDENCE
2015,narcotics,0,1,0,25,ABANDONED BUILDING
2015,aggasslt,1,0,0,43,SIDEWALK
2015,mvtheft,0,0,0,22,STREET
2015,fraud,0,0,0,28,APARTMENT
2015,burglary,0,0,0,29,GROCERY FOOD STORE
2015,vandalism,0,0,0,21,STREET
2015,theft,0,0,0,30,STREET
2015,vandalism,0,0,0,43,"SCHOOL, PUBLIC, BUILDING"
2015,trespass,0,1,0,71,RESIDENCE
2015,vandalism,0,0,0,53,STREET
2015,burglary,0,0,0,6,RESIDENCE-GARAGE
2015,aggasslt,1,0,0,24,STREET
2010,fraud,0,0,0,45,APARTMENT
2015,theft,0,0,0,25,GAS STATION
2015,robbery,1,0,0,34,STREET
2015,narcotics,0,1,0,58,STREET
2015,vandalism,0,0,0,63,RESIDENCE-GARAGE
2015,theft,0,0,0,21,STREET
2015,simpleasslt,1,0,0,62,RESIDENCE
2015,narcotics,0,1,0,73,STREET
2015,vandalism,0,0,0,7,APARTMENT
2015,simpleasslt,1,1,0,68,STREET
2015,vandalism,0,0,0,41,STREET
2015,trespass,0,1,0,28,OTHER
2015,theft,0,0,0,8,STREET
2015,robbery,1,0,0,16,SIDEWALK
2015,aggasslt,1,0,0,45,RESIDENCE
2015,simpleasslt,1,0,0,68,SIDEWALK
2015,simpleasslt,1,0,1,52,RESIDENCE
2015,trespass,0,1,0,24,RESIDENCE
2015,simpleasslt,1,0,0,62,CTA STATION
2015,burglary,0,0,0,43,APARTMENT
2015,fraud,0,0,0,8,DRUG STORE
2015,vandalism,0,0,0,71,APARTMENT
2015,burglary,0,0,0,43,APARTMENT
2015,other,0,1,0,20,ALLEY
2015,theft,0,0,0,38,STREET
2015,burglary,0,0,0,71,RESIDENCE
2015,simpleasslt,1,1,0,61,"SCHOOL, PRIVATE, BUILDING"
2015,simpleasslt,1,0,1,49,RESIDENCE
2015,fraud,0,0,0,69,RESIDENCE
2015,vandalism,0,0,0,2,STREET
2015,theft,0,0,0,21,GROCERY FOOD STORE
2015,theft,0,1,0,28,SMALL RETAIL STORE
2015,burglary,0,0,0,67,APARTMENT
2015,simpleasslt,1,0,1,29,RESIDENCE
2015,simpleasslt,1,0,1,16,APARTMENT
2015,theft,0,0,0,24,PARKING LOT/GARAGE(NON.RESID.)
2015,theft,0,1,0,15,GROCERY FOOD STORE
2015,fraud,0,0,0,56,SMALL RETAIL STORE
2015,theft,0,1,0,62,SMALL RETAIL STORE
2015,narcotics,0,1,0,28,STREET
2015,theft,0,0,0,65,APARTMENT
2015,simpleasslt,1,0,0,16,STREET
2015,theft,0,0,0,3,RESIDENCE
2015,mvtheft,0,0,0,68,RESIDENCE-GARAGE
2015,vandalism,0,0,0,67,RESIDENTIAL YARD (FRONT/BACK)
2015,vandalism,0,0,0,25,GROCERY FOOD STORE
2015,vandalism,0,0,0,28,STREET
2015,simpleasslt,1,0,1,71,RESIDENCE
2015,simpleasslt,1,0,1,30,STREET
2015,simpleasslt,1,1,1,69,STREET
2016,other,0,0,1,23,RESIDENCE
2016,threat,0,0,0,49,RESIDENCE
2016,robbery,1,0,0,25,SIDEWALK
2016,simpleasslt,1,0,1,38,APARTMENT
2016,theft,0,0,0,15,DEPARTMENT STORE
2016,narcotics,0,1,0,32,SMALL RETAIL STORE
2016,burglary,0,1,0,1,APARTMENT
2016,vandalism,0,1,0,46,RESIDENCE
2016,aggasslt,1,0,1,26,APARTMENT
2016,theft,0,0,0,38,CTA TRAIN
2016,theft,0,0,0,29,CHA PARKING LOT/GROUNDS
2016,threat,0,0,1,16,APARTMENT
2016,mvtheft,0,0,0,19,STREET
2016,vandalism,0,0,0,67,STREET
2016,aggasslt,1,0,0,65,RESIDENCE
2016,theft,0,0,0,8,PARKING LOT/GARAGE(NON.RESID.)
2016,narcotics,0,1,0,49,SIDEWALK
2016,narcotics,0,1,0,44,CTA STATION
2016,narcotics,0,1,0,31,STREET
2016,simpleasslt,1,0,1,68,RESIDENCE PORCH/HALLWAY
2016,simpleasslt,1,1,0,7,RESTAURANT
2016,simpleasslt,1,1,1,10,RESIDENCE
2016,threat,0,0,0,1,APARTMENT
2016,trespass,0,1,0,23,RESIDENCE PORCH/HALLWAY
2016,theft,0,0,0,8,CTA TRAIN
2016,simpleasslt,1,0,1,26,STREET
2016,robbery,1,0,0,40,PARK PROPERTY
2016,burglary,0,0,0,58,APARTMENT
2016,trespass,0,1,0,3,RESTAURANT
2016,threat,0,0,1,61,OTHER
2016,theft,0,0,0,38,STREET
2016,simpleasslt,1,0,0,69,OTHER
2016,other,0,0,0,2,RESIDENCE
2016,threat,0,0,1,23,RESIDENCE
2016,vandalism,0,0,0,37,STREET
2016,narcotics,0,1,0,26,SIDEWALK
2016,mvtheft,0,0,0,51,GAS STATION
2016,narcotics,0,1,0,66,VEHICLE NON-COMMERCIAL
2016,other,0,1,0,24,SIDEWALK
2016,simpleasslt,1,1,1,25,APARTMENT
2016,simpleasslt,1,1,1,69,SIDEWALK
2016,simpleasslt,1,0,0,68,ALLEY
2016,theft,0,0,0,8,DEPARTMENT STORE
2016,fraud,0,0,0,3,APARTMENT
2016,fraud,0,0,0,58,OTHER COMMERCIAL TRANSPORTATION
2016,simpleasslt,1,0,0,24,HOSPITAL BUILDING/GROUNDS
2016,fraud,0,0,0,66,RESIDENCE
2016,theft,0,0,0,43,STREET
2016,threat,0,0,1,64,RESIDENCE
2016,mvtheft,0,0,0,19,RESIDENCE-GARAGE
2016,vandalism,0,0,0,16,STREET
2016,theft,0,0,0,24,STREET
2016,aggasslt,1,0,0,43,PARK PROPERTY
2016,theft,0,0,0,61,STREET
2016,simpleasslt,1,0,0,21,RESIDENCE
2016,trespass,0,0,1,25,RESIDENCE
2016,vandalism,0,0,0,23,RESIDENCE-GARAGE
2016,simpleasslt,1,1,1,17,RESIDENCE PORCH/HALLWAY
2016,threat,0,0,0,25,RESIDENCE
2016,fraud,0,0,0,25,APARTMENT
2016,simpleasslt,1,0,0,49,NURSING HOME/RETIREMENT HOME
2016,aggasslt,1,0,0,67,SPORTS ARENA/STADIUM
2016,theft,0,0,0,30,SIDEWALK
2016,vandalism,0,0,0,46,RESIDENCE
2016,theft,0,0,0,23,VEHICLE NON-COMMERCIAL
2016,simpleasslt,1,0,1,50,RESIDENCE
2016,simpleasslt,1,1,0,6,CONVENIENCE STORE
2016,simpleasslt,1,0,0,60,STREET
2016,theft,0,0,0,6,STREET
2016,vandalism,0,0,1,23,APARTMENT
2016,mvtheft,0,0,0,77,PARKING LOT/GARAGE(NON.RESID.)
2016,theft,0,0,0,31,STREET
2016,theft,0,0,0,28,SMALL RETAIL STORE
2016,vandalism,0,0,0,25,RESIDENCE-GARAGE
2016,simpleasslt,1,1,0,25,PARKING LOT/GARAGE(NON.RESID.)
2016,theft,0,0,0,52,STREET
2016,simpleasslt,1,0,1,67,SIDEWALK
2016,aggasslt,1,0,0,69,STREET
2016,vandalism,0,0,1,59,APARTMENT
2016,mvtheft,0,1,0,61,STREET
2016,simpleasslt,1,0,1,65,RESIDENCE
2016,theft,0,0,0,1,APARTMENT
2016,simpleasslt,1,0,1,65,SIDEWALK
2016,vandalism,0,0,0,45,STREET
2016,simpleasslt,1,1,1,67,SIDEWALK
2016,theft,0,0,0,17,STREET
2016,fraud,0,0,0,8,RESIDENCE
2016,simpleasslt,1,0,1,71,STREET
2016,simpleasslt,1,0,0,30,RESIDENCE
2016,other,0,1,0,58,GAS STATION
2016,simpleasslt,1,0,0,8,CHA APARTMENT
2016,vandalism,0,0,0,24,STREET
2016,robbery,1,0,0,32,BANK
2016,theft,0,0,0,32,SMALL RETAIL STORE
2016,fraud,0,0,0,16,RESIDENCE
2016,vandalism,0,0,0,64,COMMERCIAL / BUSINESS OFFICE
2016,vandalism,0,0,0,25,STREET
2016,vandalism,0,0,0,22,OTHER
2016,fraud,0,0,0,44,OTHER
2016,mvtheft,0,0,0,56,STREET
2016,theft,0,0,0,27,STREET
2016,theft,0,0,0,23,APARTMENT
2016,theft,0,0,0,71,STREET
2016,simpleasslt,1,0,0,61,RESIDENCE
2016,theft,0,0,0,72,DRIVEWAY - RESIDENTIAL
2016,theft,0,0,0,15,SMALL RETAIL STORE
2016,vandalism,0,0,0,21,RESIDENCE
2016,burglary,0,0,0,38,RESIDENCE
2016,theft,0,0,0,28,STREET
2016,aggasslt,1,0,1,16,RESIDENCE
2016,simpleasslt,1,0,0,3,OTHER
2016,fraud,0,0,0,77,RESIDENCE
2016,theft,0,1,0,22,SMALL RETAIL STORE
2016,theft,0,0,0,39,STREET
2016,trespass,0,0,0,19,RESIDENCE
2016,aggasslt,1,0,0,26,STREET
2016,vandalism,0,0,0,62,STREET
2016,simpleasslt,1,0,0,39,APARTMENT
2016,trespass,0,1,0,67,RESIDENCE PORCH/HALLWAY
2016,theft,0,1,0,32,DEPARTMENT STORE
2016,aggasslt,1,0,0,63,RESIDENCE PORCH/HALLWAY
2016,theft,0,0,0,31,APARTMENT
2016,burglary,0,0,0,43,APARTMENT
2016,theft,0,0,0,24,RESTAURANT
2016,simpleasslt,1,0,1,70,RESIDENCE
2016,vandalism,0,1,0,3,ALLEY
2016,theft,0,0,0,19,DEPARTMENT STORE
2016,fraud,0,0,0,29,APARTMENT
2016,simpleasslt,1,0,0,38,RESIDENCE PORCH/HALLWAY
2016,theft,0,0,0,43,STREET
2016,sexualasslt,1,0,0,27,APARTMENT
2016,vandalism,0,0,0,67,RESIDENCE
2016,other,0,0,0,75,RESIDENCE
2016,theft,0,0,0,14,STREET
2016,theft,0,0,0,6,HOSPITAL BUILDING/GROUNDS
2016,theft,0,0,0,22,STREET
2016,simpleasslt,1,0,0,75,RESIDENCE PORCH/HALLWAY
2016,fraud,0,0,0,72,RESIDENCE
2016,theft,0,0,0,8,BAR OR TAVERN
2016,theft,0,0,0,22,STREET
2016,simpleasslt,1,0,0,40,SIDEWALK
2016,theft,0,0,0,8,CTA TRAIN
2016,theft,0,0,0,28,SIDEWALK
2016,aggasslt,1,0,1,16,SIDEWALK
2016,simpleasslt,1,0,0,32,OTHER
2016,robbery,1,0,0,3,SIDEWALK
2016,vandalism,0,0,0,71,STREET
2016,narcotics,0,1,0,46,STREET
2016,trespass,0,0,0,28,RESIDENCE PORCH/HALLWAY
2016,theft,0,0,0,8,STREET
2016,vandalism,0,0,0,27,STREET
2016,vandalism,0,0,0,16,RESIDENCE-GARAGE
2016,simpleasslt,1,1,1,69,APARTMENT
2016,theft,0,1,0,35,GROCERY FOOD STORE
2016,theft,0,0,0,49,STREET
2016,simpleasslt,1,0,1,18,RESIDENCE
2016,theft,0,0,0,43,CONVENIENCE STORE
2016,theft,0,0,0,7,SMALL RETAIL STORE
2016,simpleasslt,1,1,1,30,STREET
2016,aggasslt,1,1,0,19,SIDEWALK
2016,aggasslt,1,0,1,49,RESIDENCE
2016,burglary,0,0,0,65,RESIDENCE
2016,aggasslt,1,1,0,28,SIDEWALK
2016,threat,0,0,0,48,OTHER
2016,theft,0,0,0,40,APARTMENT
2016,simpleasslt,1,0,1,69,RESIDENCE
2016,robbery,1,0,0,25,STREET
2016,vandalism,0,0,0,7,STREET
2016,simpleasslt,1,0,0,7,NURSING HOME/RETIREMENT HOME
2016,robbery,1,0,0,24,BAR OR TAVERN
2016,robbery,1,0,0,28,SIDEWALK
2016,robbery,1,0,0,61,STREET
2016,threat,0,0,0,66,OTHER
2016,weapon,0,1,0,67,STREET
2017,simpleasslt,1,0,0,8,STREET
2017,simpleasslt,1,0,1,25,APARTMENT
2017,vandalism,0,0,0,11,CONVENIENCE STORE
2017,mvtheft,0,0,0,19,STREET
2017,trespass,0,0,0,18,RESIDENCE PORCH/HALLWAY
2017,trespass,0,1,0,44,RESTAURANT
2017,simpleasslt,1,0,0,25,COMMERCIAL / BUSINESS OFFICE
2016,theft,0,0,0,69,RESIDENCE
2016,threat,0,0,0,28,RESIDENCE
2017,theft,0,0,0,14,STREET
2017,vandalism,0,1,1,27,RESIDENTIAL YARD (FRONT/BACK)
2017,other,0,1,0,44,STREET
2017,theft,0,1,0,6,GROCERY FOOD STORE
2017,theft,0,1,0,71,DRUG STORE
2017,other,0,1,0,25,STREET
2017,theft,0,0,0,28,STREET
2017,simpleasslt,1,0,0,68,CTA BUS STOP
2017,mvtheft,0,0,0,29,ALLEY
2017,aggasslt,1,0,0,52,RESIDENCE
2017,vandalism,0,0,0,48,RESIDENCE
2017,vandalism,0,0,0,44,STREET
2017,mvtheft,0,0,0,24,STREET
2017,mvtheft,0,0,0,53,STREET
2017,vandalism,0,0,0,41,PARKING LOT/GARAGE(NON.RESID.)
2017,theft,0,0,0,61,APARTMENT
2017,mvtheft,0,1,0,20,STREET
2017,vandalism,0,0,0,38,STREET
2017,simpleasslt,1,0,1,44,STREET
2017,trespass,0,1,0,67,GAS STATION
2017,theft,0,1,0,8,SMALL RETAIL STORE
2017,burglary,0,0,0,22,STREET
2017,theft,0,0,0,8,BAR OR TAVERN
2017,theft,0,0,0,13,STREET
2017,vandalism,0,0,0,29,RESIDENCE
2017,narcotics,0,1,0,29,SIDEWALK
2017,theft,0,0,0,25,STREET
2017,narcotics,0,1,0,23,RESIDENCE
2017,narcotics,0,1,0,26,SMALL RETAIL STORE
2017,burglary,0,0,0,24,RESIDENCE-GARAGE
2017,vandalism,0,0,0,25,RESIDENCE
2017,theft,0,0,0,24,STREET
2017,mvtheft,0,0,0,52,STREET
2017,vandalism,0,0,0,8,STREET
2017,theft,0,0,0,7,SMALL RETAIL STORE
2017,theft,0,0,0,24,STREET
2017,threat,0,0,0,66,OTHER
2017,fraud,0,0,0,7,DRUG STORE
2017,fraud,0,0,0,73,SMALL RETAIL STORE
2017,simpleasslt,1,1,1,35,APARTMENT
2017,theft,0,0,0,32,SMALL RETAIL STORE
2017,vandalism,0,0,1,30,STREET
2017,vandalism,0,0,0,29,APARTMENT
2017,simpleasslt,1,0,1,53,RESIDENCE
2017,aggasslt,1,0,0,20,ALLEY
2017,theft,0,0,0,33,STREET
2017,theft,0,0,0,15,GROCERY FOOD STORE
2017,theft,0,0,0,32,PARKING LOT/GARAGE(NON.RESID.)
2017,simpleasslt,1,0,0,15,PARKING LOT/GARAGE(NON.RESID.)
2017,simpleasslt,1,1,0,23,SIDEWALK
2017,theft,0,0,0,32,RESTAURANT
2017,theft,0,0,0,8,CTA STATION
2017,vandalism,0,0,1,55,ALLEY
2017,robbery,1,0,0,7,SIDEWALK
2017,other,0,1,0,39,RESIDENCE
2017,theft,0,1,0,29,GAS STATION
2017,fraud,0,0,0,52,RESIDENCE
2017,simpleasslt,1,0,0,3,PARK PROPERTY
2017,theft,0,0,0,20,RESIDENCE
2017,robbery,1,0,0,25,SIDEWALK
2017,robbery,1,0,0,24,SIDEWALK
2017,simpleasslt,1,0,0,54,CHA APARTMENT
2017,robbery,1,1,0,63,STREET
2017,vandalism,0,0,0,19,APARTMENT
2017,theft,0,0,0,28,STREET
2017,theft,0,0,0,35,PARK PROPERTY
2017,trespass,0,1,0,43,RESIDENCE PORCH/HALLWAY
2017,burglary,0,0,0,46,RESIDENCE
2017,burglary,0,0,0,46,APARTMENT
