stratum,psu,inctot,age,sex,race,hispanic,marstat,ownershg,yrsusa,school,educrec,labforce,classwk,vetstat
1,1,6505,24,1,1,0,5,2,0,1,9,2,22,1
1,1,1105,19,1,1,0,5,1,0,2,8,1,0,1
1,1,15005,22,1,1,0,3,1,0,1,7,2,22,1
1,1,15005,24,1,1,0,3,1,0,1,7,2,22,1
1,1,3385,22,1,1,0,5,1,0,1,7,2,22,1
1,1,11965,20,1,1,0,1,2,0,1,5,2,22,1
1,1,8490,21,1,1,0,5,1,0,1,8,2,22,1
1,1,3005,24,1,1,0,1,2,0,1,7,2,22,1
1,1,11005,22,1,1,0,5,2,0,1,7,2,22,2
1,1,2305,17,1,1,0,5,1,0,2,5,2,22,1
1,1,1305,21,1,1,0,5,1,0,1,7,2,22,1
1,1,9505,22,1,1,0,1,2,0,1,4,2,22,1
1,1,0,17,1,2,0,5,1,0,2,6,1,0,1
1,1,1305,22,1,1,0,5,0,0,2,8,1,22,1
1,1,5005,19,1,1,0,1,2,0,1,6,2,25,0
1,1,20505,22,1,2,1,5,1,0,1,7,2,22,1
1,1,8005,19,1,2,0,2,1,0,1,7,2,22,1
1,1,0,16,1,2,0,5,2,0,2,5,1,0,1
1,1,0,21,1,2,0,5,1,0,2,8,2,0,1
1,1,175,22,1,2,0,5,1,0,1,7,2,22,1
1,1,6020,20,1,1,0,1,2,0,2,7,2,22,1
1,1,0,16,1,1,0,5,2,0,2,3,1,0,1
1,1,11005,20,1,1,0,1,2,0,1,8,2,22,1
1,1,0,15,1,1,0,5,2,0,2,3,0,0,0
1,1,0,18,1,2,0,5,1,0,1,7,2,22,1
1,1,0,16,1,2,0,5,1,0,2,3,1,0,1
1,1,1205,16,1,1,0,5,1,0,2,6,1,22,1
1,1,5305,20,1,1,0,2,2,0,1,7,2,25,0
1,1,15,15,1,1,0,5,1,0,2,4,0,0,0
1,1,0,15,1,1,0,5,1,0,2,4,0,0,0
1,1,5410,24,1,2,0,5,2,0,1,7,2,22,1
1,1,0,18,1,1,0,5,1,0,2,6,2,22,1
1,1,1685,19,1,1,0,5,1,0,2,7,2,22,1
1,1,2720,19,1,1,0,5,1,0,1,7,2,22,1
1,1,1505,18,1,1,0,5,1,0,2,6,1,22,1
1,1,10005,22,1,1,0,5,1,0,1,7,2,25,1
1,1,13005,24,1,1,0,2,1,0,1,7,2,22,1
1,1,1755,19,1,1,1,5,1,0,2,7,1,22,1
1,1,9005,22,1,1,0,1,2,0,1,8,2,22,2
1,1,16505,22,1,1,0,3,2,0,1,5,2,22,1
1,1,2505,21,1,2,0,5,0,0,1,7,2,25,0
1,1,1405,16,1,1,0,5,1,0,2,5,1,22,1
1,1,1020,18,1,1,0,5,1,0,1,1,2,22,1
1,1,5360,21,1,1,0,5,2,0,1,7,2,22,1
1,1,8005,21,1,1,0,5,2,0,1,7,2,22,1
1,1,4055,18,1,1,0,5,1,0,1,7,2,22,1
1,1,8965,22,1,1,0,5,1,0,1,8,2,22,1
1,1,13895,33,1,1,0,1,1,0,1,4,2,22,1
1,1,14605,26,1,1,0,1,1,0,1,7,2,22,1
1,1,13200,34,1,2,0,2,1,0,1,7,2,22,1
1,1,9500,28,1,3,0,1,1,0,2,8,2,25,0
1,1,0,25,1,1,0,5,1,0,2,5,2,29,1
1,1,12005,27,1,2,0,1,2,0,1,7,2,22,2
1,1,6730,27,1,2,0,1,1,0,1,6,2,22,2
1,1,9005,27,1,1,0,1,1,0,1,3,2,22,1
1,1,24020,29,1,1,0,1,1,0,1,7,2,22,1
1,1,11505,27,1,1,0,1,1,0,1,7,2,22,1
1,1,8205,27,1,1,0,1,2,0,1,3,2,22,1
1,1,12005,33,1,2,0,1,1,0,1,8,1,22,1
1,1,15690,33,1,1,0,1,1,0,1,7,2,22,2
1,1,12210,34,1,1,0,3,1,0,1,9,2,13,1
1,1,10765,27,1,1,0,1,1,0,1,8,2,22,1
1,1,0,26,1,2,0,1,2,0,1,6,2,22,2
1,1,40260,34,1,1,0,1,1,0,1,9,2,14,1
1,1,6005,29,1,1,0,1,2,0,1,7,2,22,2
1,1,8005,33,1,1,0,5,1,0,1,8,2,22,1
1,1,0,30,1,2,0,5,0,0,1,7,1,0,1
1,1,12450,29,1,1,0,5,1,0,1,5,2,22,1
1,1,3505,25,1,1,0,2,2,0,1,7,2,22,2
1,1,12480,30,1,1,0,5,1,0,1,9,2,27,2
1,1,10005,29,1,1,0,1,1,0,1,8,2,28,1
1,1,12495,33,1,1,0,1,2,0,1,9,2,27,2
1,1,17005,33,1,2,0,3,2,0,1,7,2,25,2
1,1,0,33,1,2,0,2,1,0,1,7,2,0,1
1,1,535,27,1,2,0,1,2,0,1,7,2,13,2
1,1,13010,31,1,1,0,5,1,0,2,8,2,22,1
1,1,10005,29,1,2,0,1,2,0,1,8,2,22,1
1,1,14005,32,1,2,0,1,1,0,2,8,2,22,2
1,1,8005,25,1,2,0,1,2,0,1,6,2,22,1
1,1,12005,26,1,1,0,1,1,0,1,8,2,22,1
1,1,10005,25,1,2,0,1,2,0,1,8,2,22,1
1,1,0,26,1,1,0,5,1,0,1,1,1,0,1
1,1,0,27,1,1,0,5,1,0,1,3,1,0,1
1,1,6005,31,1,2,0,5,2,0,1,8,2,22,2
1,1,5005,25,1,1,0,3,2,0,1,6,2,13,1
1,1,7900,31,1,1,0,1,1,0,1,7,2,13,2
1,1,14720,28,1,1,0,1,1,0,1,7,2,22,1
1,1,2295,31,1,2,0,1,1,0,1,1,2,22,1
1,1,11005,27,1,1,0,1,1,0,1,7,2,22,1
1,1,1405,29,1,1,0,1,1,0,2,9,2,27,1
1,1,16795,25,1,2,0,1,1,0,1,6,2,22,1
1,1,20005,32,1,2,0,1,1,0,1,7,2,22,1
1,1,25005,33,1,1,0,1,1,0,1,7,2,22,1
1,1,13905,30,1,1,0,1,1,0,1,6,2,22,2
1,1,0,29,1,1,0,3,1,0,1,7,2,22,2
1,1,16005,27,1,1,0,1,1,0,1,7,2,22,1
1,1,4005,26,1,1,0,3,1,0,1,7,2,22,1
1,1,0,28,1,1,0,1,2,0,1,3,2,22,1
1,1,470,26,1,1,0,1,1,0,1,5,2,22,1
1,1,9105,26,1,1,0,1,2,0,1,4,2,22,1
1,1,0,27,1,2,0,3,0,0,1,7,1,0,1
1,1,12660,31,1,1,0,1,2,0,1,7,2,22,1
1,1,14305,33,1,1,0,1,1,0,1,7,2,22,1
1,1,6505,25,1,1,0,1,2,0,1,9,2,22,1
1,1,425,33,1,1,0,5,2,0,1,3,1,0,1
1,1,6005,29,1,2,0,5,2,0,1,7,2,22,1
1,1,26005,31,1,1,1,1,1,0,1,9,2,22,2
1,1,21005,32,1,2,0,1,2,0,1,6,2,22,1
1,1,20010,32,1,1,0,1,1,0,1,9,2,27,1
1,1,18835,32,1,1,0,1,1,0,1,8,2,22,1
1,1,16195,33,1,2,0,1,1,0,1,7,2,22,1
1,1,15005,31,1,1,0,1,1,0,1,4,2,22,1
1,1,15005,27,1,1,0,1,1,0,1,9,2,22,1
1,1,10005,25,1,1,0,1,1,0,1,5,2,22,1
1,1,0,28,1,2,0,1,2,0,1,1,1,0,1
1,1,10985,26,1,1,0,2,2,0,1,5,2,22,1
1,1,14505,34,1,1,0,1,1,0,1,3,2,22,2
1,1,7005,31,1,2,0,5,2,0,1,7,2,28,1
1,1,12375,26,1,2,0,1,2,0,1,8,2,22,1
1,1,14005,28,1,1,0,1,1,0,1,8,2,22,2
1,1,805,27,1,2,0,3,2,0,1,7,2,22,2
1,1,9005,28,1,2,0,1,2,0,1,8,2,25,0
1,1,1055,31,1,2,0,5,1,0,1,7,1,22,1
1,1,17050,34,1,2,0,1,2,0,1,7,2,28,2
1,1,2005,27,1,1,0,5,2,0,1,3,2,22,1
1,1,10675,26,1,1,0,1,2,0,1,3,2,22,1
1,1,38005,30,1,2,0,1,1,0,1,9,2,22,1
1,1,3505,25,1,1,0,5,2,0,2,9,2,14,1
1,1,8005,29,1,1,0,1,2,0,1,8,2,25,0
1,1,23030,33,1,1,0,1,1,0,1,9,2,22,2
1,1,135,27,1,2,0,1,0,0,1,5,1,22,1
1,1,5605,26,1,2,0,5,2,0,1,3,2,22,1
1,1,-2790,27,1,2,0,1,1,0,1,7,2,14,1
1,1,0,31,1,1,0,1,2,0,1,9,1,13,2
1,1,6385,25,1,1,0,1,2,0,1,7,2,25,0
1,1,10005,26,1,1,0,1,2,0,1,9,2,27,1
1,1,1585,33,1,2,0,1,1,0,1,7,2,22,2
1,1,6160,30,1,1,0,1,2,0,1,8,2,13,1
1,1,16540,28,1,1,0,5,2,0,1,9,2,22,1
1,1,18440,33,1,1,0,1,1,0,1,6,2,22,1
1,1,6505,27,1,1,0,1,1,0,1,7,2,22,1
1,1,6025,26,1,1,0,3,1,0,1,5,2,22,1
1,1,14005,28,1,1,0,1,1,0,1,7,2,22,1
1,1,60010,32,1,1,0,1,1,0,1,9,2,14,2
1,1,12005,32,1,1,0,5,2,0,1,3,2,22,1
1,1,1005,29,1,1,0,1,1,0,1,8,2,22,1
1,1,9880,28,1,1,0,5,2,0,1,9,2,13,1
1,1,8070,25,1,1,0,5,1,0,1,8,2,22,1
1,1,17570,26,1,1,0,5,1,0,1,9,2,22,1
1,1,14005,32,1,1,0,1,1,0,1,7,2,22,2
1,1,0,36,1,1,0,1,0,0,1,7,2,25,0
1,1,29840,44,1,1,0,1,1,0,1,7,2,25,2
1,1,1820,39,1,1,0,1,2,0,1,9,2,22,1
1,1,12175,45,1,2,0,1,2,0,1,7,2,22,1
1,1,4235,44,1,2,0,1,1,0,1,7,2,22,2
1,1,14740,49,1,1,0,1,1,0,1,7,2,22,2
1,1,1005,35,1,1,0,5,1,0,1,3,2,22,1
1,1,75000,35,1,1,0,1,1,0,1,9,2,22,1
1,1,27005,38,1,1,0,1,1,0,1,7,2,22,2
1,1,15,36,1,2,0,5,0,0,1,7,1,0,1
1,1,16505,43,1,1,0,1,2,0,1,3,1,13,1
1,1,19050,44,1,1,0,1,1,0,1,7,2,22,1
1,1,22030,47,1,1,0,1,1,0,1,8,2,27,2
1,1,8225,45,1,1,0,1,1,0,1,3,2,13,1
1,1,14005,36,1,1,0,1,1,0,1,7,2,22,1
1,1,12005,43,1,1,0,1,1,0,1,8,2,22,1
1,1,5520,48,1,1,0,3,2,0,1,3,1,0,2
1,1,8005,48,1,1,0,1,1,0,1,7,2,22,1
1,1,12005,41,1,1,0,1,2,0,1,7,2,22,2
1,1,17655,40,1,1,0,1,1,0,1,7,2,22,1
1,1,6545,48,1,2,0,1,2,0,1,2,2,22,1
1,1,5765,45,1,1,0,1,2,0,1,8,2,22,2
1,1,0,43,1,1,0,1,1,0,1,8,2,13,1
1,1,2005,47,1,2,0,2,1,0,1,7,2,13,2
1,1,29580,36,1,1,0,1,1,0,1,9,2,22,2
1,1,30005,36,1,1,0,1,1,0,1,8,2,22,1
1,1,24510,36,1,1,0,3,1,0,1,7,2,22,1
1,1,19005,45,1,2,0,1,1,0,1,7,2,22,1
1,1,0,49,1,2,0,1,1,0,1,8,2,29,1
1,1,0,41,1,1,0,3,0,0,1,7,1,0,2
1,1,12905,42,1,1,0,1,2,0,1,8,2,22,1
1,1,10005,37,1,1,0,1,1,0,1,4,2,13,1
1,1,0,42,1,2,0,1,2,0,1,6,2,22,1
1,1,705,37,1,1,0,1,1,0,1,3,1,22,1
1,1,14900,45,1,1,0,1,1,0,1,8,2,22,2
1,1,35005,38,1,1,0,3,2,0,1,8,2,22,1
1,1,8005,38,1,2,0,1,2,0,1,5,2,22,1
1,1,7005,48,1,2,0,1,1,0,1,2,2,28,1
1,1,12005,36,1,1,0,1,1,0,1,9,2,22,1
1,1,66280,45,1,1,0,1,1,0,1,9,2,14,1
1,1,11965,35,1,1,0,1,0,0,1,7,2,25,0
1,1,0,47,1,1,0,5,1,0,1,2,1,0,1
1,1,10730,42,1,2,0,1,1,0,1,9,2,28,2
1,1,11965,47,1,2,0,4,1,0,1,7,2,28,2
1,1,21500,39,1,1,0,1,1,0,1,5,2,22,2
1,1,11805,40,1,1,0,1,1,0,1,4,2,22,1
1,1,20510,40,1,1,0,1,1,0,1,8,2,22,1
1,1,6405,35,1,1,0,5,1,0,1,7,2,22,1
1,1,115,49,1,1,0,3,1,0,1,3,2,22,1
1,1,205,49,1,2,0,3,2,0,1,5,2,22,1
1,1,5280,46,1,1,0,1,1,0,1,3,2,13,1
1,1,16005,47,1,1,0,1,1,0,1,7,2,22,2
1,1,0,47,1,2,0,3,2,0,1,5,1,0,1
1,1,28110,49,1,1,0,1,1,0,1,6,2,22,1
1,1,21005,49,1,2,0,1,1,0,1,5,2,22,2
1,1,20005,44,1,1,0,1,1,0,1,7,2,22,1
1,1,11060,43,1,2,0,1,1,0,1,3,2,22,1
1,1,16110,36,1,1,0,3,2,0,1,7,2,22,2
1,1,31310,46,1,1,0,1,1,0,1,8,2,22,2
1,1,15005,42,1,1,0,1,1,0,1,5,2,22,1
1,1,21735,37,1,1,0,1,2,0,1,3,2,22,1
1,1,20005,42,1,2,0,1,1,0,1,7,2,22,1
1,1,1505,49,1,2,0,1,1,0,1,2,1,0,1
1,1,17820,44,1,1,0,1,1,0,1,9,2,22,2
1,1,55010,46,1,1,0,1,1,0,1,7,2,22,1
1,1,73265,36,1,1,0,1,1,0,1,9,2,14,1
1,1,21005,41,1,1,0,1,1,0,1,4,2,22,1
1,1,1705,49,1,3,0,4,2,0,1,1,1,22,1
1,1,24010,43,1,1,0,1,1,0,1,7,2,22,2
1,1,6005,45,1,1,0,1,1,0,1,3,2,13,1
1,1,18710,47,1,1,0,1,1,0,1,7,2,22,2
1,1,7005,35,1,1,0,1,1,0,1,7,2,22,2
1,1,21005,38,1,1,0,1,1,0,1,7,2,22,1
1,1,10405,35,1,1,0,5,1,0,1,7,2,22,2
1,1,18210,44,1,1,0,1,1,0,1,9,2,28,1
1,1,10005,43,1,2,0,1,1,0,1,3,2,27,1
1,1,18005,39,1,1,0,1,1,0,1,3,2,22,1
1,1,7805,35,1,2,0,1,2,0,1,4,2,22,1
1,1,9255,48,1,1,0,1,2,0,1,6,2,13,1
1,1,24405,43,1,1,0,1,1,0,1,9,2,27,1
1,1,22795,44,1,3,0,1,1,0,1,9,2,28,2
1,1,17920,47,1,1,0,1,1,0,1,4,2,22,2
1,1,26005,47,1,1,0,3,2,0,1,9,2,25,2
1,1,22510,35,1,1,0,1,2,0,1,9,2,25,0
1,1,25515,38,1,2,0,1,1,0,1,8,2,22,2
1,1,19005,43,1,2,0,1,2,0,1,8,2,25,2
1,1,18205,47,1,2,0,1,1,0,1,5,2,22,2
1,1,14005,44,1,1,0,1,1,0,1,5,2,22,2
1,1,6285,37,1,1,0,3,1,0,1,7,1,0,2
1,1,4945,43,1,2,0,1,1,0,1,7,2,22,1
1,1,33690,46,1,1,0,1,1,0,1,7,2,22,2
1,1,12005,48,1,1,0,1,1,0,1,7,2,22,2
1,1,24810,38,1,1,0,1,1,0,1,8,2,22,2
1,1,29415,47,1,1,0,1,1,0,1,7,2,13,2
1,1,1805,37,1,1,0,1,1,0,1,7,2,22,2
1,1,12005,39,1,1,0,1,1,0,1,7,2,22,1
1,1,27565,49,1,1,0,1,1,0,1,7,2,22,2
1,1,0,38,1,1,0,5,0,0,1,8,1,0,1
1,1,20005,35,1,1,0,1,2,0,1,7,2,22,2
1,1,6775,38,1,1,0,1,1,0,1,9,2,13,2
1,1,3565,41,1,1,0,1,1,0,1,4,1,13,1
1,1,31005,44,1,1,0,1,1,0,1,7,2,22,2
1,1,20745,41,1,1,0,1,1,0,2,8,2,22,2
1,1,43510,46,1,1,0,1,1,0,1,9,2,22,2
1,1,30530,38,1,1,0,1,1,0,1,7,2,14,1
1,1,8710,35,1,2,0,3,2,0,1,8,2,22,1
1,1,21905,39,1,1,0,1,1,0,1,8,2,28,1
1,1,20310,40,1,1,0,1,1,0,1,7,2,22,2
1,1,24280,43,1,1,0,1,1,0,1,7,2,22,2
1,1,6005,45,1,1,0,1,1,0,1,3,2,22,1
1,1,19545,49,1,1,0,1,1,0,1,3,2,22,1
1,1,11450,43,1,1,0,5,1,0,1,7,1,22,2
1,1,11695,57,1,1,0,1,1,0,1,7,2,22,2
1,1,14770,64,1,1,0,1,1,0,1,3,1,0,2
1,1,15530,56,1,1,0,1,1,0,1,4,2,28,2
1,1,19630,59,1,2,0,1,1,0,1,2,2,25,1
1,1,24005,52,1,1,0,1,1,0,1,8,2,13,2
1,1,21010,52,1,1,0,1,1,0,1,7,2,22,2
1,1,6765,60,1,2,0,1,1,0,1,4,2,27,1
1,1,11780,52,1,1,0,1,1,0,1,7,2,27,2
1,1,55,60,1,1,0,1,1,0,1,2,1,0,1
1,1,0,52,1,1,0,1,1,0,1,2,2,28,1
1,1,57090,53,1,1,0,1,1,0,1,9,2,14,2
1,1,9310,54,1,1,0,1,1,0,1,4,2,29,2
1,1,7205,61,1,2,0,1,1,0,1,2,2,22,2
1,1,20510,52,1,1,0,1,1,0,1,6,2,22,1
1,1,31700,59,1,1,0,1,1,0,1,6,2,22,2
1,1,7940,62,1,1,0,3,1,0,1,3,1,22,1
1,1,10005,60,1,1,0,1,1,0,1,7,2,22,2
1,1,22615,62,1,1,0,1,1,0,1,9,1,22,2
1,1,26450,56,1,1,0,1,1,0,2,9,2,22,1
1,1,11965,53,1,1,0,1,2,0,1,6,2,22,2
1,1,22365,59,1,1,0,1,1,0,1,7,2,22,2
1,1,0,63,1,2,0,1,1,0,1,1,2,22,1
1,1,8305,56,1,1,0,1,1,0,1,6,2,22,2
1,1,9535,53,1,1,0,1,1,0,1,3,2,22,2
1,1,4625,64,1,2,0,4,2,0,1,5,1,0,1
1,1,22365,51,1,2,0,1,2,0,1,7,2,22,2
1,1,12015,60,1,2,0,1,1,0,1,3,2,28,2
1,1,27455,58,1,1,0,1,1,0,1,6,2,25,2
1,1,15085,55,1,1,0,1,1,0,1,7,2,22,2
1,1,25150,63,1,1,0,1,1,0,1,7,1,25,2
1,1,10565,56,1,2,0,1,1,0,1,4,2,22,1
1,1,10005,58,1,1,0,1,2,0,1,1,2,22,2
1,1,12905,56,1,2,0,3,1,0,1,7,2,22,1
1,1,11005,51,1,1,0,1,1,0,1,6,2,27,1
1,1,3305,54,1,1,0,1,1,0,1,8,2,22,2
1,1,1405,60,1,2,0,2,1,0,1,3,1,22,2
1,1,3510,61,1,2,0,1,1,0,1,2,2,28,2
1,1,15635,60,1,1,0,5,1,0,1,7,2,22,2
1,1,22635,62,1,1,0,1,1,0,1,7,2,22,2
1,1,3510,60,1,2,0,1,1,0,1,7,1,0,1
1,1,6765,63,1,1,0,1,1,0,1,6,2,22,1
1,1,3005,55,1,2,0,1,1,0,1,3,2,22,2
1,1,8005,61,1,1,0,1,1,0,1,6,1,22,1
1,1,-6535,52,1,1,0,1,1,0,1,5,2,29,2
1,1,2495,62,1,1,0,5,2,0,1,2,1,0,1
1,1,14085,62,1,1,0,1,1,0,1,5,1,0,2
1,1,1005,57,1,2,0,1,2,0,1,2,2,22,1
1,1,9305,57,1,1,0,1,1,0,1,3,2,28,2
1,1,8005,55,1,3,0,1,2,0,1,2,2,22,1
1,1,4485,64,1,1,0,1,1,0,1,3,1,22,2
1,1,20010,59,1,1,0,1,1,0,1,4,2,28,2
1,1,5230,64,1,1,0,1,1,0,2,3,1,22,2
1,1,11965,50,1,2,0,2,2,0,1,5,2,22,2
1,1,12005,58,1,2,0,1,1,0,1,2,2,22,2
1,1,21225,57,1,2,0,1,1,0,1,3,1,22,2
1,1,2505,59,1,2,0,5,2,0,1,7,1,22,1
1,1,10670,56,1,2,0,4,1,0,1,4,2,22,2
1,1,12335,61,1,1,0,1,1,0,1,3,2,28,2
1,1,23005,55,1,1,0,1,1,0,1,3,2,22,2
1,1,2505,57,1,2,0,1,2,0,1,2,1,0,2
1,1,12945,61,1,1,0,1,1,0,1,4,1,13,2
1,1,3575,57,1,2,0,1,2,0,1,3,2,27,1
1,1,3005,50,1,1,0,1,1,0,1,3,1,0,1
1,1,3355,56,1,2,0,1,2,0,1,3,1,0,1
1,1,555,58,1,2,0,5,2,0,1,7,2,22,2
1,1,3220,61,1,1,0,1,1,0,1,7,2,13,2
1,1,69010,56,1,1,0,1,1,0,1,9,2,22,2
1,1,20005,55,1,1,0,1,1,0,1,8,2,25,1
1,1,3005,57,1,1,0,1,1,0,1,3,1,22,2
1,1,12105,61,1,2,0,1,1,0,1,7,2,22,2
1,1,6100,54,1,1,0,1,1,0,1,8,2,22,2
1,1,26470,54,1,1,0,1,1,0,1,5,2,22,2
1,1,25790,50,1,1,0,1,1,0,1,9,2,22,2
1,1,23005,57,1,1,0,1,1,0,1,7,2,22,2
1,1,9630,60,1,1,0,1,1,0,1,3,2,22,2
1,1,10390,53,1,1,0,1,1,0,1,3,1,22,2
1,1,2710,76,1,2,0,4,1,0,1,3,1,0,1
1,1,12010,65,1,1,0,1,1,0,1,3,1,22,1
1,1,9030,76,1,1,0,1,1,0,1,4,1,0,1
1,1,9750,69,1,1,0,1,1,0,1,8,1,22,2
1,1,3160,70,1,1,0,1,1,0,1,3,2,22,1
1,1,4005,80,1,1,0,1,1,0,1,7,1,0,2
1,1,8835,65,1,1,0,4,1,0,1,7,1,27,2
1,1,6255,90,1,1,1,4,0,0,1,2,1,0,1
1,1,13920,67,1,1,0,1,1,0,1,8,2,22,1
1,1,2650,73,1,1,0,1,1,0,1,2,2,13,1
1,1,7505,70,1,1,0,1,2,0,1,2,1,0,1
1,1,0,83,1,1,0,1,0,0,1,8,1,0,2
1,1,2045,69,1,1,0,1,1,0,1,3,1,22,1
1,1,2540,73,1,1,0,4,2,0,1,3,1,0,1
1,1,3915,73,1,1,0,4,2,0,1,3,1,0,2
1,1,3065,66,1,2,0,4,2,0,1,2,1,0,2
1,1,15130,65,1,1,0,1,1,0,1,7,2,22,2
1,1,2435,77,1,1,0,1,1,0,1,2,1,0,1
1,1,9910,84,1,1,0,5,2,0,1,9,1,0,2
1,1,4010,65,1,2,0,1,1,0,1,2,1,13,1
1,1,4355,70,1,1,0,1,1,0,1,3,2,22,1
1,1,3005,68,1,2,0,5,2,0,1,2,1,0,2
1,1,13585,66,1,1,0,1,1,0,1,3,1,0,2
1,1,5470,66,1,1,0,1,1,0,1,2,1,22,2
1,1,11665,72,1,1,0,1,1,0,1,5,1,0,1
1,1,0,67,1,2,0,1,1,0,1,7,1,0,2
1,1,4830,83,1,1,0,1,1,0,1,6,1,0,1
1,1,3695,72,1,1,0,1,1,0,1,3,1,0,1
1,1,5050,74,1,2,0,1,2,0,1,2,1,0,1
1,1,17485,71,1,2,1,1,2,0,1,3,2,22,2
1,1,8310,70,1,2,0,1,1,0,1,3,1,0,1
1,1,1205,65,1,2,0,4,1,0,1,3,1,25,2
1,1,2610,82,1,1,0,1,1,0,1,3,1,0,1
1,1,11270,68,1,1,0,1,1,0,1,3,2,22,1
1,1,4610,74,1,2,0,1,1,0,1,2,2,22,1
1,1,4875,68,1,1,0,3,2,0,1,7,1,22,2
1,1,4410,67,1,2,0,4,1,0,1,3,1,0,2
1,1,15505,65,1,1,0,1,1,0,1,5,2,28,1
1,1,6665,74,1,1,0,1,1,0,1,3,2,22,1
1,1,3655,78,1,1,0,1,1,0,1,3,1,0,1
1,1,5610,76,1,2,0,1,1,0,1,4,1,22,2
1,1,4310,80,1,1,0,1,1,0,1,2,1,0,1
1,1,2235,67,1,1,0,1,1,0,1,3,1,0,1
1,1,11370,67,1,1,0,1,2,0,1,8,2,22,2
1,1,3305,71,1,1,0,1,1,0,1,6,2,13,1
1,1,7910,73,1,1,0,1,1,0,1,7,2,22,1
1,1,4940,71,1,1,0,1,1,0,1,3,2,13,1
1,1,7300,65,1,1,0,1,1,0,1,3,1,0,1
1,1,2005,72,1,1,0,1,1,0,1,3,1,0,1
1,1,1125,21,2,2,0,1,2,0,1,7,1,22,1
1,1,6200,22,2,1,0,5,1,0,2,8,2,22,1
1,1,465,22,2,2,0,1,1,0,1,7,2,25,1
1,1,9975,23,2,1,0,1,2,0,1,8,2,22,1
1,1,10665,23,2,1,0,1,1,0,1,7,2,22,1
1,1,0,22,2,1,1,1,1,0,1,7,1,22,1
1,1,0,17,2,1,0,1,1,0,2,5,1,0,1
1,1,705,17,2,2,0,5,0,0,1,1,1,22,1
1,1,0,16,2,1,0,5,1,0,2,4,1,0,1
1,1,9005,23,2,1,0,1,2,0,1,9,2,25,1
1,1,355,22,2,2,1,1,1,0,1,8,1,0,1
1,1,755,18,2,1,0,5,1,0,2,6,1,22,1
1,1,485,17,2,1,0,5,1,0,2,5,2,22,1
