countyname,countynum,sampsize,popsize,radon
Carver,10,6,14100,12.9
Carver,10,6,14100,0.5
Carver,10,6,14100,14.7
Cass,11,5,8400,7.4
Cass,11,5,8400,1.9
Cass,11,5,8400,3.7
Cass,11,5,8400,4
Cass,11,5,8400,5.3
Chippewa,12,5,5600,7.7
Chippewa,12,5,5600,1.4
Chippewa,12,5,5600,10
Chippewa,12,5,5600,9.4
Chippewa,12,5,5600,2.7
Chisago,13,6,10000,0.8
Chisago,13,6,10000,4.4
Chisago,13,6,10000,5
Chisago,13,6,10000,2.1
Chisago,13,6,10000,8.1
Chisago,13,6,10000,1.7
Clay,14,15,17200,13
Clay,14,15,17200,0.9
Clay,14,15,17200,8.8
Clay,14,15,17200,3.5
Clay,14,15,17200,19.5
Clay,14,15,17200,26.6
Clay,14,15,17200,1.5
Clay,14,15,17200,2.5
Clay,14,15,17200,12.9
Clay,14,15,17200,9
Clay,14,15,17200,2.6
Clay,14,15,17200,13.1
Clay,14,15,17200,3.6
Clay,14,15,17200,6.9
Clay,14,15,17200,10.8
Clearwater,15,4,3100,4.8
Clearwater,15,4,3100,3.4
Clearwater,15,4,3100,0.9
Clearwater,15,4,3100,3.4
Cook,16,2,1800,2.7
Cook,16,2,1800,1.4
Cottonwood,17,4,5200,0.5
Cottonwood,17,4,5200,2.5
Cottonwood,17,4,5200,6.8
Cottonwood,17,4,5200,11.1
Crow Wing,18,12,17200,4.4
Crow Wing,18,12,17200,4.3
Crow Wing,18,12,17200,5.5
Crow Wing,18,12,17200,1.8
Crow Wing,18,12,17200,1.5
Crow Wing,18,12,17200,6.7
Crow Wing,18,12,17200,1.6
Crow Wing,18,12,17200,2.9
Crow Wing,18,12,17200,1
Crow Wing,18,12,17200,4.1
Crow Wing,18,12,17200,2.5
Crow Wing,18,12,17200,0.9
Dakota,19,69,79400,8
Dakota,19,69,79400,3.6
Dakota,19,69,79400,6.8
Dakota,19,69,79400,1.4
Dakota,19,69,79400,2.3
Dakota,19,69,79400,1.6
Dakota,19,69,79400,8.8
Dakota,19,69,79400,2.6
Dakota,19,69,79400,2.8
Dakota,19,69,79400,4.3
Dakota,19,69,79400,4.4
Dakota,19,69,79400,2.8
Dakota,19,69,79400,6.5
Dakota,19,69,79400,1.7
Dakota,19,69,79400,4.4
Dakota,19,69,79400,4.6
Dakota,19,69,79400,3.3
Dakota,19,69,79400,3.6
Dakota,19,69,79400,1.7
Dakota,19,69,79400,21.2
Dakota,19,69,79400,4.8
Dakota,19,69,79400,2.8
Dakota,19,69,79400,9.1
Dakota,19,69,79400,1.4
Dakota,19,69,79400,4.8
Dakota,19,69,79400,6
Dakota,19,69,79400,3.4
Dakota,19,69,79400,8.2
Dakota,19,69,79400,4.5
Dakota,19,69,79400,0.9
Dakota,19,69,79400,2
Dakota,19,69,79400,4.9
Dakota,19,69,79400,1.4
Dakota,19,69,79400,0.8
Dakota,19,69,79400,2.2
Dakota,19,69,79400,2
Dakota,19,69,79400,0.5
Dakota,19,69,79400,1.1
Dakota,19,69,79400,5
Dakota,19,69,79400,1.1
Dakota,19,69,79400,1.4
Dakota,19,69,79400,4.2
Dakota,19,69,79400,7.6
Dakota,19,69,79400,5.1
Dakota,19,69,79400,1.9
Dakota,19,69,79400,3.2
Dakota,19,69,79400,5.4
Dakota,19,69,79400,1.5
Dakota,19,69,79400,9.6
Dakota,19,69,79400,8.1
Dakota,19,69,79400,3.6
Dakota,19,69,79400,4.9
Dakota,19,69,79400,10.8
Dakota,19,69,79400,8.7
Dakota,19,69,79400,5.8
Dakota,19,69,79400,2.5
Dakota,19,69,79400,3.5
Dakota,19,69,79400,14.6
Dakota,19,69,79400,3.8
Dakota,19,69,79400,8.8
Dakota,19,69,79400,6.3
Dakota,19,69,79400,6.7
Dakota,19,69,79400,4.7
Dakota,19,69,79400,2.3
Dakota,19,69,79400,2.9
Dakota,19,69,79400,0.7
Dakota,19,69,79400,2.4
Dakota,19,69,79400,7.2
Dakota,19,69,79400,8.9
Dodge,20,3,5500,7.2
Dodge,20,3,5500,5.4
Dodge,20,3,5500,5.7
Douglass,21,11,11400,7.4
Douglass,21,11,11400,4.8
Douglass,21,11,11400,7.8
Douglass,21,11,11400,6.8
Douglass,21,11,11400,5.5
Douglass,21,11,11400,6.4
Douglass,21,11,11400,4.4
Douglass,21,11,11400,2.7
Douglass,21,11,11400,2.7
Douglass,21,11,11400,4.2
Douglass,21,11,11400,4.7
Faribault,22,6,7300,1.3
Faribault,22,6,7300,3.4
Faribault,22,6,7300,5.2
Faribault,22,6,7300,2.3
Faribault,22,6,7300,4.2
Faribault,22,6,7300,0.5
Fillmore,23,2,7900,3.2
Fillmore,23,2,7900,2.5
Freeborn,24,10,13400,32.6
Freeborn,24,10,13400,6.3
Freeborn,24,10,13400,2.2
Freeborn,24,10,13400,3.2
Freeborn,24,10,13400,5.6
Freeborn,24,10,13400,13.2
Freeborn,24,10,13400,9.6
Freeborn,24,10,13400,4.2
Freeborn,24,10,13400,9
Freeborn,24,10,13400,1.9
Goodhue,25,15,14600,6.7
Goodhue,25,15,14600,5.6
Goodhue,25,15,14600,14.3
Goodhue,25,15,14600,6.9
Goodhue,25,15,14600,2.6
Goodhue,25,15,14600,3.5
Goodhue,25,15,14600,3.5
Goodhue,25,15,14600,43.5
Goodhue,25,15,14600,3.9
Goodhue,25,15,14600,9.8
Goodhue,25,15,14600,4.9
Goodhue,25,15,14600,7.6
Goodhue,25,15,14600,4.9
Goodhue,25,15,14600,4.8
Goodhue,25,15,14600,1.9
Hennepin,27,119,392500,7.2
Hennepin,27,119,392500,4.6
Hennepin,27,119,392500,5.1
Hennepin,27,119,392500,4.9
Hennepin,27,119,392500,2.1
Hennepin,27,119,392500,1.5
Hennepin,27,119,392500,2.8
Hennepin,27,119,392500,5.5
Hennepin,27,119,392500,2.7
Hennepin,27,119,392500,16.5
Hennepin,27,119,392500,2.8
Hennepin,27,119,392500,2.5
Hennepin,27,119,392500,2
Hennepin,27,119,392500,3.9
Hennepin,27,119,392500,3.1
Hennepin,27,119,392500,4.1
Hennepin,27,119,392500,3.9
Hennepin,27,119,392500,2.4
Hennepin,27,119,392500,7.9
Hennepin,27,119,392500,7.6
Hennepin,27,119,392500,2.6
Hennepin,27,119,392500,3
Hennepin,27,119,392500,3.9
Hennepin,27,119,392500,1.7
Hennepin,27,119,392500,4.7
Hennepin,27,119,392500,14.9
Hennepin,27,119,392500,6
Hennepin,27,119,392500,8.6
Hennepin,27,119,392500,5.6
Hennepin,27,119,392500,1.6
Hennepin,27,119,392500,3.3
Hennepin,27,119,392500,4
Hennepin,27,119,392500,2.6
Hennepin,27,119,392500,3.6
Hennepin,27,119,392500,4
Hennepin,27,119,392500,1.8
Hennepin,27,119,392500,3
Hennepin,27,119,392500,1.8
Hennepin,27,119,392500,3.8
Hennepin,27,119,392500,4.3
Hennepin,27,119,392500,7.4
Hennepin,27,119,392500,3.8
Hennepin,27,119,392500,4.3
Hennepin,27,119,392500,2.5
Hennepin,27,119,392500,2.3
Hennepin,27,119,392500,1.3
Hennepin,27,119,392500,3.6
Hennepin,27,119,392500,3.9
Hennepin,27,119,392500,5.7
Hennepin,27,119,392500,5.4
Hennepin,27,119,392500,1.9
Hennepin,27,119,392500,3.3
Hennepin,27,119,392500,4.6
Hennepin,27,119,392500,5.5
Hennepin,27,119,392500,2.1
Hennepin,27,119,392500,4.6
Hennepin,27,119,392500,3.3
Hennepin,27,119,392500,0.9
Hennepin,27,119,392500,1.8
Hennepin,27,119,392500,8.6
Hennepin,27,119,392500,3
Hennepin,27,119,392500,5.7
Hennepin,27,119,392500,6.2
Hennepin,27,119,392500,8.4
Hennepin,27,119,392500,6
Hennepin,27,119,392500,5.6
Hennepin,27,119,392500,13.8
Hennepin,27,119,392500,10.9
Hennepin,27,119,392500,3.2
Hennepin,27,119,392500,5.6
Hennepin,27,119,392500,11.2
Hennepin,27,119,392500,3
Hennepin,27,119,392500,4.5
Hennepin,27,119,392500,5.9
Hennepin,27,119,392500,7.6
Hennepin,27,119,392500,13
Hennepin,27,119,392500,4.7
Hennepin,27,119,392500,4.2
Hennepin,27,119,392500,0.5
Hennepin,27,119,392500,2.9
Hennepin,27,119,392500,3
Hennepin,27,119,392500,2.5
Hennepin,27,119,392500,0.9
Hennepin,27,119,392500,2.2
Hennepin,27,119,392500,2.7
Hennepin,27,119,392500,1.6
Hennepin,27,119,392500,8.6
Hennepin,27,119,392500,4.4
Hennepin,27,119,392500,2.9
Hennepin,27,119,392500,7.6
Hennepin,27,119,392500,2.8
Hennepin,27,119,392500,4.1
Hennepin,27,119,392500,1.5
Hennepin,27,119,392500,2.5
Hennepin,27,119,392500,5.5
Hennepin,27,119,392500,5.5
Hennepin,27,119,392500,0.7
Hennepin,27,119,392500,4.3
Hennepin,27,119,392500,4.7
Hennepin,27,119,392500,3.9
Hennepin,27,119,392500,2.6
Hennepin,27,119,392500,2.9
Hennepin,27,119,392500,23.6
Hennepin,27,119,392500,0.8
Hennepin,27,119,392500,0.5
Hennepin,27,119,392500,8.1
Hennepin,27,119,392500,5.9
Hennepin,27,119,392500,4.7
Hennepin,27,119,392500,2.2
Hennepin,27,119,392500,6
Hennepin,27,119,392500,4.1
Hennepin,27,119,392500,4.9
Hennepin,27,119,392500,4
Hennepin,27,119,392500,8.1
Hennepin,27,119,392500,4.6
Hennepin,27,119,392500,3.4
Hennepin,27,119,392500,10
Hennepin,27,119,392500,0.9
Hennepin,27,119,392500,2.4
Houston,28,6,6400,3.4
Houston,28,6,6400,8.5
Houston,28,6,6400,3.6
Houston,28,6,6400,9
Houston,28,6,6400,2.2
Houston,28,6,6400,4.8
Hubbard,29,5,5700,1.5
Hubbard,29,5,5700,0.8
Hubbard,29,5,5700,2.8
Hubbard,29,5,5700,4.6
Hubbard,29,5,5700,3.7
Istani,30,4,9000,2.2
Istani,30,4,9000,3.6
Istani,30,4,9000,3
Istani,30,4,9000,2.7
Itasca,31,12,16600,2.4
Itasca,31,12,16600,4.3
Itasca,31,12,16600,1.9
Itasca,31,12,16600,9.4
Itasca,31,12,16600,2.6
Itasca,31,12,16600,1.3
Itasca,31,12,16600,1.1
Itasca,31,12,16600,2.5
Itasca,31,12,16600,2.6
Itasca,31,12,16600,3.3
Itasca,31,12,16600,1.8
Itasca,31,12,16600,4.3
Jackson,32,7,4800,2.9
Jackson,32,7,4800,15.3
Jackson,32,7,4800,5
Jackson,32,7,4800,8.4
Jackson,32,7,4800,13.1
Jackson,32,7,4800,5.7
Jackson,32,7,4800,22.2
Kanabec,33,4,4900,1.8
Kanabec,33,4,4900,3.8
Kanabec,33,4,4900,7.9
Kanabec,33,4,4900,2.6
Kandiyohi,34,4,14100,11.3
Kandiyohi,34,4,14100,4.1
Kandiyohi,34,4,14100,12.3
Kandiyohi,34,4,14100,6.7
Kittson,35,3,2300,0.9
Kittson,35,3,2300,6.9
Kittson,35,3,2300,4.5
Koochiching,36,9,6200,1
Koochiching,36,9,6200,1.7
Koochiching,36,9,6200,2.8
Koochiching,36,9,6200,1.4
Koochiching,36,9,6200,2
Koochiching,36,9,6200,1.3
Koochiching,36,9,6200,1
Koochiching,36,9,6200,3.3
Koochiching,36,9,6200,5.4
Lac qui Parle,37,2,3800,11.3
Lac qui Parle,37,2,3800,16
Lake,38,10,4400,1.6
Lake,38,10,4400,0.9
Lake,38,10,4400,1.3
Lake,38,10,4400,1.3
Lake,38,10,4400,2.8
Lake,38,10,4400,0.5
Lake,38,10,4400,1.5
Lake,38,10,4400,7.1
Lake,38,10,4400,0.5
Lake,38,10,4400,0.5
Lake of the Woods,39,5,1500,10.1
Lake of the Woods,39,5,1500,4.3
Lake of the Woods,39,5,1500,3.3
Lake of the Woods,39,5,1500,2.9
Lake of the Woods,39,5,1500,3.7
Le Sueur,40,6,8700,4.5
Le Sueur,40,6,8700,3.9
Le Sueur,40,6,8700,4.2
Le Sueur,40,6,8700,3.3
Le Sueur,40,6,8700,12.5
Le Sueur,40,6,8700,7.4
Lincoln,41,4,2900,7.9
Lincoln,41,4,2900,17.5
Lincoln,41,4,2900,3.5
Lincoln,41,4,2900,10.6
Lyon,42,10,9000,12
Lyon,42,10,9000,6.5
Lyon,42,10,9000,5.1
Lyon,42,10,9000,4.6
Lyon,42,10,9000,6.9
Lyon,42,10,9000,5.1
Lyon,42,10,9000,8.9
Lyon,42,10,9000,5.8
Lyon,42,10,9000,5.8
Lyon,42,10,9000,2.6
Mahnomen,43,1,1600,3.9
Marshall,44,9,4500,0.9
Marshall,44,9,4500,0.9
Marshall,44,9,4500,2.8
Marshall,44,9,4500,23.8
Marshall,44,9,4500,8.3
Marshall,44,9,4500,1.4
Marshall,44,9,4500,1.5
Marshall,44,9,4500,1.1
Marshall,44,9,4500,48.2
Martin,45,8,9700,4.1
Martin,45,8,9700,0.5
Martin,45,8,9700,6.7
Martin,45,8,9700,7.5
Martin,45,8,9700,9.2
Martin,45,8,9700,1.5
Martin,45,8,9700,0.5
Martin,45,8,9700,1.9
McLeod,46,13,11100,4.4
McLeod,46,13,11100,2.8
McLeod,46,13,11100,1.1
McLeod,46,13,11100,10.3
McLeod,46,13,11100,1.2
McLeod,46,13,11100,1.6
McLeod,46,13,11100,25.4
McLeod,46,13,11100,3.9
McLeod,46,13,11100,0.5
McLeod,46,13,11100,1.8
McLeod,46,13,11100,9.9
McLeod,46,13,11100,2.3
McLeod,46,13,11100,10.6
Meeker,47,5,7700,3.9
Meeker,47,5,7700,7.2
Meeker,47,5,7700,2.1
Meeker,47,5,7700,3.2
Meeker,47,5,7700,2.3
Mille Lacs,48,3,7200,0.5
Mille Lacs,48,3,7200,5.7
Mille Lacs,48,3,7200,2.3
Morrison,49,10,10300,1.4
Morrison,49,10,10300,2.1
Morrison,49,10,10300,3
Morrison,49,10,10300,5.1
Morrison,49,10,10300,2.4
Morrison,49,10,10300,4.9
Morrison,49,10,10300,3
Morrison,49,10,10300,2.8
Morrison,49,10,10300,3.9
Morrison,49,10,10300,12.9
Mower,50,14,14900,4.1
Mower,50,14,14900,6.4
Mower,50,14,14900,24
Mower,50,14,14900,2
Mower,50,14,14900,1.1
Mower,50,14,14900,9.2
Mower,50,14,14900,3
Mower,50,14,14900,4.5
Mower,50,14,14900,10.9
Mower,50,14,14900,2.1
Mower,50,14,14900,9.1
Mower,50,14,14900,8
Mower,50,14,14900,10.6
Mower,50,14,14900,3.1
Murray,51,1,3900,12.1
Nicollet,52,4,9500,8.1
Nicollet,52,4,9500,4.2
Nicollet,52,4,9500,15.7
Nicollet,52,4,9500,10.8
Nobles,53,3,7800,5.4
Nobles,53,3,7800,6.2
Nobles,53,3,7800,9.7
Norman,54,3,3300,8.1
Norman,54,3,3300,1.6
Norman,54,3,3300,1.6
Olmsted,55,26,36100,6.4
Olmsted,55,26,36100,0.6
Olmsted,55,26,36100,2
Olmsted,55,26,36100,2.5
Olmsted,55,26,36100,1.1
Olmsted,55,26,36100,9.4
Olmsted,55,26,36100,4.4
Olmsted,55,26,36100,11.2
Olmsted,55,26,36100,2.9
Olmsted,55,26,36100,10
Olmsted,55,26,36100,2.1
Olmsted,55,26,36100,4.5
Olmsted,55,26,36100,7.8
Olmsted,55,26,36100,3.8
Olmsted,55,26,36100,1.1
Olmsted,55,26,36100,2.5
Olmsted,55,26,36100,2.9
Olmsted,55,26,36100,8
Olmsted,55,26,36100,2.3
Olmsted,55,26,36100,1.7
Olmsted,55,26,36100,3.2
Olmsted,55,26,36100,5
Olmsted,55,26,36100,4.1
Olmsted,55,26,36100,2
Olmsted,55,26,36100,1.9
Olmsted,55,26,36100,1.1
Otter Tail,56,11,19900,0.5
Otter Tail,56,11,19900,3.2
Otter Tail,56,11,19900,2.1
Otter Tail,56,11,19900,2.7
Otter Tail,56,11,19900,1.1
Otter Tail,56,11,19900,12.6
Otter Tail,56,11,19900,4.2
Otter Tail,56,11,19900,3.8
Otter Tail,56,11,19900,12
Otter Tail,56,11,19900,4.8
Otter Tail,56,11,19900,1.1
Pennington,57,4,5700,3.7
Pennington,57,4,5700,5.8
Pennington,57,4,5700,0.5
Pennington,57,4,5700,1.9
Pine,58,6,7500,1.5
Pine,58,6,7500,1.2
Pine,58,6,7500,1.9
Pine,58,6,7500,1.2
Pine,58,6,7500,4.1
Pine,58,6,7500,2.8
Pipestone,59,4,4100,9.4
Pipestone,59,4,4100,1.7
Pipestone,59,4,4100,12.1
Pipestone,59,4,4100,4.3
Polk,60,4,12500,6.9
Polk,60,4,12500,1.4
Polk,60,4,12500,2.5
Polk,60,4,12500,9.6
Pope,61,2,4600,3.4
Pope,61,2,4600,3.8
Ramsey,62,42,180900,3.8
Ramsey,62,42,180900,1.7
Ramsey,62,42,180900,5.5
Ramsey,62,42,180900,2.1
Ramsey,62,42,180900,1.6
Ramsey,62,42,180900,6.5
Ramsey,62,42,180900,2.2
Ramsey,62,42,180900,4
Ramsey,62,42,180900,3.6
Ramsey,62,42,180900,3.5
Ramsey,62,42,180900,10.1
Ramsey,62,42,180900,7
Ramsey,62,42,180900,5.5
Ramsey,62,42,180900,5.5
Ramsey,62,42,180900,2.7
Ramsey,62,42,180900,5.2
Ramsey,62,42,180900,3.1
Ramsey,62,42,180900,2.5
Ramsey,62,42,180900,8.6
Ramsey,62,42,180900,1.2
Ramsey,62,42,180900,6.2
Ramsey,62,42,180900,4.2
Ramsey,62,42,180900,0.7
Ramsey,62,42,180900,2.8
Ramsey,62,42,180900,1.2
Ramsey,62,42,180900,2.7
Ramsey,62,42,180900,1.2
Ramsey,62,42,180900,4.9
Ramsey,62,42,180900,1
Ramsey,62,42,180900,2.6
Ramsey,62,42,180900,1.2
Ramsey,62,42,180900,3.5
Ramsey,62,42,180900,3.5
Ramsey,62,42,180900,30.9
Ramsey,62,42,180900,0.5
Ramsey,62,42,180900,2.8
Ramsey,62,42,180900,2.2
Ramsey,62,42,180900,11.6
Ramsey,62,42,180900,3.1
Ramsey,62,42,180900,3.9
Ramsey,62,42,180900,9.3
Ramsey,62,42,180900,5
Redwood,64,5,6700,1.9
Redwood,64,5,6700,3.8
Redwood,64,5,6700,7.4
Redwood,64,5,6700,20.7
Redwood,64,5,6700,7.5
Renville,65,3,7400,6
Renville,65,3,7400,2.1
Renville,65,3,7400,6.9
Rice,66,11,15900,7.7
Rice,66,11,15900,3
Rice,66,11,15900,4.7
Rice,66,11,15900,8.1
Rice,66,11,15900,9.7
Rice,66,11,15900,6.4
Rice,66,11,15900,4.6
Rice,66,11,15900,5.6
Rice,66,11,15900,19
Rice,66,11,15900,5.1
Rice,66,11,15900,2.4
Rock,67,3,3800,8.4
Rock,67,3,3800,1.6
Rock,67,3,3800,11.2
Roseau,68,14,4700,11.4
Roseau,68,14,4700,3.6
Roseau,68,14,4700,1.2
Roseau,68,14,4700,4.3
Roseau,68,14,4700,1.7
Roseau,68,14,4700,3.6
Roseau,68,14,4700,2.7
Roseau,68,14,4700,4
Roseau,68,14,4700,6
Roseau,68,14,4700,10.3
Roseau,68,14,4700,1.1
Roseau,68,14,4700,3.4
Roseau,68,14,4700,3.1
Roseau,68,14,4700,4.2
St. Louis,69,122,8100,1.5
St. Louis,69,122,8100,1.5
St. Louis,69,122,8100,8.6
St. Louis,69,122,8100,5
St. Louis,69,122,8100,1.1
St. Louis,69,122,8100,4.3
St. Louis,69,122,8100,0.8
St. Louis,69,122,8100,0.7
St. Louis,69,122,8100,1.1
St. Louis,69,122,8100,2.1
St. Louis,69,122,8100,2.3
St. Louis,69,122,8100,0.5
St. Louis,69,122,8100,1.4
St. Louis,69,122,8100,1.4
St. Louis,69,122,8100,32.2
St. Louis,69,122,8100,3
St. Louis,69,122,8100,2.4
St. Louis,69,122,8100,2.3
St. Louis,69,122,8100,4.6
St. Louis,69,122,8100,0.9
St. Louis,69,122,8100,1.5
St. Louis,69,122,8100,5.4
St. Louis,69,122,8100,4.2
St. Louis,69,122,8100,7.2
St. Louis,69,122,8100,2.2
St. Louis,69,122,8100,4.6
St. Louis,69,122,8100,3.4
St. Louis,69,122,8100,0.8
St. Louis,69,122,8100,3.1
St. Louis,69,122,8100,2.1
St. Louis,69,122,8100,3.2
St. Louis,69,122,8100,0.9
St. Louis,69,122,8100,3.5
St. Louis,69,122,8100,3.3
St. Louis,69,122,8100,3.9
St. Louis,69,122,8100,1.8
St. Louis,69,122,8100,2.1
St. Louis,69,122,8100,0.9
St. Louis,69,122,8100,1.5
St. Louis,69,122,8100,2.9
St. Louis,69,122,8100,1.3
St. Louis,69,122,8100,1.6
St. Louis,69,122,8100,0.5
St. Louis,69,122,8100,1.1
St. Louis,69,122,8100,1.2
St. Louis,69,122,8100,2.2
St. Louis,69,122,8100,0.9
St. Louis,69,122,8100,1.8
St. Louis,69,122,8100,4.5
St. Louis,69,122,8100,3.3
St. Louis,69,122,8100,3.6
St. Louis,69,122,8100,3.1
St. Louis,69,122,8100,0.5
St. Louis,69,122,8100,1.7
St. Louis,69,122,8100,1.7
St. Louis,69,122,8100,1.8
St. Louis,69,122,8100,0.6
St. Louis,69,122,8100,2.4
St. Louis,69,122,8100,1.8
St. Louis,69,122,8100,3.3
St. Louis,69,122,8100,3.2
St. Louis,69,122,8100,2
St. Louis,69,122,8100,2.4
St. Louis,69,122,8100,5.6
St. Louis,69,122,8100,3.5
St. Louis,69,122,8100,2.4
St. Louis,69,122,8100,1.1
St. Louis,69,122,8100,5.4
St. Louis,69,122,8100,3.1
St. Louis,69,122,8100,1.5
St. Louis,69,122,8100,0.6
St. Louis,69,122,8100,3.6
St. Louis,69,122,8100,0.8
St. Louis,69,122,8100,1.7
St. Louis,69,122,8100,0.5
St. Louis,69,122,8100,1.8
St. Louis,69,122,8100,0.7
St. Louis,69,122,8100,1.8
St. Louis,69,122,8100,1.6
St. Louis,69,122,8100,8.7
St. Louis,69,122,8100,1.8
St. Louis,69,122,8100,1.6
St. Louis,69,122,8100,1.4
St. Louis,69,122,8100,6.4
St. Louis,69,122,8100,0.7
St. Louis,69,122,8100,4.3
St. Louis,69,122,8100,3.4
St. Louis,69,122,8100,11
St. Louis,69,122,8100,1.8
St. Louis,69,122,8100,11.1
St. Louis,69,122,8100,1.3
St. Louis,69,122,8100,1.6
St. Louis,69,122,8100,8.7
St. Louis,69,122,8100,1.5
St. Louis,69,122,8100,1.5
St. Louis,69,122,8100,1.4
St. Louis,69,122,8100,2.8
St. Louis,69,122,8100,2.2
St. Louis,69,122,8100,2.7
St. Louis,69,122,8100,0.8
St. Louis,69,122,8100,14.9
St. Louis,69,122,8100,11.7
St. Louis,69,122,8100,2.7
St. Louis,69,122,8100,3.1
St. Louis,69,122,8100,1.7
St. Louis,69,122,8100,3
St. Louis,69,122,8100,3.3
St. Louis,69,122,8100,3.3
St. Louis,69,122,8100,2
St. Louis,69,122,8100,2
St. Louis,69,122,8100,1.4
St. Louis,69,122,8100,1.9
St. Louis,69,122,8100,1.1
St. Louis,69,122,8100,1.8
St. Louis,69,122,8100,0.5
St. Louis,69,122,8100,0.9
St. Louis,69,122,8100,0.9
St. Louis,69,122,8100,0.6
St. Louis,69,122,8100,1.7
St. Louis,69,122,8100,6.7
St. Louis,69,122,8100,5.7
St. Louis,69,122,8100,6.7
Scott,70,14,16500,3.2
Scott,70,14,16500,2.2
Scott,70,14,16500,10.2
Scott,70,14,16500,5.4
Scott,70,14,16500,8.3
Scott,70,14,16500,25.2
Scott,70,14,16500,2.1
Scott,70,14,16500,2
Scott,70,14,16500,9.1
Scott,70,14,16500,2
Scott,70,14,16500,4.3
Scott,70,14,16500,1.2
Scott,70,14,16500,11.4
Scott,70,14,16500,5.7
Sherburne,71,9,11100,2.3
Sherburne,71,9,11100,3.2
Sherburne,71,9,11100,1.7
Sherburne,71,9,11100,1.6
Sherburne,71,9,11100,2.8
Sherburne,71,9,11100,3.1
Sherburne,71,9,11100,2.6
Sherburne,71,9,11100,2.5
Sherburne,71,9,11100,2.7
Sibley,72,4,5500,10.1
Sibley,72,4,5500,5
Sibley,72,4,5500,1.5
Sibley,72,4,5500,4.8
Stearns,73,27,36000,6.4
Stearns,73,27,36000,8.3
Stearns,73,27,36000,1.9
Stearns,73,27,36000,2.1
Stearns,73,27,36000,7
