stratum,psu,facility,facsize,finalwt,randgrp,age,race,ethnicty,educ,gender,livewith,famtime,crimtype,everviol,numarr,probtn,corrinst,evertime,prviol,prprop,prdrug,prpub,prjuv,agefirst,usewepn,alcuse,everdrug
2,45,45,84,14,3,15,1,1,8,1,2,1,1,1,4,1,0,2,0,1,0,0,1,14,2,1,1
2,45,45,84,14,3,17,1,2,11,1,1,1,1,1,3,1,1,1,0,1,1,0,0,13,2,1,1
2,45,45,84,14,3,14,2,2,8,1,1,1,1,1,15,9,1,1,1,1,0,0,1,11,2,1,1
2,45,45,84,14,3,14,2,2,7,1,1,1,1,1,1,0,0,2,0,0,0,0,0,14,2,2,0
2,45,45,84,14,3,16,1,2,9,1,1,2,5,0,5,0,1,1,0,0,0,0,1,13,2,2,0
2,45,45,84,14,3,14,1,2,6,1,1,1,1,1,2,1,0,2,0,1,0,0,0,7,2,1,1
2,45,45,84,14,3,15,2,2,9,1,3,2,1,1,9,0,0,2,0,1,0,0,1,13,2,2,1
2,45,45,84,14,3,15,1,2,10,1,3,1,1,1,12,2,15,1,1,1,0,0,1,13,1,1,1
2,45,45,84,14,3,15,2,2,10,1,3,2,2,0,30,1,1,1,0,1,0,0,0,12,1,2,1
2,45,45,84,14,3,16,2,2,9,1,1,1,1,1,2,1,0,2,1,0,0,1,0,15,1,1,0
2,45,45,84,14,3,16,2,2,9,1,1,2,1,1,11,2,2,1,0,1,0,0,0,13,2,2,1
2,45,45,84,14,3,15,2,2,7,1,1,2,2,0,9,1,0,2,0,1,0,0,0,14,2,1,1
2,45,45,84,14,3,16,2,2,9,1,1,1,1,1,4,1,1,1,1,1,0,0,0,13,1,1,1
2,45,45,84,14,3,15,2,1,9,1,1,2,1,1,2,1,1,1,0,0,0,1,0,15,2,1,1
2,45,45,84,14,3,14,1,2,7,1,4,1,1,1,3,0,1,1,0,0,0,0,0,9,2,2,1
2,45,45,84,14,3,16,2,2,9,1,4,1,1,1,2,0,99,9,0,0,0,0,0,15,2,1,1
2,45,45,84,14,3,16,2,2,8,1,3,1,2,0,2,1,2,1,0,1,0,0,0,15,2,3,0
2,45,45,84,14,3,16,1,2,9,1,1,1,1,1,46,2,2,1,1,1,0,1,1,9,2,1,1
2,45,45,84,14,3,15,2,2,9,1,4,2,2,0,5,1,1,1,0,1,0,0,0,12,2,3,0
6,84,30,392,7,1,16,1,2,9,1,1,1,1,1,14,1,1,1,1,1,1,0,0,11,1,1,1
6,85,30,392,7,2,18,1,2,10,1,1,2,2,0,6,1,2,1,0,1,0,0,0,14,2,3,9
6,86,30,392,7,3,17,1,2,11,1,1,1,1,1,5,2,0,2,1,0,0,0,0,16,2,1,1
6,87,30,392,7,4,18,2,2,10,1,3,2,1,1,8,2,5,1,1,0,1,0,0,14,2,3,1
6,88,30,392,7,5,17,2,1,10,1,3,2,3,1,15,13,0,2,1,0,1,1,1,13,2,2,1
6,89,30,392,7,6,18,1,1,7,1,3,2,1,1,3,0,0,2,0,0,0,0,0,15,1,2,1
6,90,30,392,7,7,17,1,2,9,1,1,2,1,1,8,12,1,1,0,0,1,0,0,14,2,1,1
6,91,30,392,7,1,17,5,1,9,1,1,1,2,1,7,2,1,1,1,1,1,0,0,14,2,2,1
6,92,30,392,7,2,18,2,2,10,1,1,2,1,1,27,1,2,1,1,1,0,1,0,10,1,3,1
6,93,30,392,7,3,19,1,2,11,1,3,2,2,1,20,6,3,1,1,1,1,1,1,13,2,1,1
6,94,30,392,7,4,17,2,2,11,1,3,1,3,0,4,1,3,1,0,0,1,0,0,15,2,1,1
6,95,30,392,7,5,17,2,2,10,1,5,1,3,1,3,0,1,1,1,1,0,0,0,13,2,3,0
6,96,30,392,7,6,18,2,2,10,1,1,2,2,0,11,1,1,1,0,1,0,0,0,15,2,1,1
6,97,30,392,7,7,18,2,2,9,1,1,2,1,1,5,1,2,1,0,1,0,0,0,13,2,1,1
6,98,30,392,7,1,18,2,2,11,1,1,1,1,1,5,1,0,2,0,0,0,0,0,14,2,1,1
6,99,30,392,7,2,17,2,2,11,1,1,2,1,1,2,2,0,2,1,1,1,0,0,17,1,3,1
6,100,30,392,7,3,20,2,1,10,1,1,1,1,1,1,0,0,2,0,0,1,0,0,15,1,3,1
6,101,30,392,7,4,18,1,1,10,1,3,1,3,0,20,2,2,1,0,1,1,1,0,10,1,1,1
6,102,30,392,7,5,17,2,2,9,1,3,1,1,1,4,1,0,2,0,1,0,0,0,16,2,1,1
6,103,30,392,7,6,19,5,1,9,1,1,1,1,1,3,1,1,1,0,1,0,0,1,16,2,2,1
6,104,30,392,7,7,17,2,2,9,1,1,2,4,0,3,1,1,1,0,0,0,1,0,16,2,3,1
6,105,30,392,7,1,17,2,2,10,1,3,1,2,1,9,1,3,1,1,1,0,0,1,14,1,3,0
6,106,30,392,7,2,18,1,1,9,1,1,2,3,1,9,2,1,1,1,1,0,0,0,11,2,1,1
6,107,30,392,7,3,17,1,1,10,1,2,2,3,0,2,2,0,2,0,0,0,1,0,17,2,1,1
6,108,30,392,7,4,17,2,2,11,1,1,2,3,0,3,2,0,2,0,1,1,0,1,16,2,3,1
6,109,30,392,7,5,17,2,2,8,1,1,2,1,1,20,1,99,1,1,1,0,1,0,9,1,1,1
6,110,30,392,7,6,17,2,2,9,1,1,1,3,1,4,3,0,2,1,0,1,0,0,16,2,3,1
6,111,30,392,7,7,21,2,2,7,1,1,1,2,1,4,2,4,1,1,1,0,0,1,17,2,3,0
6,112,30,392,7,1,22,2,2,11,1,1,1,1,1,10,21,99,9,1,0,1,1,0,14,1,3,1
6,113,30,392,7,2,18,2,2,11,1,1,2,2,1,3,99,0,2,1,1,1,0,0,14,2,1,1
6,114,30,392,7,3,18,9,1,10,1,1,1,1,1,1,0,0,2,1,1,1,0,1,16,1,2,1
6,115,30,392,7,4,19,5,1,7,1,1,1,3,0,3,0,1,1,0,0,0,0,0,17,2,2,1
6,116,30,392,7,5,19,2,2,12,1,1,2,1,1,45,1,1,1,0,1,0,0,0,14,2,3,1
6,117,30,392,7,6,18,2,2,10,1,1,1,3,1,10,1,1,1,1,0,1,1,0,13,2,3,1
6,118,30,392,7,7,18,2,2,11,1,1,2,1,1,6,1,1,1,0,1,1,0,0,11,1,2,1
6,119,30,392,7,1,18,1,1,9,1,1,2,1,1,8,0,0,2,0,0,0,0,0,15,1,1,1
6,120,30,392,7,2,18,2,2,10,1,1,1,1,1,17,1,0,2,1,0,0,0,0,16,1,1,1
6,121,30,392,7,3,19,1,2,11,1,3,2,1,1,3,0,0,2,0,0,0,0,0,16,2,1,1
6,122,30,392,7,4,17,1,2,11,1,1,2,1,1,20,3,0,2,0,1,0,1,0,11,1,1,1
6,123,30,392,7,5,17,2,2,9,1,1,2,3,0,6,2,0,2,0,1,1,0,0,12,2,1,1
6,124,30,392,7,6,19,2,2,9,1,1,2,1,1,1,0,0,2,0,0,0,0,0,16,2,3,1
6,125,30,392,7,7,17,5,1,9,1,1,2,4,1,6,10,1,1,1,1,1,0,0,14,1,2,1
6,126,30,392,7,1,16,2,2,8,1,3,2,1,1,3,1,1,1,0,0,0,0,0,15,2,1,1
6,127,30,392,7,2,16,2,2,9,1,3,1,1,1,30,3,0,2,1,1,1,0,0,13,1,3,1
6,128,30,392,7,3,18,2,2,10,1,3,2,3,0,1,1,0,2,0,0,1,0,0,17,2,2,9
6,129,30,392,7,4,16,2,2,9,1,3,1,2,0,7,3,0,2,0,1,0,1,0,11,2,1,1
6,130,30,392,7,5,16,1,2,11,1,1,1,3,1,40,1,1,1,1,1,1,0,1,11,2,1,1
4,29,29,180,5,7,17,2,2,9,1,1,2,1,1,5,1,0,2,1,1,0,1,0,16,2,1,1
4,29,29,180,5,7,16,2,2,9,1,3,2,1,1,10,1,1,1,0,1,0,0,0,13,2,1,1
4,29,29,180,5,7,15,2,2,8,1,1,2,1,1,2,1,0,2,0,0,0,0,0,14,2,3,0
4,29,29,180,5,7,16,5,1,7,1,3,2,2,0,3,0,0,2,0,0,0,0,0,15,2,1,1
4,29,29,180,5,7,16,2,2,9,1,3,2,3,0,4,2,0,2,0,0,0,0,0,13,2,3,1
4,29,29,180,5,7,16,2,2,10,1,1,2,1,1,3,0,1,1,0,0,0,0,0,15,2,1,1
4,29,29,180,5,7,16,2,1,8,1,1,1,2,0,7,22,0,2,0,1,1,0,0,13,2,1,1
4,29,29,180,5,7,16,2,2,10,1,3,1,1,1,40,3,1,1,0,1,0,0,0,14,1,1,1
4,29,29,180,5,7,16,2,2,8,1,4,2,2,0,12,1,0,2,0,0,0,0,0,11,2,1,1
4,29,29,180,5,7,17,1,2,6,1,3,1,2,0,10,10,8,1,0,1,0,1,1,9,2,1,1
4,29,29,180,5,7,16,5,1,10,1,1,2,1,1,2,2,1,1,1,0,0,0,0,14,2,3,1
4,29,29,180,5,7,13,2,2,8,1,99,9,1,1,4,2,2,1,1,1,1,0,0,9,1,1,1
4,29,29,180,5,7,14,1,2,7,1,1,1,2,1,4,1,0,2,1,1,0,0,0,11,1,1,1
4,29,29,180,5,7,15,2,1,7,1,1,1,1,1,4,0,1,1,0,0,0,0,0,11,1,1,1
4,29,29,180,5,7,18,2,2,10,1,1,2,3,0,8,1,0,2,0,0,0,0,0,15,2,1,1
4,29,29,180,5,7,16,2,2,8,1,3,2,1,1,1,1,0,2,1,0,0,0,0,16,2,1,0
4,29,29,180,5,7,16,2,2,10,1,4,2,3,1,10,5,3,1,1,1,1,0,0,14,2,1,1
4,29,29,180,5,7,17,1,2,10,1,1,2,4,0,25,5,0,2,0,1,0,0,0,10,2,1,1
4,29,29,180,5,7,17,1,1,9,1,1,2,2,0,5,3,2,1,0,1,0,0,0,13,2,1,1
4,29,29,180,5,7,18,1,1,7,1,1,1,3,0,10,1,2,1,0,1,0,0,0,13,2,3,1
4,29,29,180,5,7,16,1,1,9,1,1,1,2,1,5,1,1,1,1,1,0,0,0,9,2,3,1
4,29,29,180,5,7,15,5,1,8,1,1,2,1,1,2,0,0,2,0,0,1,1,0,13,1,1,1
4,29,29,180,5,7,16,1,2,10,1,1,1,1,1,30,2,0,2,1,1,1,1,1,13,2,1,1
4,29,29,180,5,7,17,2,2,12,1,1,1,1,1,8,22,99,1,0,1,1,1,0,13,2,3,1
4,29,29,180,5,7,17,2,2,10,1,1,2,1,1,15,2,2,1,0,1,1,1,0,11,2,1,1
4,29,29,180,5,7,16,2,2,10,1,1,1,1,1,2,0,0,2,0,0,0,0,0,15,1,1,1
4,29,29,180,5,7,14,2,2,8,1,1,2,1,1,2,0,0,2,1,0,0,0,0,13,2,1,1
4,29,29,180,5,7,16,2,2,8,1,1,1,2,0,30,2,8,1,0,1,1,0,0,14,2,1,1
4,29,29,180,5,7,17,5,1,9,1,3,2,1,1,20,1,1,1,0,0,1,0,0,14,1,1,1
4,29,29,180,5,7,15,1,2,8,1,1,1,1,1,10,3,0,2,0,1,0,1,0,9,2,1,1
4,29,29,180,5,7,16,2,2,9,1,1,2,1,1,2,1,0,2,0,0,0,0,0,16,2,3,0
4,29,29,180,5,7,14,2,2,7,1,1,1,1,1,11,3,1,1,1,0,1,0,0,10,1,3,1
4,29,29,180,5,7,15,1,1,9,1,1,1,4,1,15,6,0,2,1,1,0,0,1,12,2,1,1
4,29,29,180,5,7,15,2,2,10,1,1,2,1,1,5,1,5,1,1,1,0,0,0,11,2,1,1
4,29,29,180,5,7,16,2,2,9,1,1,2,3,0,5,3,2,1,0,1,1,0,0,15,2,3,1
4,29,29,180,5,7,16,1,2,10,1,1,1,1,1,15,3,10,1,1,1,0,0,0,11,2,1,0
4,29,29,180,5,7,17,1,2,11,1,1,2,2,0,2,0,1,1,0,0,0,0,0,16,2,1,1
4,29,29,180,5,7,16,2,2,11,1,1,1,2,0,3,3,0,2,0,1,0,0,0,14,2,1,0
4,29,29,180,5,7,19,2,2,12,1,5,2,2,0,1,1,0,2,0,0,0,0,0,17,2,1,1
4,29,29,180,5,7,15,2,2,8,1,1,2,1,1,3,1,0,2,0,1,1,0,0,12,2,1,1
4,29,29,180,5,7,16,2,2,10,1,1,1,3,0,3,2,0,2,0,0,1,0,0,14,2,3,1
4,29,29,180,5,7,17,2,2,10,1,1,1,1,1,10,4,1,1,1,1,1,0,0,13,1,2,0
4,29,29,180,5,7,17,2,2,11,1,1,2,2,1,3,1,0,2,1,0,0,0,0,13,2,1,1
4,29,29,180,5,7,15,1,1,12,1,3,1,1,1,10,1,0,2,0,1,0,0,0,10,1,3,0
4,29,29,180,5,7,14,2,2,7,1,1,1,1,1,10,1,1,1,0,1,0,1,0,12,1,1,1
4,29,29,180,5,7,17,1,2,9,1,1,1,2,0,22,1,13,1,0,1,0,1,1,8,2,1,1
4,29,29,180,5,7,16,2,2,8,2,1,1,1,1,1,0,0,2,0,0,0,0,0,16,1,1,1
4,29,29,180,5,7,15,5,1,8,2,1,1,1,1,7,0,0,2,0,0,0,0,1,12,1,1,1
4,29,29,180,5,7,17,2,2,8,2,1,2,1,1,5,1,3,1,0,0,1,0,0,12,2,1,1
4,29,29,180,5,7,16,2,2,9,2,1,1,1,1,5,1,1,1,0,1,0,0,0,14,2,3,1
4,29,29,180,5,7,17,2,2,10,1,1,1,2,0,2,2,1,1,0,1,0,0,0,13,2,1,1
4,29,29,180,5,7,16,2,2,10,1,1,9,2,1,3,1,1,1,1,1,1,0,1,15,2,2,1
4,29,29,180,5,7,15,2,2,9,1,1,1,2,0,20,2,0,2,0,1,0,0,0,13,2,1,1
4,29,29,180,5,7,15,1,1,6,1,1,2,2,0,3,0,0,2,0,1,0,0,0,14,2,2,1
4,29,29,180,5,7,14,2,2,14,1,3,1,1,1,2,3,1,1,0,0,0,0,0,10,2,3,1
4,29,29,180,5,7,15,1,2,8,1,3,1,2,0,5,1,1,1,0,0,0,0,1,11,2,3,1
4,29,29,180,5,7,14,2,2,7,1,1,2,1,1,2,2,0,2,0,1,1,0,0,13,2,1,1
4,29,29,180,5,7,15,1,1,14,1,1,2,2,0,20,2,0,2,0,1,0,0,0,14,1,1,1
1,22,22,42,7,4,17,2,2,14,1,5,9,1,1,99,0,13,1,0,1,0,0,1,13,2,3,0
1,22,22,42,7,4,17,2,2,12,1,4,2,2,0,10,0,0,2,0,1,0,0,0,13,2,3,0
1,22,22,42,7,4,16,2,2,9,1,1,1,2,0,12,1,0,2,0,0,0,0,0,12,2,1,1
1,22,22,42,7,4,17,2,2,11,1,1,2,1,1,1,0,4,1,0,0,0,0,0,13,1,1,1
1,22,22,42,7,4,18,1,2,8,1,1,2,2,1,11,4,5,1,1,1,0,0,0,14,2,2,1
1,22,22,42,7,4,16,2,2,10,1,1,1,2,1,7,2,6,1,1,1,1,1,1,13,2,3,1
1,22,22,42,7,4,17,2,2,5,1,1,2,2,1,1,1,0,2,1,1,0,0,0,15,2,2,0
1,22,22,42,7,4,16,1,2,9,1,1,1,2,0,1,0,2,1,0,0,0,0,0,15,2,1,1
1,22,22,42,7,4,18,1,2,7,1,1,1,2,1,6,6,7,1,1,1,1,0,1,12,2,1,1
1,22,22,42,7,4,17,1,2,10,1,3,2,2,1,10,0,10,1,1,1,1,1,1,11,2,1,1
1,22,22,42,7,4,16,1,2,8,1,1,2,1,1,2,0,1,1,0,1,0,0,1,15,2,1,1
1,22,22,42,7,4,15,1,2,9,1,1,2,1,1,99,1,2,1,1,1,0,0,1,99,2,1,1
1,22,22,42,7,4,17,2,2,9,1,3,2,1,1,2,0,2,1,0,0,0,0,0,15,1,2,1
1,22,22,42,7,4,14,1,2,14,1,1,2,2,0,2,1,2,1,0,1,0,0,1,14,2,3,0
1,22,22,42,7,4,14,2,2,7,1,1,2,2,0,96,1,1,1,0,1,0,0,1,9,1,1,1
1,22,22,42,7,4,15,2,1,7,1,4,1,2,1,20,3,7,1,1,1,0,0,1,11,2,1,1
1,22,22,42,7,4,15,2,2,7,1,1,1,1,1,7,0,1,1,0,0,0,0,0,14,2,2,0
1,22,22,42,7,4,15,2,2,6,1,4,1,2,0,1,0,1,1,0,1,0,0,1,15,1,2,1
1,22,22,42,7,4,14,2,2,7,1,5,1,2,0,99,0,1,1,0,0,0,0,1,12,2,2,0
1,22,22,42,7,4,14,2,2,6,1,1,2,1,1,2,0,0,2,0,0,0,0,0,12,1,2,0
1,22,22,42,7,4,16,1,2,9,1,3,2,2,0,4,3,0,2,0,1,0,0,1,14,2,1,1
1,22,22,42,7,4,17,1,2,8,1,1,1,2,1,18,0,2,1,1,1,0,0,0,12,2,1,1
1,22,22,42,7,4,14,1,2,8,1,1,1,1,1,1,1,0,2,1,1,0,1,0,14,1,1,0
1,22,22,42,7,4,15,2,2,10,1,3,1,1,1,1,0,0,2,0,0,0,0,0,13,1,1,1
1,22,22,42,7,4,17,1,2,8,1,3,2,1,1,1,0,0,2,0,0,0,0,0,15,2,3,0
1,22,22,42,7,4,17,2,2,9,1,1,2,2,0,4,1,2,1,0,1,0,0,0,15,2,1,0
1,22,22,42,7,4,17,4,2,8,1,4,1,4,0,1,0,0,2,0,0,0,0,0,15,1,1,1
1,22,22,42,7,4,15,1,2,5,1,1,2,2,1,20,6,2,1,1,1,1,1,1,10,1,1,1
1,22,22,42,7,4,15,2,2,7,1,4,1,2,0,99,0,8,1,0,0,0,0,0,6,2,2,1
1,22,22,42,7,4,17,2,1,10,1,1,1,1,1,2,1,0,2,0,1,0,0,0,13,2,2,1
1,22,22,42,7,4,17,1,2,10,1,1,2,2,1,1,1,4,1,1,0,1,0,1,99,2,1,1
1,22,22,42,7,4,17,1,2,9,1,2,1,1,1,3,2,3,1,0,1,0,0,1,15,2,1,0
1,22,22,42,7,4,15,2,2,7,1,1,2,1,1,2,1,0,2,0,0,0,0,0,14,2,3,1
1,22,22,42,7,4,14,2,2,8,1,1,2,2,0,99,0,0,2,0,0,0,0,0,11,2,2,0
1,22,22,42,7,4,16,1,2,9,1,1,2,1,1,1,0,7,1,0,0,0,0,0,99,1,2,1
1,22,22,42,7,4,15,1,2,11,1,3,2,1,1,99,0,0,2,0,0,0,0,0,99,2,1,0
1,22,22,42,7,4,15,1,2,8,1,1,1,5,0,8,2,5,1,0,1,0,0,1,7,2,1,1
1,22,22,42,7,4,17,1,2,9,1,1,1,1,1,5,4,9,1,1,1,0,0,1,12,2,2,1
1,22,22,42,7,4,15,1,2,9,1,1,1,1,1,1,0,0,2,0,0,0,0,0,14,2,1,1
3,38,38,173,11,6,15,1,2,8,1,3,2,1,1,15,2,0,2,0,1,0,0,1,12,1,1,1
3,38,38,173,11,6,15,2,2,9,1,1,1,1,1,11,2,2,1,1,1,0,1,0,10,1,1,1
3,38,38,173,11,6,13,2,2,8,1,3,2,4,1,3,1,1,1,1,1,0,0,1,12,2,3,0
3,38,38,173,11,6,15,1,2,9,1,1,1,2,1,12,1,2,1,1,1,0,1,1,10,2,1,1
3,38,38,173,11,6,15,1,2,7,1,1,1,2,0,3,1,5,1,0,0,0,0,1,11,2,3,1
3,38,38,173,11,6,17,1,2,9,1,1,1,2,0,2,1,2,1,0,1,1,0,0,15,1,1,1
3,38,38,173,11,6,16,2,2,11,1,1,1,1,1,2,1,2,1,1,0,1,0,1,14,2,1,1
3,38,38,173,11,6,16,2,2,9,1,1,1,1,1,9,1,0,2,1,0,0,0,0,14,2,1,1
3,38,38,173,11,6,14,2,2,9,1,1,2,4,0,5,1,3,1,0,1,0,0,1,11,2,1,1
3,38,38,173,11,6,16,1,2,10,1,1,2,1,1,30,1,4,1,1,1,0,1,1,11,2,1,1
3,38,38,173,11,6,15,2,2,7,1,1,1,2,0,16,2,0,2,0,0,0,0,1,10,2,1,1
3,38,38,173,11,6,15,2,2,8,1,7,2,1,1,8,0,0,2,0,0,0,0,0,12,2,3,0
3,38,38,173,11,6,15,1,2,8,1,3,2,1,1,3,1,0,2,0,0,0,0,1,13,2,1,1
3,38,38,173,11,6,15,1,2,8,1,3,1,1,1,13,1,2,1,1,0,1,0,1,12,2,3,1
3,38,38,173,11,6,14,2,2,7,1,3,2,1,1,4,1,0,2,0,1,0,0,0,12,2,3,0
3,38,38,173,11,6,17,2,2,9,1,1,2,2,0,70,1,0,2,0,1,0,0,0,14,2,1,1
3,38,38,173,11,6,13,1,2,7,1,4,1,2,1,12,1,0,2,1,1,0,0,1,12,2,2,1
3,38,38,173,11,6,15,1,2,7,1,1,1,2,0,3,1,1,1,0,0,0,0,0,13,2,1,1
