"","year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour","orig.id"
"44",2013,8,28,1958,1835,83,2142,2046,56,"DL",2019,"N325US","LGA","MSP",138,1020,18,35,2013-08-28 18:00:00,"181680"
"45",2013,1,15,1116,1116,0,1403,1414,-11,"UA",1143,"N78524","EWR","PBI",148,1023,11,16,2013-01-15 11:00:00,"7493"
"46",2013,11,5,1935,1940,-5,2056,2120,-24,"AA",363,"N491AA","LGA","ORD",126,733,19,40,2013-11-05 19:00:00,"35165"
"47",2013,9,22,1034,1030,4,1337,1350,-13,"VX",23,"N627VA","JFK","SFO",342,2586,10,30,2013-09-22 10:00:00,"194617"
"48",2013,4,3,1506,1459,7,1634,1637,-3,"B6",8,"N510JB","JFK","BUF",54,301,14,59,2013-04-03 14:00:00,"98704"
"49",2013,6,11,856,900,-4,1117,1120,-3,"DL",485,"N347NB","EWR","ATL",104,746,9,0,2013-06-11 09:00:00,"136633"
"50",2013,8,6,2053,2100,-7,2222,2235,-13,"AA",371,"N4WLAA","LGA","ORD",121,733,21,0,2013-08-06 21:00:00,"169032"
"51",2013,7,17,1658,1630,28,1902,1839,23,"DL",2231,"N3741S","LGA","DTW",72,502,16,30,2013-07-17 16:00:00,"157346"
"52",2013,11,20,1345,1313,32,1627,1609,18,"B6",505,"N603JB","EWR","FLL",149,1065,13,13,2013-11-20 13:00:00,"43065"
"53",2013,2,3,1745,1627,78,2018,1919,59,"UA",1262,"N72405","EWR","MCO",126,937,16,27,2013-02-03 16:00:00,"66857"
"54",2013,8,15,834,834,0,1033,1032,1,"B6",219,"N358JB","JFK","CLT",87,541,8,34,2013-08-15 08:00:00,"173844"
"55",2013,1,20,1125,1125,0,1444,1439,5,"B6",673,"N806JB","JFK","LAX",352,2475,11,25,2013-01-20 11:00:00,"9974"
"56",2013,6,30,2124,2025,59,13,2324,49,"UA",771,"N560UA","JFK","LAX",313,2475,20,25,2013-06-30 20:00:00,"147882"
"57",2013,5,20,1924,1845,39,2232,2156,36,"DL",2391,"N968DL","JFK","TPA",138,1005,18,45,2013-05-20 18:00:00,"124903"
"58",2013,12,19,628,635,-7,916,929,-13,"B6",525,"N583JB","JFK","TPA",139,1005,6,35,2013-12-19 06:00:00,"58365"
"59",2013,9,6,1948,1910,38,2210,2215,-5,"AA",21,"N323AA","JFK","LAX",291,2475,19,10,2013-09-06 19:00:00,"186532"
"60",2013,12,9,857,900,-3,1235,1210,25,"B6",189,"N615JB","JFK","SAN",365,2446,9,0,2013-12-09 09:00:00,"53063"
"61",2013,9,20,1555,1557,-2,1657,1727,-30,"UA",1177,"N31412","EWR","ORD",106,719,15,57,2013-09-20 15:00:00,"193799"
"62",2013,2,17,1258,1248,10,1550,1538,12,"B6",991,"N506JB","JFK","PBI",144,1028,12,48,2013-02-17 12:00:00,"73898"
"63",2013,2,23,1620,1550,30,2110,2050,20,"AA",1635,"N621AA","JFK","SJU",191,1598,15,50,2013-02-23 15:00:00,"77298"
"64",2013,2,21,1408,1408,0,1651,1703,-12,"UA",595,"N829UA","EWR","IAH",207,1400,14,8,2013-02-21 14:00:00,"76136"
"65",2013,5,22,926,930,-4,1300,1255,5,"AA",179,"N332AA","JFK","SFO",344,2586,9,30,2013-05-22 09:00:00,"125703"
"66",2013,12,28,1147,1200,-13,1436,1510,-34,"AA",3,"N335AA","JFK","LAX",331,2475,12,0,2013-12-28 12:00:00,"63536"
"67",2013,4,2,559,610,-11,922,941,-19,"UA",421,"N815UA","EWR","SFO",356,2565,6,10,2013-04-02 06:00:00,"97821"
"68",2013,7,26,1031,1030,1,1325,1325,0,"AA",19,"N323AA","JFK","LAX",321,2475,10,30,2013-07-26 10:00:00,"162378"
"69",2013,10,5,1038,1045,-7,1327,1352,-25,"B6",971,"N665JB","LGA","FLL",135,1076,10,45,2013-10-05 10:00:00,"18262"
"70",2013,5,16,1123,1131,-8,1355,1424,-29,"UA",719,"N411UA","EWR","TPA",137,997,11,31,2013-05-16 11:00:00,"122469"
"71",2013,7,14,2037,1836,121,2311,2155,76,"UA",212,"N523UA","EWR","SFO",309,2565,18,36,2013-07-14 18:00:00,"155720"
"72",2013,10,28,1853,1900,-7,2030,2041,-11,"UA",775,"N823UA","EWR","ORD",122,719,19,0,2013-10-28 19:00:00,"30853"
"73",2013,8,27,1615,1620,-5,1832,1902,-30,"DL",843,"N1603","JFK","ATL",97,760,16,20,2013-08-27 16:00:00,"180980"
"74",2013,6,24,1450,1448,2,1809,1740,29,"UA",528,"N411UA","LGA","IAH",193,1416,14,48,2013-06-24 14:00:00,"144225"
"75",2013,3,17,1701,1703,-2,1809,1829,-20,"B6",36,"N594JB","JFK","ROC",50,264,17,3,2013-03-17 17:00:00,"89336"
"76",2013,2,24,2124,2130,-6,26,21,5,"B6",383,"N569JB","LGA","FLL",156,1076,21,30,2013-02-24 21:00:00,"77961"
"77",2013,8,27,750,800,-10,1031,1110,-39,"DL",1271,"N907DL","JFK","FLL",138,1069,8,0,2013-08-27 08:00:00,"180704"
"78",2013,10,16,1657,1700,-3,1834,1855,-21,"AA",199,"N3DPAA","JFK","ORD",131,740,17,0,2013-10-16 17:00:00,"24348"
"79",2013,8,1,1059,1100,-1,1340,1332,8,"DL",1647,"N6707A","LGA","ATL",109,762,11,0,2013-08-01 11:00:00,"165844"
"80",2013,7,19,654,700,-6,940,947,-7,"DL",2285,"N915DE","LGA","MCO",125,950,7,0,2013-07-19 07:00:00,"158205"
"81",2013,11,12,1102,1100,2,1356,1332,24,"DL",1647,"N659DL","LGA","ATL",121,762,11,0,2013-11-12 11:00:00,"38653"
"82",2013,1,22,855,900,-5,1217,1216,1,"UA",1405,"N77518","LGA","IAH",225,1416,9,0,2013-01-22 09:00:00,"10935"
"83",2013,7,25,957,1000,-3,1238,1244,-6,"UA",1148,"N73299","EWR","TPA",141,997,10,0,2013-07-25 10:00:00,"161769"
"84",2013,5,10,803,759,4,1044,1028,16,"DL",2047,"N618DL","LGA","ATL",102,762,7,59,2013-05-10 07:00:00,"119132"
"85",2013,2,20,623,630,-7,753,810,-17,"UA",676,"N436UA","EWR","CLE",73,404,6,30,2013-02-20 06:00:00,"75337"
"86",2013,5,12,1740,1745,-5,1929,2021,-52,"DL",884,"N340NW","LGA","DEN",211,1620,17,45,2013-05-12 17:00:00,"120441"
"87",2013,7,2,1734,1720,14,2004,2011,-7,"UA",1109,"N14120","EWR","MCO",131,937,17,20,2013-07-02 17:00:00,"148933"
"88",2013,9,30,852,900,-8,1212,1217,-5,"DL",1765,"N713TW","JFK","SFO",342,2586,9,0,2013-09-30 09:00:00,"198868"
"89",2013,8,11,1451,1446,5,1720,1714,6,"UA",1222,"N14250","EWR","LAS",304,2227,14,46,2013-08-11 14:00:00,"171654"
"90",2013,4,19,846,855,-9,1038,1109,-31,"DL",2239,"N777NC","EWR","DTW",87,488,8,55,2013-04-19 08:00:00,"107573"
"91",2013,8,19,705,708,-3,941,1005,-24,"UA",1496,"N15712","EWR","SNA",318,2434,7,8,2013-08-19 07:00:00,"176047"
"92",2013,4,22,555,600,-5,829,832,-3,"DL",461,"N958DL","LGA","ATL",123,762,6,0,2013-04-22 06:00:00,"109089"
"93",2013,9,10,752,751,1,956,1025,-29,"UA",1289,"N35204","EWR","LAS",281,2227,7,51,2013-09-10 07:00:00,"188186"
"94",2013,3,7,2256,2145,71,149,34,75,"B6",35,"N623JB","JFK","PBI",133,1028,21,45,2013-03-07 21:00:00,"84026"
"95",2013,7,1,1612,1429,103,2022,1830,112,"B6",703,"N703JB","JFK","SJU",199,1598,14,29,2013-07-01 14:00:00,"148299"
"96",2013,12,22,1019,1025,-6,1319,1335,-16,"DL",1174,"N979DL","LGA","PBI",148,1035,10,25,2013-12-22 10:00:00,"60172"
"97",2013,9,22,2039,2025,14,2137,2140,-3,"AA",2314,"N3HGAA","JFK","BOS",36,187,20,25,2013-09-22 20:00:00,"194948"
"98",2013,3,2,1454,1455,-1,1754,1819,-25,"UA",458,"N827UA","EWR","SFO",339,2565,14,55,2013-03-02 14:00:00,"81036"
"99",2013,11,19,1824,1830,-6,2130,2138,-8,"B6",201,"N607JB","JFK","FLL",145,1069,18,30,2013-11-19 18:00:00,"42693"
"100",2013,7,29,946,945,1,1104,1125,-21,"AA",317,"N546AA","LGA","ORD",105,733,9,45,2013-07-29 09:00:00,"164019"
"101",2013,9,18,1539,1545,-6,1756,1805,-9,"DL",1942,"N325US","EWR","ATL",103,746,15,45,2013-09-18 15:00:00,"192679"
"102",2013,9,9,1341,1345,-4,1610,1633,-23,"B6",581,"N524JB","JFK","HOU",181,1428,13,45,2013-09-09 13:00:00,"187823"
"103",2013,3,19,736,736,0,1121,1115,6,"B6",643,"N821JB","JFK","SFO",379,2586,7,36,2013-03-19 07:00:00,"90160"
"104",2013,11,18,1517,1348,89,1610,1453,77,"UA",203,"N417UA","EWR","BOS",37,200,13,48,2013-11-18 13:00:00,"42006"
"105",2013,6,6,755,800,-5,950,958,-8,"B6",1273,"N267JB","JFK","CHS",93,636,8,0,2013-06-06 08:00:00,"133804"
"106",2013,5,25,2157,2159,-2,2251,2328,-37,"UA",1604,"N16234","EWR","BOS",38,200,21,59,2013-05-25 21:00:00,"127691"
"107",2013,5,9,1806,1800,6,2110,2115,-5,"DL",17,"N189DN","JFK","LAX",315,2475,18,0,2013-05-09 18:00:00,"118878"
"108",2013,4,7,1541,1545,-4,1900,1921,-21,"DL",1773,"N698DL","JFK","SLC",285,1990,15,45,2013-04-07 15:00:00,"100934"
"109",2013,9,21,1028,1030,-2,1334,1331,3,"UA",1257,"N26215","LGA","IAH",196,1416,10,30,2013-09-21 10:00:00,"194168"
"110",2013,2,22,625,620,5,1103,1102,1,"B6",709,"N561JB","JFK","SJU",182,1598,6,20,2013-02-22 06:00:00,"76451"
"111",2013,7,26,1757,1800,-3,2048,2102,-14,"B6",359,"N640JB","JFK","BUR",326,2465,18,0,2013-07-26 18:00:00,"162627"
"112",2013,12,16,1527,1455,32,1902,1805,57,"AA",2285,"N5DUAA","JFK","MCO",157,944,14,55,2013-12-16 14:00:00,"57002"
"113",2013,1,17,2307,2250,17,5,2359,6,"B6",608,"N187JB","JFK","PWM",40,273,22,50,2013-01-17 22:00:00,"8846"
"114",2013,5,10,937,940,-3,1234,1315,-41,"UA",1281,"N26208","EWR","SFO",333,2565,9,40,2013-05-10 09:00:00,"119194"
"115",2013,12,27,1518,1505,13,1817,1812,5,"DL",2181,"N373NW","LGA","MCO",147,950,15,5,2013-12-27 15:00:00,"63075"
"116",2013,1,5,651,700,-9,949,1019,-30,"DL",2003,"N905DL","LGA","MIA",155,1096,7,0,2013-01-05 07:00:00,"2284"
"117",2013,10,8,746,747,-1,1126,1139,-13,"UA",1216,"N38424","EWR","SJU",202,1608,7,47,2013-10-08 07:00:00,"19717"
"118",2013,3,16,731,730,1,1122,1110,12,"VX",11,"N837VA","JFK","SFO",390,2586,7,30,2013-03-16 07:00:00,"88552"
"119",2013,5,24,1220,1215,5,1321,1325,-4,"B6",74,"N228JB","JFK","BTV",43,266,12,15,2013-05-24 12:00:00,"126909"
"120",2013,10,1,631,635,-4,742,751,-9,"B6",2802,"N273JB","JFK","BUF",55,301,6,35,2013-10-01 06:00:00,"15895"
"121",2013,6,10,1219,1214,5,1313,1335,-22,"UA",1037,"N54241","EWR","BOS",35,200,12,14,2013-06-10 12:00:00,"136152"
"122",2013,3,29,1155,1200,-5,1248,1303,-15,"B6",1174,"N294JB","EWR","BOS",37,200,12,0,2013-03-29 12:00:00,"95866"
"123",2013,8,4,1119,1125,-6,1355,1440,-45,"AA",2099,"N3BNAA","LGA","MIA",138,1096,11,25,2013-08-04 11:00:00,"167521"
"124",2013,2,27,2255,2100,115,136,2346,110,"B6",399,"N568JB","LGA","MCO",146,950,21,0,2013-02-27 21:00:00,"79635"
"125",2013,5,17,1654,1700,-6,1857,1911,-14,"B6",1085,"N334JB","JFK","CLT",78,541,17,0,2013-05-17 17:00:00,"123208"
"126",2013,8,24,1912,1915,-3,2139,2230,-51,"AA",21,"N328AA","JFK","LAX",304,2475,19,15,2013-08-24 19:00:00,"179386"
"127",2013,8,16,1117,1120,-3,1433,1417,16,"B6",1129,"N708JB","JFK","RSW",167,1074,11,20,2013-08-16 11:00:00,"174538"
"128",2013,7,27,901,906,-5,1305,1310,-5,"UA",1519,"N23708","EWR","STT",219,1634,9,6,2013-07-27 09:00:00,"162911"
"129",2013,9,2,2158,2115,43,30,2349,41,"DL",1729,"N387DA","JFK","LAS",281,2248,21,15,2013-09-02 21:00:00,"184328"
"130",2013,12,13,1856,1855,1,2226,2235,-9,"VX",29,"N635VA","JFK","SFO",354,2586,18,55,2013-12-13 18:00:00,"55612"
"131",2013,8,23,1458,1459,-1,1800,1827,-27,"DL",161,"N178DZ","JFK","SEA",328,2422,14,59,2013-08-23 14:00:00,"178691"
"132",2013,1,22,820,810,10,1107,1042,25,"DL",269,"N359NB","JFK","ATL",130,760,8,10,2013-01-22 08:00:00,"10910"
"133",2013,5,25,1655,1659,-4,1939,1959,-20,"AA",1905,"N472AA","EWR","DFW",190,1372,16,59,2013-05-25 16:00:00,"127581"
"134",2013,7,13,612,615,-3,858,910,-12,"AA",1895,"N3BXAA","EWR","MIA",146,1085,6,15,2013-07-13 06:00:00,"154721"
"135",2013,6,26,1743,1735,8,2119,2108,11,"DL",1543,"N722TW","JFK","SEA",344,2422,17,35,2013-06-26 17:00:00,"145525"
"136",2013,10,1,1657,1700,-3,1907,1945,-38,"AA",45,"N5EAAA","JFK","LAS",281,2248,17,0,2013-10-01 17:00:00,"16255"
"137",2013,2,24,1718,1720,-2,1905,1915,-10,"AA",1351,"N3FVAA","JFK","ORD",119,740,17,20,2013-02-24 17:00:00,"77830"
"138",2013,3,29,610,610,0,919,941,-22,"UA",421,"N435UA","EWR","SFO",341,2565,6,10,2013-03-29 06:00:00,"95666"
"139",2013,3,10,1033,1043,-10,1309,1342,-33,"UA",316,"N446UA","EWR","PBI",141,1023,10,43,2013-03-10 10:00:00,"85273"
"140",2013,10,26,1906,1910,-4,2113,2148,-35,"DL",1729,"N381DN","JFK","LAS",289,2248,19,10,2013-10-26 19:00:00,"29802"
"141",2013,4,2,1707,1700,7,1810,1814,-4,"B6",1176,"N334JB","EWR","BOS",40,200,17,0,2013-04-02 17:00:00,"98199"
"142",2013,4,5,1101,1106,-5,1430,1431,-1,"UA",642,"N525UA","JFK","SFO",354,2586,11,6,2013-04-05 11:00:00,"99743"
"143",2013,9,4,2058,2045,13,2226,2208,18,"DL",985,"N352NB","JFK","BOS",40,187,20,45,2013-09-04 20:00:00,"185457"
"144",2013,12,21,758,729,29,1115,1043,32,"UA",623,"N561UA","EWR","SAN",347,2425,7,29,2013-12-21 07:00:00,"59579"
"145",2013,1,26,1158,1155,3,1448,1459,-11,"B6",625,"N348JB","JFK","HOU",207,1428,11,55,2013-01-26 11:00:00,"13068"
"146",2013,1,13,2248,1940,188,142,2240,182,"AA",1787,"N3EPAA","JFK","TPA",154,1005,19,40,2013-01-13 19:00:00,"6762"
"147",2013,12,13,2008,1935,33,2250,2248,2,"DL",1435,"N345NB","LGA","TPA",145,1010,19,35,2013-12-13 19:00:00,"55657"
"148",2013,2,15,1620,1530,50,1812,1725,47,"AA",2223,"N4YSAA","LGA","STL",142,888,15,30,2013-02-15 15:00:00,"73007"
"149",2013,10,23,842,850,-8,942,1006,-24,"DL",2445,"N329NB","JFK","BOS",32,187,8,50,2013-10-23 08:00:00,"27853"
"150",2013,1,3,1832,1830,2,2152,2205,-13,"AA",269,"N3HPAA","JFK","SEA",340,2422,18,30,2013-01-03 18:00:00,"1577"
"151",2013,9,23,905,910,-5,1036,1055,-19,"AA",313,"N475AA","LGA","ORD",108,733,9,10,2013-09-23 09:00:00,"195121"
"152",2013,7,1,1932,1805,87,2206,2035,91,"DL",73,"N3759","JFK","ATL",107,760,18,5,2013-07-01 18:00:00,"148425"
"153",2013,10,1,856,900,-4,1058,1130,-32,"DL",502,"N332NW","EWR","ATL",97,746,9,0,2013-10-01 09:00:00,"16004"
"154",2013,11,23,1005,1000,5,1322,1311,11,"UA",1257,"N13248","LGA","IAH",206,1416,10,0,2013-11-23 10:00:00,"44672"
"155",2013,5,21,1135,1135,0,1329,1340,-11,"DL",2219,"N534US","LGA","MSP",139,1020,11,35,2013-05-21 11:00:00,"125202"
"156",2013,3,27,2056,2100,-4,10,32,-22,"DL",2363,"N722TW","JFK","LAX",335,2475,21,0,2013-03-27 21:00:00,"95045"
"157",2013,12,24,852,815,37,1040,1021,19,"DL",2119,"N319NB","LGA","MSP",146,1020,8,15,2013-12-24 08:00:00,"61296"
"158",2013,10,4,1659,1707,-8,1837,1913,-36,"B6",1119,"N183JB","JFK","CLT",80,541,17,7,2013-10-04 17:00:00,"17922"
"159",2013,12,17,1258,1247,11,1629,1614,15,"UA",1663,"N34282","EWR","SFO",349,2565,12,47,2013-12-17 12:00:00,"57472"
"160",2013,3,23,957,602,235,1337,900,277,"UA",683,"N515UA","EWR","FLL",174,1065,6,2,2013-03-23 06:00:00,"92495"
"161",2013,5,23,625,630,-5,739,805,-26,"AA",303,"N469AA","LGA","ORD",117,733,6,30,2013-05-23 06:00:00,"126141"
"162",2013,1,4,1733,1720,13,2027,2025,2,"B6",163,"N615JB","JFK","TPA",153,1005,17,20,2013-01-04 17:00:00,"2096"
"163",2013,4,28,555,600,-5,835,850,-15,"AA",707,"N3FAAA","LGA","DFW",196,1389,6,0,2013-04-28 06:00:00,"112404"
"164",2013,11,5,717,720,-3,1043,1038,5,"UA",1479,"N36472","EWR","LAX",358,2454,7,20,2013-11-05 07:00:00,"34732"
"165",2013,6,14,925,918,7,1212,1204,8,"B6",183,"N595JB","JFK","MCO",127,944,9,18,2013-06-14 09:00:00,"138397"
"166",2013,10,7,554,600,-6,739,751,-12,"DL",731,"N332NB","LGA","DTW",82,502,6,0,2013-10-07 06:00:00,"19083"
"167",2013,6,24,1952,1723,149,2242,2013,149,"UA",1611,"N37281","EWR","IAH",173,1400,17,23,2013-06-24 17:00:00,"144383"
"168",2013,10,6,1708,1625,43,2004,1953,11,"DL",1373,"N344NW","JFK","MIA",140,1089,16,25,2013-10-06 16:00:00,"18914"
"169",2013,1,14,626,630,-4,911,934,-23,"UA",1627,"N24224","EWR","PBI",143,1023,6,30,2013-01-14 06:00:00,"6802"
"170",2013,4,9,1653,1700,-7,2003,2050,-47,"DL",31,"N624AG","JFK","SFO",336,2586,17,0,2013-04-09 17:00:00,"102127"
"171",2013,8,23,1311,1100,131,1529,1332,117,"DL",1647,"N618DL","LGA","ATL",104,762,11,0,2013-08-23 11:00:00,"178630"
"172",2013,6,10,909,915,-6,1141,1215,-34,"VX",161,"N837VA","EWR","LAX",312,2454,9,15,2013-06-10 09:00:00,"136067"
"173",2013,1,24,1053,1100,-7,1455,1432,23,"UA",1120,"N13248","EWR","SFO",402,2565,11,0,2013-01-24 11:00:00,"12007"
"174",2013,12,1,958,1000,-2,1231,1245,-14,"DL",1847,"N919DE","LGA","ATL",115,762,10,0,2013-12-01 10:00:00,"48760"
"175",2013,9,15,553,600,-7,852,923,-31,"UA",303,"N598UA","JFK","SFO",338,2586,6,0,2013-09-15 06:00:00,"190731"
"176",2013,11,25,924,930,-6,1227,1237,-10,"B6",271,"N623JB","LGA","FLL",147,1076,9,30,2013-11-25 09:00:00,"45686"
"177",2013,11,1,1834,1835,-1,2139,2146,-7,"DL",2391,"N974DL","JFK","TPA",155,1005,18,35,2013-11-01 18:00:00,"33017"
"178",2013,6,26,1600,1550,10,1904,1900,4,"UA",1151,"N39463","EWR","SEA",342,2402,15,50,2013-06-26 15:00:00,"145455"
"179",2013,6,11,NA,1210,NA,NA,1510,NA,"AA",743,"N485AA","LGA","DFW",NA,1389,12,10,2013-06-11 12:00:00,"137074"
"180",2013,5,31,658,700,-2,957,1034,-37,"DL",1865,"N721TW","JFK","SFO",332,2586,7,0,2013-05-31 07:00:00,"130479"
"181",2013,12,20,1545,1545,0,1908,1920,-12,"AA",133,"N332AA","JFK","LAX",354,2475,15,45,2013-12-20 15:00:00,"59249"
"182",2013,6,26,913,917,-4,1153,1213,-20,"UA",732,"N563UA","EWR","LAX",306,2454,9,17,2013-06-26 09:00:00,"145252"
"183",2013,2,12,1726,1440,166,1912,1613,179,"UA",595,"N823UA","EWR","CLE",84,404,14,40,2013-02-12 14:00:00,"71440"
"184",2013,4,5,739,745,-6,1009,1011,-2,"DL",807,"N323NB","EWR","ATL",119,746,7,45,2013-04-05 07:00:00,"99630"
"185",2013,7,2,1336,1325,11,2121,1801,NA,"UA",15,"N76065","EWR","HNL",NA,4963,13,25,2013-07-02 13:00:00,"148804"
"186",2013,4,19,1940,1945,-5,2236,2300,-24,"AA",1709,"N3DMAA","LGA","MIA",149,1096,19,45,2013-04-19 19:00:00,"107923"
"187",2013,1,28,1942,1910,32,2250,2231,19,"B6",87,"N613JB","JFK","SLC",290,1990,19,10,2013-01-28 19:00:00,"14260"
"188",2013,1,19,1457,1500,-3,1813,1837,-24,"DL",963,"N718TW","JFK","LAX",334,2475,15,0,2013-01-19 15:00:00,"9644"
